kaba	kab'a
konfiskante	konfisk'ant'e
konfiskita	konfisk'it'a
konfiskitaj	konfisk'it'a'j
konfiskitajn	konfisk'it'a'j'n
konfitaĵo	konfit'aĵ'o
konfitaĵoj	konfit'aĵ'o'j
konfitaĵojn	konfit'aĵ'o'j'n
konfitaĵon	konfit'aĵ'o'n
konflikta	konflikt'a
konfliktaj	konflikt'a'j
konfliktajn	konflikt'a'j'n
konfliktas	konflikt'as
konflikte	konflikt'e
konflikti	konflikt'i
konfliktis	konflikt'is
konflikto	konflikt'o
konfliktoj	konflikt'o'j
konfliktojn	konflikt'o'j'n
konflikton	konflikt'o'n
konfliktado	konflikt'ad'o
konfliktanta	konflikt'ant'a
konfliktantaj	konflikt'ant'a'j
konfliktantajn	konflikt'ant'a'j'n
konfliktsolvado	konflikt'solv'ad'o
konforma	konform'a
konformaj	konform'a'j
konformajn	konform'a'j'n
konforman	konform'a'n
konformas	konform'as
konforme	konform'e
konformi	konform'i
konformis	konform'is
konformo	konform'o
konformon	konform'o'n
konformos	konform'os
konformu	konform'u
konformeco	konform'ec'o
konformecon	konform'ec'o'n
konformigi	konform'ig'i
konformiĝas	konform'iĝ'as
konformiĝi	konform'iĝ'i
konformiĝu	konform'iĝ'u
konformismo	konform'ism'o
konformistoj	konform'ist'o'j
konfrontas	konfront'as
konfronti	konfront'i
konfronto	konfront'o
konfrontado	konfront'ad'o
konfrontiĝi	konfront'iĝ'i
konfrontiĝis	konfront'iĝ'is
konfrontiĝo	konfront'iĝ'o
konfrontiĝoj	konfront'iĝ'o'j
konfrontiĝon	konfront'iĝ'o'n
konfrontita	konfront'it'a
konfrontitaj	konfront'it'a'j
konfrontite	konfront'it'e
konfucea	konfuce'a
konfuceaj	konfuce'a'j
konfuceo	konfuce'o
konfuceon	konfuce'o'n
konfuceanismo	konfuce'an'ism'o
konfuceismo	konfuce'ism'o
konfuza	konfuz'a
konfuzaj	konfuz'a'j
konfuzajn	konfuz'a'j'n
konfuzan	konfuz'a'n
konfuzas	konfuz'as
konfuze	konfuz'e
konfuzi	konfuz'i
konfuzis	konfuz'is
konfuzo	konfuz'o
konfuzoj	konfuz'o'j
konfuzojn	konfuz'o'j'n
konfuzon	konfuz'o'n
konfuzos	konfuz'os
konfuzu	konfuz'u
konfuzado	konfuz'ad'o
konfuzaĵo	konfuz'aĵ'o
konfuzanta	konfuz'ant'a
konfuzantaj	konfuz'ant'a'j
konfuzante	konfuz'ant'e
konfuzata	konfuz'at'a
konfuzataj	konfuz'at'a'j
konfuzebla	konfuz'ebl'a
konfuziga	konfuz'ig'a
konfuzigas	konfuz'ig'as
konfuzigis	konfuz'ig'is
konfuziĝas	konfuz'iĝ'as
konfuziĝi	konfuz'iĝ'i
konfuziĝis	konfuz'iĝ'is
konfuziĝo	konfuz'iĝ'o
konfuziĝon	konfuz'iĝ'o'n
konfuziĝu	konfuz'iĝ'u
konfuziĝus	konfuz'iĝ'us
konfuzita	konfuz'it'a
konfuzitaj	konfuz'it'a'j
konfuzitan	konfuz'it'a'n
konfuzite	konfuz'it'e
konfuzia	konfuzi'a
konfuzio	konfuzi'o
konga	kong'a
kongaj	kong'a'j
kongo	kong'o
kongon	kong'o'n
kongolando	kong'o'land'o
konglomerato	konglomer'at'o
kongregacia	kongregaci'a
kongregacio	kongregaci'o
kongregacioj	kongregaci'o'j
kongregacion	kongregaci'o'n
kongresa	kongres'a
kongresaj	kongres'a'j
kongresajn	kongres'a'j'n
kongresan	kongres'a'n
kongresas	kongres'as
kongresi	kongres'i
kongresis	kongres'is
kongreso	kongres'o
kongresoj	kongres'o'j
kongresojn	kongres'o'j'n
kongreson	kongres'o'n
kongresos	kongres'os
kongresano	kongres'an'o
kongresanoj	kongres'an'o'j
kongresanojn	kongres'an'o'j'n
kongresanon	kongres'an'o'n
kongresanaro	kongres'an'ar'o
kongresejo	kongres'ej'o
kongresejoj	kongres'ej'o'j
kongresejon	kongres'ej'o'n
kongreseto	kongres'et'o
kongreslando	kongres'land'o
kongreslandoj	kongres'land'o'j
kongreslibro	kongres'libr'o
kongresloko	kongres'lok'o
kongreslokon	kongres'lok'o'n
kongresontoj	kongres'ont'o'j
kongrespartio	kongres'parti'o
kongrestemo	kongres'tem'o
kongresurbo	kongres'urb'o
kongrua	kongru'a
kongruaj	kongru'a'j
kongruajn	kongru'a'j'n
kongruan	kongru'a'n
kongruas	kongru'as
kongrue	kongru'e
kongrui	kongru'i
kongruis	kongru'is
kongruo	kongru'o
kongruu	kongru'u
kongruus	kongru'us
kongrueco	kongru'ec'o
kongruecon	kongru'ec'o'n
kongruigi	kongru'ig'i
konidioj	konidi'o'j
koniferaj	konifer'a'j
koniferoj	konifer'o'j
konjako	konjak'o
konjakon	konjak'o'n
konjekta	konjekt'a
konjektaj	konjekt'a'j
konjektan	konjekt'a'n
konjektas	konjekt'as
konjekti	konjekt'i
konjektis	konjekt'is
konjekto	konjekt'o
konjektoj	konjekt'o'j
konjektojn	konjekt'o'j'n
konjekton	konjekt'o'n
konjektu	konjekt'u
konjektante	konjekt'ant'e
konjekteble	konjekt'ebl'e
konjektita	konjekt'it'a
konjektitaj	konjekt'it'a'j
konjektite	konjekt'it'e
konjuga	konjug'a
konjugato	konjug'at'o
konjugita	konjug'it'a
konjugitaj	konjug'it'a'j
konjugacias	konjugaci'as
konjugacio	konjugaci'o
konjugacioj	konjugaci'o'j
konjugaciojn	konjugaci'o'j'n
konjugacion	konjugaci'o'n
konjunkcio	konjunkci'o
konjunkcioj	konjunkci'o'j
konjunkcion	konjunkci'o'n
konjunktivo	konjunktiv'o
konjunktivito	konjunktiv'it'o
konjunktura	konjunktur'a
konjunkturo	konjunktur'o
konka	konk'a
konko	konk'o
konkoj	konk'o'j
konkojn	konk'o'j'n
konkon	konk'o'n
konkana	konk'an'a
konkanoj	konk'an'o'j
konkava	konkav'a
konkavaj	konkav'a'j
konkavan	konkav'a'n
konkeras	konker'as
konkeri	konker'i
konkeris	konker'is
konkero	konker'o
konkeroj	konker'o'j
konkerojn	konker'o'j'n
konkeron	konker'o'n
konkeros	konker'os
konkeru	konker'u
konkerado	konker'ad'o
konkerante	konker'ant'e
konkeranto	konker'ant'o
konkerantoj	konker'ant'o'j
konkerebla	konker'ebl'a
konkerinte	konker'int'e
konkerinto	konker'int'o
konkerintoj	konker'int'o'j
konkerita	konker'it'a
konkeritaj	konker'it'a'j
konkeritajn	konker'it'a'j'n
konkistadoroj	konkistador'o'j
konklavo	konklav'o
konkluda	konklud'a
konkludas	konklud'as
konklude	konklud'e
konkludi	konklud'i
konkludis	konklud'is
konkludo	konklud'o
konkludoj	konklud'o'j
konkludojn	konklud'o'j'n
konkludon	konklud'o'n
konkludos	konklud'os
konkludu	konklud'u
konkludus	konklud'us
konkludado	konklud'ad'o
konkludante	konklud'ant'e
konkludiĝas	konklud'iĝ'as
konkludiĝis	konklud'iĝ'is
konkludita	konklud'it'a
konkluditaj	konklud'it'a'j
konkludite	konklud'it'e
konkorda	konkord'a
konkordas	konkord'as
konkorde	konkord'e
konkordo	konkord'o
konkordon	konkord'o'n
konkordato	konkord'at'o
konkordato	konkordat'o
konkreta	konkret'a
konkretaj	konkret'a'j
konkretajn	konkret'a'j'n
konkretan	konkret'a'n
konkrete	konkret'e
konkretaĵo	konkret'aĵ'o
konkretaĵoj	konkret'aĵ'o'j
konkreteco	konkret'ec'o
konkretigas	konkret'ig'as
konkretigi	konkret'ig'i
konkretigis	konkret'ig'is
konkretigo	konkret'ig'o
konkretiĝas	konkret'iĝ'as
konkubino	konkub'in'o
konkubinoj	konkub'in'o'j
konkubinojn	konkub'in'o'j'n
konkura	konkur'a
konkuraj	konkur'a'j
konkuras	konkur'as
konkure	konkur'e
konkuri	konkur'i
konkuris	konkur'is
konkuro	konkur'o
konkuroj	konkur'o'j
konkurojn	konkur'o'j'n
konkuron	konkur'o'n
konkuros	konkur'os
konkurado	konkur'ad'o
konkuradoj	konkur'ad'o'j
konkuradojn	konkur'ad'o'j'n
konkuradon	konkur'ad'o'n
konkuranta	konkur'ant'a
konkurantaj	konkur'ant'a'j
konkurantajn	konkur'ant'a'j'n
konkurante	konkur'ant'e
konkuranto	konkur'ant'o
konkurantoj	konkur'ant'o'j
konkurantojn	konkur'ant'o'j'n
konkuranton	konkur'ant'o'n
konkuremo	konkur'em'o
konkurjuro	konkur'jur'o
konkurenca	konkurenc'a
konkurencaj	konkurenc'a'j
konkurencan	konkurenc'a'n
konkurencas	konkurenc'as
konkurence	konkurenc'e
konkurenci	konkurenc'i
konkurencis	konkurenc'is
konkurenco	konkurenc'o
konkurencoj	konkurenc'o'j
konkurencon	konkurenc'o'n
konkurencantaj	konkurenc'ant'a'j
konkurencantoj	konkurenc'ant'o'j
konkurenculoj	konkurenc'ul'o'j
konkursa	konkurs'a
konkursaj	konkurs'a'j
konkursan	konkurs'a'n
konkursas	konkurs'as
konkursi	konkurs'i
konkursis	konkurs'is
konkurso	konkurs'o
konkursoj	konkurs'o'j
konkursojn	konkurs'o'j'n
konkurson	konkurs'o'n
konkursado	konkurs'ad'o
konkursaĵoj	konkurs'aĵ'o'j
konkursanto	konkurs'ant'o
konkursantoj	konkurs'ant'o'j
konkursaŭtoj	konkurs'aŭt'o'j
konkursejo	konkurs'ej'o
konkursejoj	konkurs'ej'o'j
konotacio	konotaci'o
konotacioj	konotaci'o'j
konotaciojn	konotaci'o'j'n
konotacion	konotaci'o'n
konrado	konrad'o
konscia	konsci'a
konsciaj	konsci'a'j
konsciajn	konsci'a'j'n
konscian	konsci'a'n
konscias	konsci'as
konscie	konsci'e
konscii	konsci'i
konsciis	konsci'is
konscio	konsci'o
konscioj	konsci'o'j
konscion	konsci'o'n
konscios	konsci'os
konsciu	konsci'u
konscius	konsci'us
konsciante	konsci'ant'e
konsciigas	konsci'ig'as
konsciigi	konsci'ig'i
konsciigis	konsci'ig'is
konsciigo	konsci'ig'o
konsciiĝas	konsci'iĝ'as
konsciiĝi	konsci'iĝ'i
konsciiĝis	konsci'iĝ'is
konsciiĝo	konsci'iĝ'o
konsciiĝon	konsci'iĝ'o'n
konsciiĝu	konsci'iĝ'u
konscienca	konscienc'a
konsciencaj	konscienc'a'j
konsciencan	konscienc'a'n
konscience	konscienc'e
konscienco	konscienc'o
konsciencoj	konscienc'o'j
konsciencojn	konscienc'o'j'n
konsciencon	konscienc'o'n
konscienceco	konscienc'ec'o
konsciencriproĉoj	konscienc'riproĉ'o'j
konsciencriproĉojn	konscienc'riproĉ'o'j'n
konsekras	konsekr'as
konsekri	konsekr'i
konsekris	konsekr'is
konsekro	konsekr'o
konsekron	konsekr'o'n
konsekrado	konsekr'ad'o
konsekrita	konsekr'it'a
konsekritaj	konsekr'it'a'j
konsekritajn	konsekr'it'a'j'n
konsekritan	konsekr'it'a'n
konsekvenca	konsekvenc'a
konsekvencaj	konsekvenc'a'j
konsekvencan	konsekvenc'a'n
konsekvence	konsekvenc'e
konsekvenco	konsekvenc'o
konsekvencoj	konsekvenc'o'j
konsekvencojn	konsekvenc'o'j'n
konsekvencon	konsekvenc'o'n
konsekvenceco	konsekvenc'ec'o
konsenta	konsent'a
konsentaj	konsent'a'j
konsentas	konsent'as
konsente	konsent'e
konsenti	konsent'i
konsentis	konsent'is
konsento	konsent'o
konsentoj	konsent'o'j
konsenton	konsent'o'n
konsentos	konsent'os
konsentu	konsent'u
konsentus	konsent'us
konsentado	konsent'ad'o
konsentante	konsent'ant'e
konsentigi	konsent'ig'i
konsentinta	konsent'int'a
konsentita	konsent'it'a
konsentitaj	konsent'it'a'j
konsentite	konsent'it'e
konserva	konserv'a
konservas	konserv'as
konservi	konserv'i
konservis	konserv'is
konservo	konserv'o
konservon	konserv'o'n
konservos	konserv'os
konservu	konserv'u
konservus	konserv'us
konservadaj	konserv'ad'a'j
konservadis	konserv'ad'is
konservado	konserv'ad'o
konservadon	konserv'ad'o'n
konservadekologio	konserv'ad'ekologi'o
konservadoiniciatoj	konserv'ad'o'iniciat'o'j
konservadoiniciatojn	konserv'ad'o'iniciat'o'j'n
konservaĵo	konserv'aĵ'o
konservaĵoj	konserv'aĵ'o'j
konservaĵojn	konserv'aĵ'o'j'n
konservanta	konserv'ant'a
konservantaj	konserv'ant'a'j
konservantan	konserv'ant'a'n
konservante	konserv'ant'e
konservanto	konserv'ant'o
konservantoj	konserv'ant'o'j
konservata	konserv'at'a
konservataj	konserv'at'a'j
konservatajn	konserv'at'a'j'n
konservebla	konserv'ebl'a
konserveblaj	konserv'ebl'a'j
konservejo	konserv'ej'o
konservejoj	konserv'ej'o'j
konservema	konserv'em'a
konservemaj	konserv'em'a'j
konservenda	konserv'end'a
konserviĝas	konserv'iĝ'as
konserviĝi	konserv'iĝ'i
konserviĝis	konserv'iĝ'is
konserviĝo	konserv'iĝ'o
konserviĝon	konserv'iĝ'o'n
konserviĝos	konserv'iĝ'os
konserviĝinta	konserv'iĝ'int'a
konserviĝintaj	konserv'iĝ'int'a'j
konservinta	konserv'int'a
konservisma	konserv'ism'a
konservismo	konserv'ism'o
konservisto	konserv'ist'o
konservistoj	konserv'ist'o'j
konservita	konserv'it'a
konservitaj	konserv'it'a'j
konservitajn	konserv'it'a'j'n
konservitan	konserv'it'a'n
konservite	konserv'it'e
konservitis	konserv'it'is
konservostatuso	konserv'o'status'o
konservota	konserv'ot'a
konservativa	konservativ'a
konservativaj	konservativ'a'j
konservativajn	konservativ'a'j'n
konservativan	konservativ'a'n
konservative	konservativ'e
konservativismo	konservativ'ism'o
konservativismon	konservativ'ism'o'n
konservativulo	konservativ'ul'o
konservativuloj	konservativ'ul'o'j
konservativulojn	konservativ'ul'o'j'n
konservatorio	konservatori'o
konservatorioj	konservatori'o'j
konservatorion	konservatori'o'n
konsideras	konsider'as
konsidere	konsider'e
konsideri	konsider'i
konsideris	konsider'is
konsidero	konsider'o
konsideroj	konsider'o'j
konsiderojn	konsider'o'j'n
konsideron	konsider'o'n
konsideros	konsider'os
konsideru	konsider'u
konsiderus	konsider'us
konsiderada	konsider'ad'a
konsiderado	konsider'ad'o
konsideradoj	konsider'ad'o'j
konsideradon	konsider'ad'o'n
konsideranta	konsider'ant'a
konsiderantaj	konsider'ant'a'j
konsiderante	konsider'ant'e
konsiderata	konsider'at'a
konsiderataj	konsider'at'a'j
konsideratas	konsider'at'as
konsiderate	konsider'at'e
konsiderebla	konsider'ebl'a
konsidereblaj	konsider'ebl'a'j
konsidereblas	konsider'ebl'as
konsiderenda	konsider'end'a
konsiderendas	konsider'end'as
konsideriĝas	konsider'iĝ'as
konsideriĝi	konsider'iĝ'i
konsideriĝis	konsider'iĝ'is
konsiderinda	konsider'ind'a
konsiderindaj	konsider'ind'a'j
konsiderindajn	konsider'ind'a'j'n
konsiderindan	konsider'ind'a'n
konsiderindas	konsider'ind'as
konsiderinde	konsider'ind'e
konsiderinte	konsider'int'e
konsiderita	konsider'it'a
konsideritaj	konsider'it'a'j
konsideritajn	konsider'it'a'j'n
konsideritan	konsider'it'a'n
konsiderite	konsider'it'e
konsiderota	konsider'ot'a
konsila	konsil'a
konsilaj	konsil'a'j
konsilajn	konsil'a'j'n
konsilan	konsil'a'n
konsilas	konsil'as
konsili	konsil'i
konsilis	konsil'is
konsilo	konsil'o
konsiloj	konsil'o'j
konsilojn	konsil'o'j'n
konsilon	konsil'o'n
konsilos	konsil'os
konsilu	konsil'u
konsilus	konsil'us
konsilado	konsil'ad'o
konsiladon	konsil'ad'o'n
konsilanta	konsil'ant'a
konsilantaj	konsil'ant'a'j
konsilantan	konsil'ant'a'n
konsilante	konsil'ant'e
konsilanto	konsil'ant'o
konsilantoj	konsil'ant'o'j
konsilantojn	konsil'ant'o'j'n
konsilanton	konsil'ant'o'n
konsilantara	konsil'ant'ar'a
konsilantaro	konsil'ant'ar'o
konsilantaroj	konsil'ant'ar'o'j
konsilantaron	konsil'ant'ar'o'n
konsilaro	konsil'ar'o
konsileto	konsil'et'o
konsiletoj	konsil'et'o'j
konsiletojn	konsil'et'o'j'n
konsileton	konsil'et'o'n
konsiliĝi	konsil'iĝ'i
konsiliĝis	konsil'iĝ'is
konsiliĝo	konsil'iĝ'o
konsilinda	konsil'ind'a
konsilindas	konsil'ind'as
konsilinde	konsil'ind'e
konsilisto	konsil'ist'o
konsilistoj	konsil'ist'o'j
konsilistojn	konsil'ist'o'j'n
konsiliston	konsil'ist'o'n
konsilistino	konsil'ist'in'o
konsilita	konsil'it'a
konsilitaj	konsil'it'a'j
konsilite	konsil'it'e
konsilia	konsili'a
konsiliaj	konsili'a'j
konsilio	konsili'o
konsilioj	konsili'o'j
konsiliojn	konsili'o'j'n
konsilion	konsili'o'n
konsiliano	konsili'an'o
konsilianoj	konsili'an'o'j
konsilistaro	konsili'star'o
konsista	konsist'a
konsistaj	konsist'a'j
konsistas	konsist'as
konsisti	konsist'i
konsistis	konsist'is
konsisto	konsist'o
konsiston	konsist'o'n
konsistos	konsist'os
konsistu	konsist'u
konsistus	konsist'us
konsistado	konsist'ad'o
konsistanta	konsist'ant'a
konsistantaj	konsist'ant'a'j
konsistantajn	konsist'ant'a'j'n
konsistantan	konsist'ant'a'n
konsistante	konsist'ant'e
konsisteroj	konsist'er'o'j
konsistiga	konsist'ig'a
konsistigaj	konsist'ig'a'j
konsistigajn	konsist'ig'a'j'n
konsistigas	konsist'ig'as
konsistigi	konsist'ig'i
konsistigis	konsist'ig'is
konsistigo	konsist'ig'o
konsistigos	konsist'ig'os
konsistigu	konsist'ig'u
konsistigus	konsist'ig'us
konsistigado	konsist'ig'ad'o
konsistiganta	konsist'ig'ant'a
konsistigantaj	konsist'ig'ant'a'j
konsistigante	konsist'ig'ant'e
konsistigita	konsist'ig'it'a
konsistigitaj	konsist'ig'it'a'j
konsistigitan	konsist'ig'it'a'n
konsistita	konsist'it'a
konsistenco	konsistenc'o
konsistencon	konsistenc'o'n
konsistorio	konsistori'o
konskriptitaj	konskript'it'a'j
konsola	konsol'a
konsolaj	konsol'a'j
konsolajn	konsol'a'j'n
konsolan	konsol'a'n
konsolas	konsol'as
konsole	konsol'e
konsoli	konsol'i
konsolis	konsol'is
konsolo	konsol'o
konsoloj	konsol'o'j
konsolon	konsol'o'n
konsolos	konsol'os
konsolu	konsol'u
konsolante	konsol'ant'e
konsolanto	konsol'ant'o
konsoliĝas	konsol'iĝ'as
konsoliĝis	konsol'iĝ'is
konsolita	konsol'it'a
konsonanco	konsonanc'o
konsonanta	konsonant'a
konsonantaj	konsonant'a'j
konsonanto	konsonant'o
konsonantoj	konsonant'o'j
konsonantojn	konsonant'o'j'n
konsonanton	konsonant'o'n
konsonantgrupo	konsonant'grup'o
konsonantgrupoj	konsonant'grup'o'j
konsonantgrupojn	konsonant'grup'o'j'n
konsonantletero	konsonant'leter'o
konsorcio	konsorci'o
konsorcioj	konsorci'o'j
konspira	konspir'a
konspiraj	konspir'a'j
konspirajn	konspir'a'j'n
konspiras	konspir'as
konspiri	konspir'i
konspiris	konspir'is
konspiro	konspir'o
konspiroj	konspir'o'j
konspiron	konspir'o'n
konspirado	konspir'ad'o
konspirantoj	konspir'ant'o'j
konspirantojn	konspir'ant'o'j'n
konstanca	konstanc'a
konstanco	konstanc'o
konstanta	konstant'a
konstantaj	konstant'a'j
konstantajn	konstant'a'j'n
konstantan	konstant'a'n
konstante	konstant'e
konstanto	konstant'o
konstantoj	konstant'o'j
konstantojn	konstant'o'j'n
konstanton	konstant'o'n
konstanteco	konstant'ec'o
konstantecon	konstant'ec'o'n
konstanteno	konstanten'o
konstantino	konstantin'o
konstantinon	konstantin'o'n
konstantinopola	konstantinopol'a
konstantinopolo	konstantinopol'o
konstantinopolon	konstantinopol'o'n
konstatas	konstat'as
konstati	konstat'i
konstatis	konstat'is
konstato	konstat'o
konstatoj	konstat'o'j
konstatojn	konstat'o'j'n
konstaton	konstat'o'n
konstatos	konstat'os
konstatu	konstat'u
konstatus	konstat'us
konstatante	konstat'ant'e
konstatebla	konstat'ebl'a
konstateblaj	konstat'ebl'a'j
konstateblas	konstat'ebl'as
konstateble	konstat'ebl'e
konstatinte	konstat'int'e
konstatita	konstat'it'a
konstatitaj	konstat'it'a'j
konstatite	konstat'it'e
konstelacio	konstelaci'o
konstelacioj	konstelaci'o'j
konstelaciojn	konstelaci'o'j'n
konstelacion	konstelaci'o'n
konsterna	konstern'a
konsternas	konstern'as
konsterne	konstern'e
konsternis	konstern'is
konsterno	konstern'o
konsternon	konstern'o'n
konsterniĝis	konstern'iĝ'is
konsterniĝo	konstern'iĝ'o
konsterniĝon	konstern'iĝ'o'n
konsternita	konstern'it'a
konsternitaj	konstern'it'a'j
konsternite	konstern'it'e
konstitua	konstitu'a
konstituas	konstitu'as
konstitui	konstitu'i
konstituis	konstitu'is
konstituantaj	konstitu'ant'a'j
konstituante	konstitu'ant'e
konstituantoj	konstitu'ant'o'j
konstituata	konstitu'at'a
konstituiga	konstitu'ig'a
konstituigaj	konstitu'ig'a'j
konstituita	konstitu'it'a
konstituitaj	konstitu'it'a'j
konstitucia	konstituci'a
konstituciaj	konstituci'a'j
konstituciajn	konstituci'a'j'n
konstitucian	konstituci'a'n
konstitucie	konstituci'e
konstitucio	konstituci'o
konstitucioj	konstituci'o'j
konstituciojn	konstituci'o'j'n
konstitucion	konstituci'o'n
konstituciiga	konstituci'ig'a
konstrua	konstru'a
konstruaj	konstru'a'j
konstruajn	konstru'a'j'n
konstruan	konstru'a'n
konstruas	konstru'as
konstrue	konstru'e
konstrui	konstru'i
konstruis	konstru'is
konstruo	konstru'o
konstruoj	konstru'o'j
konstruojn	konstru'o'j'n
konstruon	konstru'o'n
konstruos	konstru'os
konstruu	konstru'u
konstruus	konstru'us
konstruadi	konstru'ad'i
konstruadis	konstru'ad'is
konstruado	konstru'ad'o
konstruadoj	konstru'ad'o'j
konstruadon	konstru'ad'o'n
konstruaĵa	konstru'aĵ'a
konstruaĵaj	konstru'aĵ'a'j
konstruajho	konstru'aĵ'o
konstruaĵo	konstru'aĵ'o
konstruaĵoj	konstru'aĵ'o'j
konstruaĵojn	konstru'aĵ'o'j'n
konstruaĵon	konstru'aĵ'o'n
konstruaĵaro	konstru'aĵ'ar'o
konstruanta	konstru'ant'a
konstruantaj	konstru'ant'a'j
konstruante	konstru'ant'e
konstruanto	konstru'ant'o
konstruantoj	konstru'ant'o'j
konstruarto	konstru'art'o
konstruata	konstru'at'a
konstruataj	konstru'at'a'j
konstrubloko	konstru'blok'o
konstrubriketo	konstru'brik'et'o
konstrubriketoj	konstru'brik'et'o'j
konstrubriketojn	konstru'brik'et'o'j'n
konstruebla	konstru'ebl'a
konstrueblaj	konstru'ebl'a'j
konstruejo	konstru'ej'o
konstruejoj	konstru'ej'o'j
konstruejon	konstru'ej'o'n
konstruelemento	konstru'element'o
konstruelementoj	konstru'element'o'j
konstruentreprenoj	konstru'entrepren'o'j
konstruestro	konstru'estr'o
konstruestroj	konstru'estr'o'j
konstrufako	konstru'fak'o
konstrufazo	konstru'faz'o
konstrufazoj	konstru'faz'o'j
konstruformo	konstru'form'o
konstruformoj	konstru'form'o'j
konstruigas	konstru'ig'as
konstruigi	konstru'ig'i
konstruigis	konstru'ig'is
konstruiganto	konstru'ig'ant'o
konstruigita	konstru'ig'it'a
konstruiĝas	konstru'iĝ'as
konstruiĝi	konstru'iĝ'i
konstruiĝis	konstru'iĝ'is
konstruindustrio	konstru'industri'o
konstruinĝenieriko	konstru'inĝenier'ik'o
konstruinta	konstru'int'a
konstruintaj	konstru'int'a'j
konstruinto	konstru'int'o
konstruintoj	konstru'int'o'j
konstruismo	konstru'ism'o
konstruisto	konstru'ist'o
konstruistoj	konstru'ist'o'j
konstruita	konstru'it'a
konstruitaj	konstru'it'a'j
konstruitajn	konstru'it'a'j'n
konstruitan	konstru'it'a'n
konstruite	konstru'it'e
konstruitis	konstru'it'is
konstrukostoj	konstru'kost'o'j
konstrulaboro	konstru'labor'o
konstrulaboroj	konstru'labor'o'j
konstrulaborojn	konstru'labor'o'j'n
konstrulaboristo	konstru'labor'ist'o
konstrulaboristoj	konstru'labor'ist'o'j
konstruligno	konstru'lign'o
konstrulignoj	konstru'lign'o'j
konstrulignon	konstru'lign'o'n
konstruloko	konstru'lok'o
konstrumaniero	konstru'manier'o
konstrumanieroj	konstru'manier'o'j
konstrumateriala	konstru'material'a
konstrumaterialo	konstru'material'o
konstrumaterialoj	konstru'material'o'j
konstrumaterialojn	konstru'material'o'j'n
konstrumaterialon	konstru'material'o'n
konstruota	konstru'ot'a
konstruotaj	konstru'ot'a'j
konstrupartoj	konstru'part'o'j
konstrupreparis	konstru'prepar'is
konstrupreparita	konstru'prepar'it'a
konstruprojekto	konstru'projekt'o
konstruprojektoj	konstru'projekt'o'j
konstrustilo	konstru'stil'o
konstrutekniko	konstru'teknik'o
konstruteknikoj	konstru'teknik'o'j
konstrutipo	konstru'tip'o
konsula	konsul'a
konsulaj	konsul'a'j
konsulan	konsul'a'n
konsulo	konsul'o
konsuloj	konsul'o'j
konsulojn	konsul'o'j'n
konsulon	konsul'o'n
konsulejo	konsul'ej'o
konsulejoj	konsul'ej'o'j
konsulejon	konsul'ej'o'n
konsulta	konsult'a
konsultaj	konsult'a'j
konsultajn	konsult'a'j'n
konsultan	konsult'a'n
konsultas	konsult'as
konsulti	konsult'i
konsultis	konsult'is
konsulto	konsult'o
konsultoj	konsult'o'j
konsultojn	konsult'o'j'n
konsulton	konsult'o'n
konsultos	konsult'os
konsultu	konsult'u
konsultus	konsult'us
konsultado	konsult'ad'o
konsultadon	konsult'ad'o'n
konsultante	konsult'ant'e
konsultata	konsult'at'a
konsultebla	konsult'ebl'a
konsulteblaj	konsult'ebl'a'j
konsultejo	konsult'ej'o
konsultejon	konsult'ej'o'n
konsultiĝa	konsult'iĝ'a
konsultiĝo	konsult'iĝ'o
konsultiĝoj	konsult'iĝ'o'j
konsultinte	konsult'int'e
konsultisto	konsult'ist'o
konsultistoj	konsult'ist'o'j
konsultistojn	konsult'ist'o'j'n
konsultiston	konsult'ist'o'n
konsultita	konsult'it'a
konsultitaj	konsult'it'a'j
konsultverkoj	konsult'verk'o'j
konsuma	konsum'a
konsuman	konsum'a'n
konsumas	konsum'as
konsumi	konsum'i
konsumis	konsum'is
konsumo	konsum'o
konsumon	konsum'o'n
konsumos	konsum'os
konsumu	konsum'u
konsumado	konsum'ad'o
konsumadon	konsum'ad'o'n
konsumaĵoj	konsum'aĵ'o'j
konsumanta	konsum'ant'a
konsumantaj	konsum'ant'a'j
konsumante	konsum'ant'e
konsumanto	konsum'ant'o
konsumantoj	konsum'ant'o'j
konsumantojn	konsum'ant'o'j'n
konsumanton	konsum'ant'o'n
konsumantmerkato	konsum'ant'merkat'o
konsumata	konsum'at'a
konsumataj	konsum'at'a'j
konsumebla	konsum'ebl'a
konsumeblaj	konsum'ebl'a'j
konsumelektroniko	konsum'elektron'ik'o
konsumiĝas	konsum'iĝ'as
konsumiĝis	konsum'iĝ'is
konsumisma	konsum'ism'a
konsumismo	konsum'ism'o
konsumita	konsum'it'a
konsumitaj	konsum'it'a'j
konsumite	konsum'it'e
konsumvaroj	konsum'var'o'j
konsumvarojn	konsum'var'o'j'n
konto	kont'o
kontoj	kont'o'j
kontojn	kont'o'j'n
konton	kont'o'n
kontada	kont'ad'a
kontadaj	kont'ad'a'j
kontadajn	kont'ad'a'j'n
kontado	kont'ad'o
kontadon	kont'ad'o'n
kontisto	kont'ist'o
kontaĝa	kontaĝ'a
kontaĝaj	kontaĝ'a'j
kontaĝas	kontaĝ'as
kontaĝo	kontaĝ'o
kontakta	kontakt'a
kontaktaj	kontakt'a'j
kontaktas	kontakt'as
kontakte	kontakt'e
kontakti	kontakt'i
kontaktis	kontakt'is
