ia	i'a
interkruciĝoj	inter'kruc'iĝ'o'j
interkrurigas	inter'krur'ig'as
interkrutejo	inter'krut'ej'o
interkrutejoj	inter'krut'ej'o'j
interkrutejon	inter'krut'ej'o'n
interkultura	inter'kultur'a
interkulturaj	inter'kultur'a'j
interkulturan	inter'kultur'a'n
interkulturo	inter'kultur'o
interliga	inter'lig'a
interligaj	inter'lig'a'j
interligan	inter'lig'a'n
interligas	inter'lig'as
interligi	inter'lig'i
interligis	inter'lig'is
interligo	inter'lig'o
interligoj	inter'lig'o'j
interligojn	inter'lig'o'j'n
interligon	inter'lig'o'n
interligus	inter'lig'us
interligado	inter'lig'ad'o
interliganta	inter'lig'ant'a
interligantaj	inter'lig'ant'a'j
interligante	inter'lig'ant'e
interligiĝas	inter'lig'iĝ'as
interligiĝis	inter'lig'iĝ'is
interligilo	inter'lig'il'o
interligita	inter'lig'it'a
interligitaj	inter'lig'it'a'j
interligitajn	inter'lig'it'a'j'n
interligitan	inter'lig'it'a'n
interligiteco	inter'lig'it'ec'o
interligitecon	inter'lig'it'ec'o'n
interlingva	inter'lingv'a
interlingvo	inter'lingv'o
interlingvoj	inter'lingv'o'j
interlingvon	inter'lingv'o'n
interlingvismo	inter'lingv'ism'o
interlingvisto	inter'lingv'ist'o
interlingvistoj	inter'lingv'ist'o'j
interlingvistika	inter'lingv'ist'ik'a
interlingvistikaj	inter'lingv'ist'ik'a'j
interlingvistiko	inter'lingv'ist'ik'o
interlingvistikon	inter'lingv'ist'ik'o'n
interludo	inter'lud'o
intermama	inter'mam'a
intermetas	inter'met'as
intermeti	inter'met'i
intermetis	inter'met'is
intermetita	inter'met'it'a
intermetitaj	inter'met'it'a'j
intermeza	inter'mez'a
intermezaj	inter'mez'a'j
intermezo	inter'mez'o
intermiksas	inter'miks'as
intermiksi	inter'miks'i
intermiksis	inter'miks'is
intermikso	inter'miks'o
intermiksu	inter'miks'u
intermiksado	inter'miks'ad'o
intermiksiĝas	inter'miks'iĝ'as
intermiksiĝis	inter'miks'iĝ'is
intermiksita	inter'miks'it'a
intermiksitaj	inter'miks'it'a'j
intermilita	inter'milit'a
intermilitaj	inter'milit'a'j
intermodala	inter'modal'a
intermolekulaj	inter'molekul'a'j
intermontaj	inter'mont'a'j
intermonto	inter'mont'o
intermontoj	inter'mont'o'j
intermonton	inter'mont'o'n
internacia	inter'naci'a
internaciaj	inter'naci'a'j
internaciajn	inter'naci'a'j'n
internacian	inter'naci'a'n
internacie	inter'naci'e
internacio	inter'naci'o
internacion	inter'naci'o'n
internaciakomerca	inter'naci'a'komerc'a
internacieca	inter'naci'ec'a
internacieco	inter'naci'ec'o
internaciecon	inter'naci'ec'o'n
internaciigi	inter'naci'ig'i
internaciigo	inter'naci'ig'o
internaciigado	inter'naci'ig'ad'o
internaciigitaj	inter'naci'ig'it'a'j
internaciiĝo	inter'naci'iĝ'o
internaciisma	inter'naci'ism'a
internaciismo	inter'naci'ism'o
internaciismon	inter'naci'ism'o'n
internaciisto	inter'naci'ist'o
internaciistoj	inter'naci'ist'o'j
internacilingva	inter'naci'lingv'a
internacinivele	inter'naci'nivel'e
internaciskale	inter'naci'skal'e
interpaciga	inter'pac'ig'a
interpacigaj	inter'pac'ig'a'j
interpacigajn	inter'pac'ig'a'j'n
interpacigi	inter'pac'ig'i
interpacigo	inter'pac'ig'o
interpaciĝo	inter'pac'iĝ'o
interpafado	inter'paf'ad'o
interparolas	inter'parol'as
interparoli	inter'parol'i
interparolis	inter'parol'is
interparolo	inter'parol'o
interparoloj	inter'parol'o'j
interparolojn	inter'parol'o'j'n
interparolon	inter'parol'o'n
interparolos	inter'parol'os
interparolu	inter'parol'u
interparolus	inter'parol'us
interparoladis	inter'parol'ad'is
interparolado	inter'parol'ad'o
interparoladoj	inter'parol'ad'o'j
interparoladon	inter'parol'ad'o'n
interparolante	inter'parol'ant'e
interparolanto	inter'parol'ant'o
interparolantoj	inter'parol'ant'o'j
interparolanton	inter'parol'ant'o'n
interpersona	inter'person'a
interpersonaj	inter'person'a'j
interplaneda	inter'planed'a
interplanedaj	inter'planed'a'j
interplektas	inter'plekt'as
interplektis	inter'plekt'is
interplektado	inter'plekt'ad'o
interplektaĵo	inter'plekt'aĵ'o
interplektante	inter'plekt'ant'e
interplektiĝas	inter'plekt'iĝ'as
interplektiĝis	inter'plekt'iĝ'is
interplektiĝo	inter'plekt'iĝ'o
interplektita	inter'plekt'it'a
interplektitaj	inter'plekt'it'a'j
interplektitajn	inter'plekt'it'a'j'n
interplektitan	inter'plekt'it'a'n
interpopola	inter'popol'a
interpopolaj	inter'popol'a'j
interpopolan	inter'popol'a'n
interproksimigo	inter'proksim'ig'o
interreagema	inter're'ag'em'a
interregistara	inter'reg'ist'ar'a
interregistaraj	inter'reg'ist'ar'a'j
interregiona	inter'region'a
interregionaj	inter'region'a'j
interreligia	inter'religi'a
interreligiaj	inter'religi'a'j
interreligian	inter'religi'a'n
interreta	inter'ret'a
interretaj	inter'ret'a'j
interretajn	inter'ret'a'j'n
interretan	inter'ret'a'n
interrete	inter'ret'e
interreto	inter'ret'o
interreton	inter'ret'o'n
interretenhavo	inter'ret'en'hav'o
interretuzantoj	inter'ret'uz'ant'o'j
interrigardis	inter'rigard'is
interrilata	inter'rilat'a
interrilataj	inter'rilat'a'j
interrilatajn	inter'rilat'a'j'n
interrilatan	inter'rilat'a'n
interrilatas	inter'rilat'as
interrilati	inter'rilat'i
interrilatis	inter'rilat'is
interrilato	inter'rilat'o
interrilatoj	inter'rilat'o'j
interrilatojn	inter'rilat'o'j'n
interrilaton	inter'rilat'o'n
interrilatado	inter'rilat'ad'o
interrilatantaj	inter'rilat'ant'a'j
interrilatigi	inter'rilat'ig'i
interrompa	inter'romp'a
interrompaj	inter'romp'a'j
interrompan	inter'romp'a'n
interrompas	inter'romp'as
interrompi	inter'romp'i
interrompis	inter'romp'is
interrompo	inter'romp'o
interrompoj	inter'romp'o'j
interrompojn	inter'romp'o'j'n
interrompon	inter'romp'o'n
interrompos	inter'romp'os
interrompu	inter'romp'u
interrompus	inter'romp'us
interrompado	inter'romp'ad'o
interrompanta	inter'romp'ant'a
interrompante	inter'romp'ant'e
interrompata	inter'romp'at'a
interrompiĝas	inter'romp'iĝ'as
interrompiĝis	inter'romp'iĝ'is
interrompita	inter'romp'it'a
interrompitaj	inter'romp'it'a'j
interrompitajn	inter'romp'it'a'j'n
interrompitan	inter'romp'it'a'n
interŝanĝa	inter'ŝanĝ'a
interŝanĝaj	inter'ŝanĝ'a'j
interŝanĝan	inter'ŝanĝ'a'n
interŝanĝas	inter'ŝanĝ'as
interŝanĝe	inter'ŝanĝ'e
interŝanĝi	inter'ŝanĝ'i
interŝanĝis	inter'ŝanĝ'is
interŝanĝo	inter'ŝanĝ'o
interŝanĝoj	inter'ŝanĝ'o'j
interŝanĝojn	inter'ŝanĝ'o'j'n
interŝanĝon	inter'ŝanĝ'o'n
interŝanĝos	inter'ŝanĝ'os
interŝanĝu	inter'ŝanĝ'u
interŝanĝus	inter'ŝanĝ'us
interŝanĝado	inter'ŝanĝ'ad'o
interŝanĝanta	inter'ŝanĝ'ant'a
interŝanĝantaj	inter'ŝanĝ'ant'a'j
interŝanĝante	inter'ŝanĝ'ant'e
interŝanĝebla	inter'ŝanĝ'ebl'a
interŝanĝeblaj	inter'ŝanĝ'ebl'a'j
interŝanĝeblajn	inter'ŝanĝ'ebl'a'j'n
interŝanĝeble	inter'ŝanĝ'ebl'e
interŝanĝita	inter'ŝanĝ'it'a
interŝanĝitaj	inter'ŝanĝ'it'a'j
intersekca	inter'sekc'a
intersekcas	inter'sekc'as
intersekco	inter'sekc'o
intersekciĝo	inter'sekc'iĝ'o
intersekciĝoj	inter'sekc'iĝ'o'j
intersekciĝojn	inter'sekc'iĝ'o'j'n
intersekciĝon	inter'sekc'iĝ'o'n
intersimilas	inter'simil'as
interspacaj	inter'spac'a'j
interspaco	inter'spac'o
interspacoj	inter'spac'o'j
interspacojn	inter'spac'o'j'n
interspacon	inter'spac'o'n
interspacigas	inter'spac'ig'as
interspacigis	inter'spac'ig'is
interspacigo	inter'spac'ig'o
interspacigon	inter'spac'ig'o'n
interspacigitaj	inter'spac'ig'it'a'j
interspecia	inter'speci'a
interspecifa	inter'specif'a
interŝtata	inter'ŝtat'a
interŝtataj	inter'ŝtat'a'j
interŝtatajn	inter'ŝtat'a'j'n
interŝtatan	inter'ŝtat'a'n
interstela	inter'stel'a
interstelaj	inter'stel'a'j
interstelajn	inter'stel'a'j'n
interstelan	inter'stel'a'n
intertajda	inter'tajd'a
intertajdaj	inter'tajd'a'j
interteksteco	inter'tekst'ec'o
intertempa	inter'temp'a
intertempaj	inter'temp'a'j
intertempan	inter'temp'a'n
intertempe	inter'temp'e
intertempo	inter'temp'o
intertempoj	inter'temp'o'j
intertempon	inter'temp'o'n
intertrakta	inter'trakt'a
intertraktas	inter'trakt'as
intertrakti	inter'trakt'i
intertraktis	inter'trakt'is
intertrakto	inter'trakt'o
intertraktoj	inter'trakt'o'j
intertraktojn	inter'trakt'o'j'n
intertraktado	inter'trakt'ad'o
intertraktadoj	inter'trakt'ad'o'j
intertraktadojn	inter'trakt'ad'o'j'n
intertraktadon	inter'trakt'ad'o'n
intertraktanto	inter'trakt'ant'o
intertraktantoj	inter'trakt'ant'o'j
intertropika	inter'tropik'a
intertuŝas	inter'tuŝ'as
intertuŝo	inter'tuŝ'o
interurba	inter'urb'a
interurbaj	inter'urb'a'j
interurbajn	inter'urb'a'j'n
intervenas	inter'ven'as
interveni	inter'ven'i
intervenis	inter'ven'is
interveno	inter'ven'o
intervenoj	inter'ven'o'j
intervenojn	inter'ven'o'j'n
intervenon	inter'ven'o'n
intervenos	inter'ven'os
intervenu	inter'ven'u
intervenus	inter'ven'us
intervenado	inter'ven'ad'o
intervertebra	inter'vertebr'a
intervidiĝi	inter'vid'iĝ'i
intervidiĝis	inter'vid'iĝ'is
intervidiĝo	inter'vid'iĝ'o
intervidiĝon	inter'vid'iĝ'o'n
intervidiĝos	inter'vid'iĝ'os
intervidiĝante	inter'vid'iĝ'ant'e
intervokala	inter'vokal'a
interesa	interes'a
interesaj	interes'a'j
interesajn	interes'a'j'n
interesan	interes'a'n
interesas	interes'as
interese	interes'e
interesi	interes'i
interesis	interes'is
intereso	interes'o
interesoj	interes'o'j
interesojn	interes'o'j'n
intereson	interes'o'n
interesos	interes'os
interesus	interes'us
interesado	interes'ad'o
interesaĵo	interes'aĵ'o
interesaĵoj	interes'aĵ'o'j
interesaĵojn	interes'aĵ'o'j'n
interesata	interes'at'a
interesataj	interes'at'a'j
interesate	interes'at'e
interesato	interes'at'o
interesatoj	interes'at'o'j
interesatojn	interes'at'o'j'n
interesega	interes'eg'a
interesegaj	interes'eg'a'j
interesegan	interes'eg'a'n
interesgrupo	interes'grup'o
interesgrupoj	interes'grup'o'j
interesigas	interes'ig'as
interesigi	interes'ig'i
interesigis	interes'ig'is
interesiĝas	interes'iĝ'as
interesiĝi	interes'iĝ'i
interesiĝis	interes'iĝ'is
interesigho	interes'iĝ'o
interesiĝo	interes'iĝ'o
interesiĝoj	interes'iĝ'o'j
interesiĝon	interes'iĝ'o'n
interesiĝos	interes'iĝ'os
interesiĝu	interes'iĝ'u
interesiĝus	interes'iĝ'us
interesiĝantaj	interes'iĝ'ant'a'j
interesiĝante	interes'iĝ'ant'e
interesiĝantoj	interes'iĝ'ant'o'j
interesiĝantojn	interes'iĝ'ant'o'j'n
interesita	interes'it'a
interesitaj	interes'it'a'j
interesitajn	interes'it'a'j'n
interesite	interes'it'e
interesito	interes'it'o
interesitoj	interes'it'o'j
interesitojn	interes'it'o'j'n
interesuloj	interes'ul'o'j
intereza	interez'a
interezo	interez'o
interezoj	interez'o'j
interezojn	interez'o'j'n
interezon	interez'o'n
interezoprocento	interez'o'procent'o
interezoprocentoj	interez'o'procent'o'j
interezoprocentojn	interez'o'procent'o'j'n
interezoprocenton	interez'o'procent'o'n
interfero	interfer'o
interferoj	interfer'o'j
interferon	interfer'o'n
interferometro	interferometr'o
interjekcio	interjekci'o
interjekcioj	interjekci'o'j
interjekciojn	interjekci'o'j'n
interlingvao	interlingva'o
interlingvaon	interlingva'o'n
intermeza	intermez'a
intermezaj	intermez'a'j
intermezo	intermez'o
intermita	intermit'a
intermitaj	intermit'a'j
intermitajn	intermit'a'j'n
intermitan	intermit'a'n
intermite	intermit'e
intermiti	intermit'i
interna	intern'a
internaj	intern'a'j
internajn	intern'a'j'n
internan	intern'a'n
interne	intern'e
internen	intern'e'n
interno	intern'o
internoj	intern'o'j
internojn	intern'o'j'n
internon	intern'o'n
internaĵo	intern'aĵ'o
internaĵoj	intern'aĵ'o'j
internaĵojn	intern'aĵ'o'j'n
internaĵon	intern'aĵ'o'n
interndeĵoro	intern'deĵor'o
interndeĵoroj	intern'deĵor'o'j
interndeĵorojn	intern'deĵor'o'j'n
interndeĵoron	intern'deĵor'o'n
interneto	intern'et'o
internigas	intern'ig'as
internigi	intern'ig'i
internigis	intern'ig'is
internigo	intern'ig'o
internigita	intern'ig'it'a
internigitaj	intern'ig'it'a'j
interninformantoj	intern'inform'ant'o'j
internuloj	intern'ul'o'j
internulejo	intern'ul'ej'o
interpola	interpol'a
interpolas	interpol'as
interpoli	interpol'i
interpolado	interpol'ad'o
interpreta	interpret'a
interpretaj	interpret'a'j
interpretas	interpret'as
interpreti	interpret'i
interpretis	interpret'is
interpreto	interpret'o
interpretoj	interpret'o'j
interpretojn	interpret'o'j'n
interpreton	interpret'o'n
interpretos	interpret'os
interpretu	interpret'u
interpretus	interpret'us
interpretado	interpret'ad'o
interpretadoj	interpret'ad'o'j
interpretadojn	interpret'ad'o'j'n
interpretadon	interpret'ad'o'n
interpretanta	interpret'ant'a
interpretantaj	interpret'ant'a'j
interpretante	interpret'ant'e
interpretanto	interpret'ant'o
interpretantoj	interpret'ant'o'j
interpretata	interpret'at'a
interpretataj	interpret'at'a'j
interpretebla	interpret'ebl'a
interpreteblaj	interpret'ebl'a'j
interpreteblas	interpret'ebl'as
interpretilo	interpret'il'o
interpretisto	interpret'ist'o
interpretistoj	interpret'ist'o'j
interpretistojn	interpret'ist'o'j'n
interpretiston	interpret'ist'o'n
interpretistino	interpret'ist'in'o
interpretita	interpret'it'a
interpretitaj	interpret'it'a'j
interpretite	interpret'it'e
interpunkcia	interpunkci'a
interpunkciaj	interpunkci'a'j
interpunkcio	interpunkci'o
interpunkcioj	interpunkci'o'j
interpunkcion	interpunkci'o'n
interpunkciosignoj	interpunkci'o'sign'o'j
intervala	interval'a
intervalas	interval'as
intervali	interval'i
intervalis	interval'is
intervalo	interval'o
intervaloj	interval'o'j
intervalojn	interval'o'j'n
intervalon	interval'o'n
intervalanta	interval'ant'a
intervalantaj	interval'ant'a'j
intervalantajn	interval'ant'a'j'n
intervalante	interval'ant'e
intervjuas	intervju'as
intervjui	intervju'i
intervjuis	intervju'is
intervjuo	intervju'o
intervjuoj	intervju'o'j
intervjuojn	intervju'o'j'n
intervjuon	intervju'o'n
intervjuos	intervju'os
intervjuado	intervju'ad'o
intervjuante	intervju'ant'e
intervjuanto	intervju'ant'o
intervjuantoj	intervju'ant'o'j
intervjuata	intervju'at'a
intervjuate	intervju'at'e
intervjuita	intervju'it'a
intervjuitaj	intervju'it'a'j
intervjuite	intervju'it'e
intervjuito	intervju'it'o
intervjuitoj	intervju'it'o'j
intesta	intest'a
intestaj	intest'a'j
intestajn	intest'a'j'n
intestan	intest'a'n
intesto	intest'o
intestoj	intest'o'j
intestojn	intest'o'j'n
inteston	intest'o'n
intestaro	intest'ar'o
intima	intim'a
intimaj	intim'a'j
intimajn	intim'a'j'n
intiman	intim'a'n
intimas	intim'as
intime	intim'e
intimo	intim'o
intimeco	intim'ec'o
intimecon	intim'ec'o'n
intimiĝis	intim'iĝ'is
intimuloj	intim'ul'o'j
intonacio	intonaci'o
intonacioj	intonaci'o'j
intonacion	intonaci'o'n
intraĉela	intra'ĉel'a
intraĉelaj	intra'ĉel'a'j
intraĉelan	intra'ĉel'a'n
intrakrania	intra'krani'a
intrareto	intra'ret'o
intrautera	intra'uter'a
intravejna	intra'vejn'a
intravejnaj	intra'vejn'a'j
intravejne	intra'vejn'e
intriga	intrig'a
intrigas	intrig'as
intrigi	intrig'i
intrigis	intrig'is
intrigo	intrig'o
intrigoj	intrig'o'j
intrigojn	intrig'o'j'n
intrigon	intrig'o'n
intrigado	intrig'ad'o
intrigante	intrig'ant'e
intrigita	intrig'it'a
intrigitaj	intrig'it'a'j
introspekto	introspekt'o
introvertaj	introvert'a'j
introvertita	introvertit'a
intuo	intu'o
intuicia	intuici'a
intuiciaj	intuici'a'j
intuiciajn	intuici'a'j'n
intuician	intuici'a'n
intuicie	intuici'e
intuicio	intuici'o
intuicioj	intuici'o'j
intuicion	intuici'o'n
inuita	inuit'a
inuitaj	inuit'a'j
inuito	inuit'o
inuitoj	inuit'o'j
inunda	inund'a
inundas	inund'as
inundi	inund'i
inundis	inund'is
inundo	inund'o
inundoj	inund'o'j
inundojn	inund'o'j'n
inundon	inund'o'n
inundos	inund'os
inundado	inund'ad'o
inundadon	inund'ad'o'n
inundante	inund'ant'e
inundata	inund'at'a
inundataj	inund'at'a'j
inundita	inund'it'a
inunditaj	inund'it'a'j
inundokontrolo	inund'o'kontrol'o
invada	invad'a
invadaj	invad'a'j
invadan	invad'a'n
invadas	invad'as
invadi	invad'i
invadis	invad'is
invado	invad'o
invadoj	invad'o'j
invadojn	invad'o'j'n
invadon	invad'o'n
invados	invad'os
invadus	invad'us
invadado	invad'ad'o
invadantaj	invad'ant'a'j
invadante	invad'ant'e
invadanto	invad'ant'o
invadantoj	invad'ant'o'j
invadantojn	invad'ant'o'j'n
invadinto	invad'int'o
invadintoj	invad'int'o'j
invadistoj	invad'ist'o'j
invadita	invad'it'a
invaditaj	invad'it'a'j
invalido	invalid'o
invalidoj	invalid'o'j
invalideco	invalid'ec'o
invarianto	invariant'o
invariantoj	invariant'o'j
inventa	invent'a
inventas	invent'as
inventi	invent'i
inventis	invent'is
invento	invent'o
inventoj	invent'o'j
inventojn	invent'o'j'n
inventon	invent'o'n
inventos	invent'os
inventu	invent'u
inventus	invent'us
inventado	invent'ad'o
inventaĵo	invent'aĵ'o
inventaĵoj	invent'aĵ'o'j
inventaĵojn	invent'aĵ'o'j'n
inventaĵon	invent'aĵ'o'n
inventante	invent'ant'e
inventaro	invent'ar'o
inventaron	invent'ar'o'n
inventema	invent'em'a
inventemaj	invent'em'a'j
inventemo	invent'em'o
inventemon	invent'em'o'n
inventiĝis	invent'iĝ'is
inventinto	invent'int'o
inventintoj	invent'int'o'j
inventisto	invent'ist'o
inventistoj	invent'ist'o'j
inventiston	invent'ist'o'n
inventita	invent'it'a
inventitaj	invent'it'a'j
inventitan	invent'it'a'n
inventaro	inventar'o
inventaron	inventar'o'n
inversa	invers'a
inversaj	invers'a'j
inversajn	invers'a'j'n
inversan	invers'a'n
inverse	invers'e
inverso	invers'o
inverson	invers'o'n
inversigas	invers'ig'as
inversigi	invers'ig'i
inversigis	invers'ig'is
inversigo	invers'ig'o
inversigoj	invers'ig'o'j
inversigon	invers'ig'o'n
inversigado	invers'ig'ad'o
inversigante	invers'ig'ant'e
inversigebla	invers'ig'ebl'a
inversigita	invers'ig'it'a
inversigitaj	invers'ig'it'a'j
inversiĝis	invers'iĝ'is
inversita	invers'it'a
inversio	inversi'o
inversioj	inversi'o'j
inversion	inversi'o'n
invertita	invert'it'a
investa	invest'a
investaj	invest'a'j
investajn	invest'a'j'n
investan	invest'a'n
investas	invest'as
investi	invest'i
investis	invest'is
investo	invest'o
investoj	invest'o'j
investojn	invest'o'j'n
investon	invest'o'n
investos	invest'os
investu	invest'u
investus	invest'us
investado	invest'ad'o
investadon	invest'ad'o'n
investaĵo	invest'aĵ'o
investanta	invest'ant'a
investante	invest'ant'e
investanto	invest'ant'o
investantoj	invest'ant'o'j
investantojn	invest'ant'o'j'n
investbankoj	invest'bank'o'j
investistoj	invest'ist'o'j
investita	invest'it'a
investitaj	invest'it'a'j
investituro	investitur'o
invita	invit'a
invitas	invit'as
invite	invit'e
inviti	invit'i
invitis	invit'is
invito	invit'o
invitoj	invit'o'j
invitojn	invit'o'j'n
inviton	invit'o'n
invitos	invit'os
invitu	invit'u
invitus	invit'us
invitado	invit'ad'o
invitanta	invit'ant'a
invitante	invit'ant'e
invitata	invit'at'a
invitataj	invit'at'a'j
invitiĝis	invit'iĝ'is
invitilo	invit'il'o
invitilojn	invit'il'o'j'n
invitilon	invit'il'o'n
invitinta	invit'int'a
invitita	invit'it'a
invititaj	invit'it'a'j
invitite	invit'it'e
invitito	invit'it'o
invititoj	invit'it'o'j
invitleteron	invit'leter'o'n
involukraj	involukr'a'j
involukro	involukr'o
iom	iom
ioma	iom'a
iomaj	iom'a'j
iomajn	iom'a'j'n
ioman	iom'a'n
iome	iom'e
iometa	iom'et'a
iometaj	iom'et'a'j
iometajn	iom'et'a'j'n
iometan	iom'et'a'n
iomete	iom'et'e
iometo	iom'et'o
iometon	iom'et'o'n
iometete	iom'et'et'e
iompostiom	iom'post'iom
iompostioma	iom'post'iom'a
iompostioman	iom'post'iom'a'n
iompostiome	iom'post'iom'e
iona	ion'a
ionia	ioni'a
ionio	ioni'o
ionianoj	ioni'an'o'j
ionika	ionik'a
ionikaj	ionik'a'j
iovao	iova'o
ipo	ip'o
ira	ir'a
iran	ir'a'n
iras	ir'as
ire	ir'e
iri	ir'i
iris	ir'is
iro	ir'o
iron	ir'o'n
iros	ir'os
iru	ir'u
irus	ir'us
iradas	ir'ad'as
iradi	ir'ad'i
iradis	ir'ad'is
irado	ir'ad'o
iradoj	ir'ad'o'j
iradon	ir'ad'o'n
irados	ir'ad'os
iranta	ir'ant'a
irantaj	ir'ant'a'j
irantajn	ir'ant'a'j'n
irantan	ir'ant'a'n
irante	ir'ant'e
irantoj	ir'ant'o'j
irebla	ir'ebl'a
irejo	ir'ej'o
irejon	ir'ej'o'n
irigas	ir'ig'as
irigi	ir'ig'i
irigis	ir'ig'is
irigos	ir'ig'os
irinta	ir'int'a
irintaj	ir'int'a'j
irinte	ir'int'e
irintus	ir'int'us
irita	ir'it'a
iritaj	ir'it'a'j
iritan	ir'it'a'n
iritas	ir'it'as
iriti	ir'it'i
iritis	ir'it'is
irito	ir'it'o
iriton	ir'it'o'n
irmaniero	ir'manier'o
irmanieron	ir'manier'o'n
ironta	ir'ont'a
irontaj	ir'ont'a'j
ironte	ir'ont'e
irota	ir'ot'a
irpreni	ir'pren'i
irvojo	ir'voj'o
iraka	irak'a
irakaj	irak'a'j
irakajn	irak'a'j'n
irakan	irak'a'n
irako	irak'o
irakon	irak'o'n
irakano	irak'an'o
irakanoj	irak'an'o'j
irakanojn	irak'an'o'j'n
irakmilito	irak'milit'o
irana	iran'a
iranaj	iran'a'j
iranajn	iran'a'j'n
iranan	iran'a'n
irano	iran'o
iranon	iran'o'n
iranano	iran'an'o
irananoj	iran'an'o'j
irananojn	iran'an'o'j'n
irandevena	iran'de'ven'a
irena	iren'a
irene	iren'e
ireneo	irene'o
irido	irid'o
iridio	iridi'o
irigacia	irigaci'a
irigaciaj	irigaci'a'j
irigaciajn	irigaci'a'j'n
irigacian	irigaci'a'n
irigacias	irigaci'as
irigacii	irigaci'i
irigacio	irigaci'o
irigacion	irigaci'o'n
irigaciado	irigaci'ad'o
irigaciita	irigaci'it'a
irigaciitaj	irigaci'it'a'j
iriso	iris'o
irisoj	iris'o'j
irisojn	iris'o'j'n
irison	iris'o'n
irita	irit'a
iritaj	irit'a'j
iritan	irit'a'n
iritas	irit'as
iriti	irit'i
iritis	irit'is
irito	irit'o
iriton	irit'o'n
iritaĵo	irit'aĵ'o
iritiĝo	irit'iĝ'o
iritiĝon	irit'iĝ'o'n
iritiĝemo	irit'iĝ'em'o
iritita	irit'it'a
irititaj	irit'it'a'j
irizaj	iriz'a'j
irizeco	iriz'ec'o
irlanda	irland'a
irlandaj	irland'a'j
irlandajn	irland'a'j'n
irlandan	irland'a'n
irlande	irland'e
irlando	irland'o
irlandon	irland'o'n
irlandano	irland'an'o
irlandanoj	irland'an'o'j
irlandanon	irland'an'o'n
ironia	ironi'a
ironiaj	ironi'a'j
ironian	ironi'a'n
ironias	ironi'as
ironie	ironi'e
ironiis	ironi'is
ironio	ironi'o
ironion	ironi'o'n
isa	is'a
iso	is'o
ison	is'o'n
isformo	is'form'o
isidoro	isidor'o
iskarioto	iskariot'o
iskemia	iskemi'a
iskemio	iskemi'o
islama	islam'a
islamaj	islam'a'j
islamajn	islam'a'j'n
islaman	islam'a'n
islamo	islam'o
islamon	islam'o'n
islamana	islam'an'a
islamanaj	islam'an'a'j
islamano	islam'an'o
islamanoj	islam'an'o'j
islamanojn	islam'an'o'j'n
islamanon	islam'an'o'n
islamanino	islam'an'in'o
islamigo	islam'ig'o
islamisma	islam'ism'a
islamismaj	islam'ism'a'j
islamismo	islam'ism'o
islamisto	islam'ist'o
islamistoj	islam'ist'o'j
islamistojn	islam'ist'o'j'n
islamteoriuloj	islam'teori'ul'o'j
islanda	island'a
islandaj	island'a'j
islandan	island'a'n
islande	island'e
islando	island'o
islandon	island'o'n
islandano	island'an'o
islandanoj	island'an'o'j
ismo	ism'o
ismoj	ism'o'j
israela	israel'a
israelaj	israel'a'j
israelajn	israel'a'j'n
israelan	israel'a'n
israelo	israel'o
israelon	israel'o'n
israelapalestina	israel'a'palestin'a
israelano	israel'an'o
israelanoj	israel'an'o'j
israelanojn	israel'an'o'j'n
israelpalestina	israel'palestin'a
isto	ist'o
istoj	ist'o'j
istanbula	istanbul'a
istanbulo	istanbul'o
istmo	istm'o
ita	it'a
iti	it'i
ito	it'o
itoj	it'o'j
itojn	it'o'j'n
itu	it'u
itino	it'in'o
itala	ital'a
italaj	ital'a'j
italajn	ital'a'j'n
italan	ital'a'n
itale	ital'e
italo	ital'o
italoj	ital'o'j
italojn	ital'o'j'n
italon	ital'o'n
italdevena	ital'de'ven'a
italia	ital'i'a
italiaj	ital'i'a'j
italian	ital'i'a'n
italio	ital'i'o
italion	ital'i'o'n
italiana	ital'i'an'a
italino	ital'in'o
itallingva	ital'lingv'a
itallingvaj	ital'lingv'a'j
itallingve	ital'lingv'e
italujo	ital'uj'o
italujon	ital'uj'o'n
iteracio	iteraci'o
itinero	itiner'o
itineroj	itiner'o'j
itinerojn	itiner'o'j'n
itineron	itiner'o'n
iu	iu
iuj	iu'j
iun	iu'n
iufoje	iu'foj'e
iugrade	iu'grad'e
iujn	iu'j'n
iukaze	iu'kaz'e
iuloke	iu'lok'e
iumaniere	iu'manier'e
iumatene	iu'maten'e
iumomente	iu'moment'e
iusence	iu'senc'e
iuspeca	iu'spec'a
iuspecan	iu'spec'a'n
iutage	iu'tag'e
iutempe	iu'temp'e
ivano	ivan'o
ivanon	ivan'o'n
izisa	izis'a
iziso	izis'o
izola	izol'a
izolaj	izol'a'j
izolajn	izol'a'j'n
izolan	izol'a'n
izolas	izol'as
izole	izol'e
izoli	izol'i
izolis	izol'is
izolo	izol'o
izolado	izol'ad'o
izoladon	izol'ad'o'n
izolaĵo	izol'aĵ'o
izolaĵoj	izol'aĵ'o'j
izolanta	izol'ant'a
izolante	izol'ant'e
izolata	izol'at'a
izolataj	izol'at'a'j
izoleco	izol'ec'o
izolecon	izol'ec'o'n
izolejo	izol'ej'o
izoligas	izol'ig'as
izoligo	izol'ig'o
izoliĝis	izol'iĝ'is
izoliĝo	izol'iĝ'o
izolilo	izol'il'o
izoliloj	izol'il'o'j
izolita	izol'it'a
izolitaj	izol'it'a'j
izolitajn	izol'it'a'j'n
izolitan	izol'it'a'n
izolite	izol'it'e
