fabo	fab'o
fiŝistoj	fiŝ'ist'o'j
fiŝkapta	fiŝ'kapt'a
fiŝkaptaj	fiŝ'kapt'a'j
fiŝkaptajn	fiŝ'kapt'a'j'n
fiŝkaptan	fiŝ'kapt'a'n
fiŝkaptas	fiŝ'kapt'as
fiŝkapti	fiŝ'kapt'i
fiŝkaptis	fiŝ'kapt'is
fiŝkaptadaj	fiŝ'kapt'ad'a'j
fiŝkaptadi	fiŝ'kapt'ad'i
fiŝkaptado	fiŝ'kapt'ad'o
fiŝkaptadon	fiŝ'kapt'ad'o'n
fiŝkaptante	fiŝ'kapt'ant'e
fiŝkaptejo	fiŝ'kapt'ej'o
fiŝkaptejoj	fiŝ'kapt'ej'o'j
fiŝkaptista	fiŝ'kapt'ist'a
fiŝkaptistaj	fiŝ'kapt'ist'a'j
fiŝkaptisto	fiŝ'kapt'ist'o
fiŝkaptistoj	fiŝ'kapt'ist'o'j
fiŝkaptistojn	fiŝ'kapt'ist'o'j'n
fiŝlago	fiŝ'lag'o
fiŝlagoj	fiŝ'lag'o'j
fiŝoleo	fiŝ'ole'o
fiŝreto	fiŝ'ret'o
fiŝretoj	fiŝ'ret'o'j
fiŝretojn	fiŝ'ret'o'j'n
fiŝsaŭco	fiŝ'saŭc'o
fiŝspecoj	fiŝ'spec'o'j
fiŝvendisto	fiŝ'vend'ist'o
fizika	fizik'a
fizikaj	fizik'a'j
fizikajn	fizik'a'j'n
fizikan	fizik'a'n
fizike	fizik'e
fiziko	fizik'o
fizikoj	fizik'o'j
fizikojn	fizik'o'j'n
fizikon	fizik'o'n
fizikismo	fizik'ism'o
fizikisto	fizik'ist'o
fizikistoj	fizik'ist'o'j
fizikistojn	fizik'ist'o'j'n
fizikiston	fizik'ist'o'n
fiziologoj	fiziolog'o'j
fiziologia	fiziolog'i'a
fiziologiaj	fiziolog'i'a'j
fiziologiajn	fiziolog'i'a'j'n
fiziologian	fiziolog'i'a'n
fiziologie	fiziolog'i'e
fiziologio	fiziolog'i'o
fiziologion	fiziolog'i'o'n
fizionomio	fizionomi'o
fizionomion	fizionomi'o'n
fizioterapio	fizioterapi'o
fjordo	fjord'o
fjordoj	fjord'o'j
fjordon	fjord'o'n
fjordane	fjord'an'e
flaga	flag'a
flago	flag'o
flagoj	flag'o'j
flagojn	flag'o'j'n
flagon	flag'o'n
flageto	flag'et'o
flagetoj	flag'et'o'j
flagetojn	flag'et'o'j'n
flageton	flag'et'o'n
flagstango	flag'stang'o
flagŝipo	flag'ŝip'o
flagelo	flagel'o
flagras	flagr'as
flagris	flagr'is
flagrado	flagr'ad'o
flagranta	flagr'ant'a
flagrantaj	flagr'ant'a'j
flagretis	flagr'et'is
flako	flak'o
flakoj	flak'o'j
flakojn	flak'o'j'n
flakon	flak'o'n
flakono	flakon'o
flakonoj	flakon'o'j
flakonon	flakon'o'n
flama	flam'a
flamaj	flam'a'j
flaman	flam'a'n
flamas	flam'as
flame	flam'e
flamis	flam'is
flamo	flam'o
flamoj	flam'o'j
flamojn	flam'o'j'n
flamon	flam'o'n
flamanta	flam'ant'a
flamantaj	flam'ant'a'j
flameto	flam'et'o
flamigas	flam'ig'as
flamigi	flam'ig'i
flamigis	flam'ig'is
flamiĝis	flam'iĝ'is
flamiĝema	flam'iĝ'em'a
flamiĝemaj	flam'iĝ'em'a'j
flamiĝemo	flam'iĝ'em'o
flamlumo	flam'lum'o
flamlumoj	flam'lum'o'j
flamengo	flameng'o
flamengoj	flameng'o'j
flamenka	flamenk'a
flamenko	flamenk'o
flano	flan'o
flanoj	flan'o'j
flanon	flan'o'n
flandra	flandr'a
flandraj	flandr'a'j
flandran	flandr'a'n
flandro	flandr'o
flandroj	flandr'o'j
flandrio	flandr'i'o
flandrion	flandr'i'o'n
flandrujo	flandr'uj'o
flanelo	flanel'o
flanĝo	flanĝ'o
flanka	flank'a
flankaj	flank'a'j
flankajn	flank'a'j'n
flankan	flank'a'n
flanke	flank'e
flanken	flank'e'n
flanko	flank'o
flankoj	flank'o'j
flankojn	flank'o'j'n
flankon	flank'o'n
flankaĵoj	flank'aĵ'o'j
flankalflanka	flank'al'flank'a
flankalflanke	flank'al'flank'e
flankaparato	flank'aparat'o
flankaparatoj	flank'aparat'o'j
flankenbalaas	flank'e'n'bala'as
flankenbalais	flank'e'n'bala'is
flankenbalaita	flank'e'n'bala'it'a
flankeniris	flank'e'n'ir'is
flankenlasas	flank'e'n'las'as
flankenlasi	flank'e'n'las'i
flankenlasis	flank'e'n'las'is
flankenmetas	flank'e'n'met'as
flankenmeti	flank'e'n'met'i
flankenmetis	flank'e'n'met'is
flankenmetitaj	flank'e'n'met'it'a'j
flankenmetite	flank'e'n'met'it'e
flankenpuŝita	flank'e'n'puŝ'it'a
flankenŝovi	flank'e'n'ŝov'i
flankefikoj	flank'efik'o'j
flankiĝis	flank'iĝ'is
flankita	flank'it'a
flanklinioj	flank'lini'o'j
flankmuro	flank'mur'o
flankmuroj	flank'mur'o'j
flanknavo	flank'nav'o
flanknavoj	flank'nav'o'j
flankoĉeflanke	flank'o'ĉe'flank'e
flankovojoj	flank'o'voj'o'j
flankovojon	flank'o'voj'o'n
flankpasi	flank'pas'i
flankrivero	flank'river'o
flankriveroj	flank'river'o'j
flara	flar'a
flaraj	flar'a'j
flaras	flar'as
flari	flar'i
flaris	flar'is
flaro	flar'o
flaron	flar'o'n
flaru	flar'u
flarado	flar'ad'o
flaradon	flar'ad'o'n
flarante	flar'ant'e
flarkapablon	flar'kapabl'o'n
flarsenso	flar'sens'o
flarsento	flar'sent'o
flata	flat'a
flataj	flat'a'j
flatas	flat'as
flate	flat'e
flati	flat'i
flatis	flat'is
flato	flat'o
flatoj	flat'o'j
flatu	flat'u
flatado	flat'ad'o
flatema	flat'em'a
flatita	flat'it'a
flaŭra	flaŭr'a
flaŭro	flaŭr'o
flaŭron	flaŭr'o'n
flava	flav'a
flavaj	flav'a'j
flavajn	flav'a'j'n
flavan	flav'a'n
flavas	flav'as
flave	flav'e
flavo	flav'o
flavon	flav'o'n
flavbeka	flav'bek'a
flavbruna	flav'brun'a
flaveca	flav'ec'a
flavecaj	flav'ec'a'j
flavecajn	flav'ec'a'j'n
flavecan	flav'ec'a'n
flavece	flav'ec'e
flaveco	flav'ec'o
flavecbruna	flav'ec'brun'a
flaveta	flav'et'a
flavetaj	flav'et'a'j
flavgriza	flav'griz'a
flaviĝas	flav'iĝ'as
flaviĝis	flav'iĝ'is
flavkolora	flav'kolor'a
flavoranĝa	flav'oranĝ'a
flavulo	flav'ul'o
flavverda	flav'verd'a
flavia	flavi'a
flavio	flavi'o
flavonoidoj	flavon'oid'o'j
flegas	fleg'as
flegi	fleg'i
flegis	fleg'is
flego	fleg'o
flegon	fleg'o'n
flegu	fleg'u
flegado	fleg'ad'o
flegadon	fleg'ad'o'n
flegata	fleg'at'a
flegataj	fleg'at'a'j
flegejo	fleg'ej'o
flegejoj	fleg'ej'o'j
flegejon	fleg'ej'o'n
flegisto	fleg'ist'o
flegistoj	fleg'ist'o'j
flegistojn	fleg'ist'o'j'n
flegistino	fleg'ist'in'o
flegistinoj	fleg'ist'in'o'j
flegistinojn	fleg'ist'in'o'j'n
flegistinon	fleg'ist'in'o'n
flegita	fleg'it'a
flegitaj	fleg'it'a'j
flegma	flegm'a
flegme	flegm'e
fleksa	fleks'a
fleksas	fleks'as
fleksi	fleks'i
fleksis	fleks'is
flekso	fleks'o
fleksu	fleks'u
fleksado	fleks'ad'o
fleksadon	fleks'ad'o'n
fleksante	fleks'ant'e
fleksebla	fleks'ebl'a
flekseblaj	fleks'ebl'a'j
flekseblajn	fleks'ebl'a'j'n
flekseblan	fleks'ebl'a'n
flekseble	fleks'ebl'e
flekseblo	fleks'ebl'o
fleksebleco	fleks'ebl'ec'o
flekseblecon	fleks'ebl'ec'o'n
fleksejo	fleks'ej'o
fleksejoj	fleks'ej'o'j
fleksiĝas	fleks'iĝ'as
fleksiĝi	fleks'iĝ'i
fleksiĝis	fleks'iĝ'is
fleksiĝema	fleks'iĝ'em'a
fleksiĝinte	fleks'iĝ'int'e
fleksinte	fleks'int'e
fleksita	fleks'it'a
fleksitaj	fleks'it'a'j
fleksitan	fleks'it'a'n
fleksia	fleksi'a
fleksiaj	fleksi'a'j
fleksias	fleksi'as
fleksio	fleksi'o
fleksioj	fleksi'o'j
flikas	flik'as
fliki	flik'i
flikis	flik'is
flikaĵo	flik'aĵ'o
flikitaj	flik'it'a'j
flirtas	flirt'as
flirte	flirt'e
flirti	flirt'i
flirtis	flirt'is
flirto	flirt'o
flirtado	flirt'ad'o
flirtanima	flirt'anim'a
flirtanimaj	flirt'anim'a'j
flirtanta	flirt'ant'a
flirtantaj	flirt'ant'a'j
flirtema	flirt'em'a
floko	flok'o
flokoj	flok'o'j
flokojn	flok'o'j'n
flokiĝo	flok'iĝ'o
flora	flor'a
floraj	flor'a'j
florajn	flor'a'j'n
floran	flor'a'n
floras	flor'as
flori	flor'i
floris	flor'is
floro	flor'o
floroj	flor'o'j
florojn	flor'o'j'n
floron	flor'o'n
floros	flor'os
floru	flor'u
florus	flor'us
floradis	flor'ad'is
florado	flor'ad'o
floradon	flor'ad'o'n
floraĵoj	flor'aĵ'o'j
floranta	flor'ant'a
florantaj	flor'ant'a'j
florantajn	flor'ant'a'j'n
florantan	flor'ant'a'n
floraro	flor'ar'o
floraroj	flor'ar'o'j
florarojn	flor'ar'o'j'n
floraron	flor'ar'o'n
floraranĝo	flor'aranĝ'o
florbedo	flor'bed'o
florbedoj	flor'bed'o'j
florbrasiko	flor'brasik'o
florbukedo	flor'buked'o
florbukedon	flor'buked'o'n
florburĝonoj	flor'burĝon'o'j
floreto	flor'et'o
floretoj	flor'et'o'j
floreton	flor'et'o'n
florinda	flor'ind'a
florkrono	flor'kron'o
florkronoj	flor'kron'o'j
florkronon	flor'kron'o'n
florplanto	flor'plant'o
florplantoj	flor'plant'o'j
florpoto	flor'pot'o
florpotoj	flor'pot'o'j
flortempo	flor'temp'o
flortigoj	flor'tig'o'j
florvazo	flor'vaz'o
florvazoj	flor'vaz'o'j
florvazon	flor'vaz'o'n
florvendejo	flor'vend'ej'o
florenca	florenc'a
florence	florenc'e
florenco	florenc'o
florencon	florenc'o'n
floriano	florian'o
florida	florid'a
florido	florid'o
floridon	florid'o'n
flosas	flos'as
flosi	flos'i
flosis	flos'is
floso	flos'o
flosoj	flos'o'j
floson	flos'o'n
flosado	flos'ad'o
flosanta	flos'ant'a
flosantaj	flos'ant'a'j
flosantan	flos'ant'a'n
flosante	flos'ant'e
flosema	flos'em'a
flosemo	flos'em'o
flosemon	flos'em'o'n
flosglacio	flos'glaci'o
flosigi	flos'ig'i
flosigado	flos'ig'ad'o
flosigante	flos'ig'ant'e
flosilo	flos'il'o
flosiloj	flos'il'o'j
flosponto	flos'pont'o
flota	flot'a
floto	flot'o
flotoj	flot'o'j
flotojn	flot'o'j'n
floton	flot'o'n
flotestro	flot'estr'o
flua	flu'a
fluaj	flu'a'j
fluan	flu'a'n
fluas	flu'as
flue	flu'e
flui	flu'i
fluis	flu'is
fluo	flu'o
fluoj	flu'o'j
fluojn	flu'o'j'n
fluon	flu'o'n
fluos	flu'os
fluu	flu'u
fluus	flu'us
fluadas	flu'ad'as
fluadis	flu'ad'is
fluado	flu'ad'o
fluadon	flu'ad'o'n
fluaĵa	flu'aĵ'a
fluaĵo	flu'aĵ'o
fluaĵoj	flu'aĵ'o'j
fluaĵon	flu'aĵ'o'n
fluanta	flu'ant'a
fluantaj	flu'ant'a'j
fluantajn	flu'ant'a'j'n
fluantan	flu'ant'a'n
fluante	flu'ant'e
flueco	flu'ec'o
fluecon	flu'ec'o'n
fluejo	flu'ej'o
fluejoj	flu'ej'o'j
fluejon	flu'ej'o'n
fluetis	flu'et'is
fluigas	flu'ig'as
fluigi	flu'ig'i
fluigis	flu'ig'is
flukvanto	flu'kvant'o
flukvantoj	flu'kvant'o'j
flulavi	flu'lav'i
flulinia	flu'lini'a
fluliniaj	flu'lini'a'j
fluliniigi	flu'lini'ig'i
fluorapideco	flu'o'rapid'ec'o
flurapideco	flu'rapid'ec'o
fluga	flug'a
flugaj	flug'a'j
flugajn	flug'a'j'n
flugan	flug'a'n
flugas	flug'as
fluge	flug'e
flugi	flug'i
flugis	flug'is
flugo	flug'o
flugoj	flug'o'j
flugojn	flug'o'j'n
flugon	flug'o'n
flugos	flug'os
flugu	flug'u
flugus	flug'us
flugadas	flug'ad'as
flugadis	flug'ad'is
flugado	flug'ad'o
flugadon	flug'ad'o'n
fluganta	flug'ant'a
flugantaj	flug'ant'a'j
flugantajn	flug'ant'a'j'n
flugantan	flug'ant'a'n
flugante	flug'ant'e
flugantoj	flug'ant'o'j
flugbiletojn	flug'bilet'o'j'n
flugbileton	flug'bilet'o'n
flugcindro	flug'cindr'o
flugetas	flug'et'as
flugferdeko	flug'ferdek'o
flugfolio	flug'foli'o
flugfolioj	flug'foli'o'j
flugfoliojn	flug'foli'o'j'n
flugfolion	flug'foli'o'n
flughavena	flug'haven'a
flughavenaj	flug'haven'a'j
flughaveno	flug'haven'o
flughavenoj	flug'haven'o'j
flughavenojn	flug'haven'o'j'n
flughavenon	flug'haven'o'n
flugigas	flug'ig'as
flugigi	flug'ig'i
flugigis	flug'ig'is
flugila	flug'il'a
flugilaj	flug'il'a'j
flugilo	flug'il'o
flugiloj	flug'il'o'j
flugilojn	flug'il'o'j'n
flugilon	flug'il'o'n
flugiletoj	flug'il'et'o'j
flugilfrapado	flug'il'frap'ad'o
flugilhava	flug'il'hav'a
flugilhavaj	flug'il'hav'a'j
flugilhavan	flug'il'hav'a'n
flugilkovriloj	flug'il'kovr'il'o'j
flugilmakuloj	flug'il'makul'o'j
flugilpinto	flug'il'pint'o
flugilpintoj	flug'il'pint'o'j
flugilplumoj	flug'il'plum'o'j
flugilstrio	flug'il'stri'o
flugilstrioj	flug'il'stri'o'j
flugilstriojn	flug'il'stri'o'j'n
flugilstrion	flug'il'stri'o'n
flugita	flug'it'a
flugitaj	flug'it'a'j
flugkompanio	flug'kompani'o
flugkompanioj	flug'kompani'o'j
flugkontrolsistemo	flug'kontrol'sistem'o
flugmalsano	flug'mal'san'o
flugmaniero	flug'manier'o
flugmanieron	flug'manier'o'n
flugmaŝino	flug'maŝin'o
flugmaŝinoj	flug'maŝin'o'j
flugmotoroj	flug'motor'o'j
flugoplumoj	flug'o'plum'o'j
flugpado	flug'pad'o
flugpilko	flug'pilk'o
flugpilkon	flug'pilk'o'n
flugpilkado	flug'pilk'ad'o
flugplumoj	flug'plum'o'j
flugrapide	flug'rapid'e
flugteamo	flug'team'o
flugteamoj	flug'team'o'j
flugtransporto	flug'trans'port'o
fluida	fluid'a
fluidaj	fluid'a'j
fluidajn	fluid'a'j'n
fluidan	fluid'a'n
fluido	fluid'o
fluidoj	fluid'o'j
fluidojn	fluid'o'j'n
fluidaĵo	fluid'aĵ'o
fluidaĵoj	fluid'aĵ'o'j
fluidaĵon	fluid'aĵ'o'n
fluidodinamiko	fluid'o'dinamik'o
fluktuas	fluktu'as
fluktuo	fluktu'o
fluktuoj	fluktu'o'j
fluktuojn	fluktu'o'j'n
fluktuado	fluktu'ad'o
fluora	fluor'a
fluoro	fluor'o
fluoron	fluor'o'n
fluorida	fluor'id'a
fluorido	fluor'id'o
fluoridoj	fluor'id'o'j
fluoridon	fluor'id'o'n
fluoreska	fluoresk'a
fluoreskaj	fluoresk'a'j
fluoreskajn	fluoresk'a'j'n
fluoreskan	fluoresk'a'n
fluoresko	fluoresk'o
fluoreskeco	fluoresk'ec'o
fluoreskecon	fluoresk'ec'o'n
fluso	flus'o
flusebenaĵoj	flus'eben'aĵ'o'j
flustra	flustr'a
flustras	flustr'as
flustre	flustr'e
flustri	flustr'i
flustris	flustr'is
flustro	flustr'o
flustroj	flustr'o'j
flustron	flustr'o'n
flustrado	flustr'ad'o
flustranta	flustr'ant'a
flustrante	flustr'ant'e
fluto	flut'o
flutoj	flut'o'j
flutojn	flut'o'j'n
fluton	flut'o'n
fluteto	flut'et'o
flutisto	flut'ist'o
fobo	fob'o
fobio	fobi'o
fobioj	fobi'o'j
foino	foin'o
foira	foir'a
foiro	foir'o
foiroj	foir'o'j
foirojn	foir'o'j'n
foiron	foir'o'n
foirejo	foir'ej'o
foirejoj	foir'ej'o'j
foirejon	foir'ej'o'n
foirplaco	foir'plac'o
foja	foj'a
fojaj	foj'a'j
fojajn	foj'a'j'n
fojan	foj'a'n
foje	foj'e
fojo	foj'o
fojoj	foj'o'j
fojojn	foj'o'j'n
fojon	foj'o'n
fojefoje	foj'e'foj'e
fojfoja	foj'foj'a
fojfoje	foj'foj'e
fojno	fojn'o
fojnon	fojn'o'n
fojnamaso	fojn'amas'o
fojnejo	fojn'ej'o
foka	fok'a
fokaj	fok'a'j
foko	fok'o
fokoj	fok'o'j
fokojn	fok'o'j'n
fokon	fok'o'n
fokusa	fokus'a
fokusaj	fokus'a'j
fokusajn	fokus'a'j'n
fokusan	fokus'a'n
fokusas	fokus'as
fokuse	fokus'e
fokusi	fokus'i
fokusis	fokus'is
fokuso	fokus'o
fokusoj	fokus'o'j
fokusojn	fokus'o'j'n
fokuson	fokus'o'n
fokusado	fokus'ad'o
fokusigas	fokus'ig'as
fokusigi	fokus'ig'i
fokusigis	fokus'ig'is
fokusiĝas	fokus'iĝ'as
fokusiĝi	fokus'iĝ'i
fokusiĝis	fokus'iĝ'is
fokusita	fokus'it'a
fokusitaj	fokus'it'a'j
fokusitan	fokus'it'a'n
fola	fol'a
folaj	fol'a'j
foldo	fold'o
folia	foli'a
foliaj	foli'a'j
folio	foli'o
folioj	foli'o'j
foliojn	foli'o'j'n
folion	foli'o'n
foliakseloj	foli'aksel'o'j
foliantoj	foli'ant'o'j
foliaro	foli'ar'o
foliaroj	foli'ar'o'j
foliaron	foli'ar'o'n
foliarbo	foli'arb'o
foliarboj	foli'arb'o'j
foliarbaro	foli'arb'ar'o
foliarbaroj	foli'arb'ar'o'j
foliecaj	foli'ec'a'j
folieto	foli'et'o
folietoj	foli'et'o'j
folietojn	foli'et'o'j'n
folieton	foli'et'o'n
foliplato	foli'plat'o
foliplatoj	foli'plat'o'j
folirando	foli'rand'o
folisurfaco	foli'surfac'o
folitigoj	foli'tig'o'j
folitigojn	foli'tig'o'j'n
foliumas	foli'um'as
foliumi	foli'um'i
foliumis	foli'um'is
foliumado	foli'um'ad'o
foliumante	foli'um'ant'e
foliumilo	foli'um'il'o
foliumiloj	foli'um'il'o'j
foliklo	folikl'o
folikloj	folikl'o'j
folklora	folklor'a
folkloraj	folklor'a'j
folklorajn	folklor'a'j'n
folkloran	folklor'a'n
folkloro	folklor'o
folkloroj	folklor'o'j
folklorojn	folklor'o'j'n
folkloron	folklor'o'n
folkloristo	folklor'ist'o
fona	fon'a
fonaj	fon'a'j
fonajn	fon'a'j'n
fonan	fon'a'n
fone	fon'e
fono	fon'o
fonoj	fon'o'j
fonojn	fon'o'j'n
fonon	fon'o'n
fonigo	fon'ig'o
foninformon	fon'inform'o'n
fonrakonto	fon'rakont'o
fonda	fond'a
fondaj	fond'a'j
fondas	fond'as
fondi	fond'i
fondis	fond'is
fondo	fond'o
fondoj	fond'o'j
fondon	fond'o'n
fondos	fond'os
fondu	fond'u
fondado	fond'ad'o
fondadon	fond'ad'o'n
fondajho	fond'aĵ'o
fondaĵo	fond'aĵ'o
fondaĵoj	fond'aĵ'o'j
fondaĵon	fond'aĵ'o'n
fondante	fond'ant'e
fondata	fond'at'a
fondiĝas	fond'iĝ'as
fondiĝis	fond'iĝ'is
fondigho	fond'iĝ'o
fondiĝo	fond'iĝ'o
fondiĝon	fond'iĝ'o'n
fondinta	fond'int'a
fondintaj	fond'int'a'j
fondinto	fond'int'o
fondintoj	fond'int'o'j
fondintojn	fond'int'o'j'n
fondinton	fond'int'o'n
fondintino	fond'int'in'o
fondisto	fond'ist'o
fondita	fond'it'a
fonditaj	fond'it'a'j
fonditan	fond'it'a'n
fondite	fond'it'e
fondmembro	fond'membr'o
fondota	fond'ot'a
fonduma	fond'um'a
fondumo	fond'um'o
fonduso	fondus'o
fondusoj	fondus'o'j
fondusojn	fondus'o'j'n
fonduson	fondus'o'n
fonema	fonem'a
fonemaj	fonem'a'j
fonemajn	fonem'a'j'n
foneman	fonem'a'n
foneme	fonem'e
fonemo	fonem'o
fonemoj	fonem'o'j
fonemojn	fonem'o'j'n
fonemon	fonem'o'n
fonetika	fonetik'a
fonetikaj	fonetik'a'j
fonetikajn	fonetik'a'j'n
fonetikan	fonetik'a'n
fonetike	fonetik'e
fonetiko	fonetik'o
fonetikon	fonetik'o'n
fonetikistoj	fonetik'ist'o'j
fonografo	fonograf'o
fonologia	fonologi'a
fonologiaj	fonologi'a'j
fonologiajn	fonologi'a'j'n
fonologian	fonologi'a'n
fonologie	fonologi'e
fonologio	fonologi'o
fonologion	fonologi'o'n
fonta	font'a
fontaj	font'a'j
fontan	font'a'n
fontas	font'as
fonte	font'e
fonti	font'i
fontis	font'is
fonto	font'o
fontoj	font'o'j
fontojn	font'o'j'n
fonton	font'o'n
fontakvo	font'akv'o
fontakvon	font'akv'o'n
fontanta	font'ant'a
fonteto	font'et'o
fontindikoj	font'indik'o'j
fontkodo	font'kod'o
fontkodon	font'kod'o'n
fontlingvo	font'lingv'o
fontlingvoj	font'lingv'o'j
fontokritiko	font'o'kritik'o
fontolingvo	font'o'lingv'o
fontolingvoj	font'o'lingv'o'j
fontomaterialo	font'o'material'o
fontoplumo	font'o'plum'o
fontoplumon	font'o'plum'o'n
fontoteksto	font'o'tekst'o
fontotekstoj	font'o'tekst'o'j
fontteksto	font'tekst'o
fontana	fontan'a
fontano	fontan'o
fontanoj	fontan'o'j
fontanojn	fontan'o'j'n
fontanon	fontan'o'n
for	for
fora	for'a
foraj	for'a'j
forajn	for'a'j'n
foran	for'a'n
foras	for'as
fore	for'e
foren	for'e'n
foris	for'is
foroj	for'o'j
foron	for'o'n
forbalaas	for'bala'as
forbalai	for'bala'i
forbalais	for'bala'is
forbari	for'bar'i
forbaro	for'bar'o
forbatita	for'bat'it'a
forblovas	for'blov'as
forblovis	for'blov'is
forblovita	for'blov'it'a
forbrulas	for'brul'as
forbruli	for'brul'i
forbrulis	for'brul'is
forbrulos	for'brul'os
forbruligas	for'brul'ig'as
forbruligi	for'brul'ig'i
forbruligis	for'brul'ig'is
forbruligo	for'brul'ig'o
forbruligon	for'brul'ig'o'n
forbruligita	for'brul'ig'it'a
forbruligitaj	for'brul'ig'it'a'j
forbruliĝis	for'brul'iĝ'is
forbrulinta	for'brul'int'a
fordonas	for'don'as
fordoni	for'don'i
fordonis	for'don'is
fordono	for'don'o
fordonos	for'don'os
fordonu	for'don'u
fordonus	for'don'us
fordonado	for'don'ad'o
fordonante	for'don'ant'e
fordonita	for'don'it'a
foreco	for'ec'o
forejo	for'ej'o
foresta	for'est'a
forestas	for'est'as
foresti	for'est'i
forestis	for'est'is
foresto	for'est'o
forestoj	for'est'o'j
foreston	for'est'o'n
forestos	for'est'os
forestu	for'est'u
forestado	for'est'ad'o
forestanta	for'est'ant'a
forestantaj	for'est'ant'a'j
forestanto	for'est'ant'o
forfalas	for'fal'as
forfali	for'fal'i
forfalis	for'fal'is
forfalo	for'fal'o
forfalos	for'fal'os
forfikiĝu	for'fik'iĝ'u
forfluas	for'flu'as
forfluis	for'flu'is
forfluo	for'flu'o
forflugas	for'flug'as
forflugi	for'flug'i
forflugis	for'flug'is
forflugo	for'flug'o
forflugos	for'flug'os
forfuĝas	for'fuĝ'as
forfuĝi	for'fuĝ'i
forfuĝis	for'fuĝ'is
forfuĝo	for'fuĝ'o
forgalopis	for'galop'is
forglitas	for'glit'as
forglitis	for'glit'is
forglutis	for'glut'is
forhaki	for'hak'i
forhakis	for'hak'is
forhakita	for'hak'it'a
forhakitaj	for'hak'it'a'j
foriga	for'ig'a
forigas	for'ig'as
forigi	for'ig'i
forigis	for'ig'is
forigo	for'ig'o
forigoj	for'ig'o'j
forigojn	for'ig'o'j'n
forigon	for'ig'o'n
forigos	for'ig'os
forigu	for'ig'u
forigus	for'ig'us
forigado	for'ig'ad'o
foriganta	for'ig'ant'a
forigante	for'ig'ant'e
forigata	for'ig'at'a
forigataj	for'ig'at'a'j
forigebla	for'ig'ebl'a
forigeblaj	for'ig'ebl'a'j
forigenda	for'ig'end'a
foriginta	for'ig'int'a
foriginte	for'ig'int'e
forigita	for'ig'it'a
forigitaj	for'ig'it'a'j
forigitajn	for'ig'it'a'j'n
forigitan	for'ig'it'a'n
forigite	for'ig'it'e
foriĝas	for'iĝ'as
foriĝi	for'iĝ'i
foriĝis	for'iĝ'is
foriĝo	for'iĝ'o
foriĝos	for'iĝ'os
foriĝu	for'iĝ'u
foriras	for'ir'as
foriri	for'ir'i
foriris	for'ir'is
foriro	for'ir'o
foriroj	for'ir'o'j
foriron	for'ir'o'n
foriros	for'ir'os
foriru	for'ir'u
forirus	for'ir'us
foriradis	for'ir'ad'is
forirado	for'ir'ad'o
foriranta	for'ir'ant'a
forirantaj	for'ir'ant'a'j
forirantajn	for'ir'ant'a'j'n
forirantan	for'ir'ant'a'n
forirante	for'ir'ant'e
foririgi	for'ir'ig'i
foririnta	for'ir'int'a
foririntaj	for'ir'int'a'j
foririnte	for'ir'int'e
forironta	for'ir'ont'a
forirontaj	for'ir'ont'a'j
forironte	for'ir'ont'e
forĵetas	for'ĵet'as
forĵeti	for'ĵet'i
forĵetis	for'ĵet'is
forĵeto	for'ĵet'o
forĵetos	for'ĵet'os
forĵetu	for'ĵet'u
forĵetus	for'ĵet'us
forĵetado	for'ĵet'ad'o
forĵetaĵoj	for'ĵet'aĵ'o'j
forĵetaĵojn	for'ĵet'aĵ'o'j'n
forĵetante	for'ĵet'ant'e
forĵetinte	for'ĵet'int'e
forĵetita	for'ĵet'it'a
forĵetitaj	for'ĵet'it'a'j
forĵetitan	for'ĵet'it'a'n
forĵuris	for'ĵur'is
forkaptas	for'kapt'as
forkapti	for'kapt'i
forkaptis	for'kapt'is
forkapto	for'kapt'o
forkaptoj	for'kapt'o'j
forkapton	for'kapt'o'n
forkaptita	for'kapt'it'a
forkaptitaj	for'kapt'it'a'j
forkondukas	for'konduk'as
forkonduki	for'konduk'i
forkondukis	for'konduk'is
forkonduko	for'konduk'o
forkonduku	for'konduk'u
forkondukita	for'konduk'it'a
forkonsumas	for'konsum'as
forkonsumis	for'konsum'is
forkonsumita	for'konsum'it'a
forkuras	for'kur'as
forkuri	for'kur'i
forkuris	for'kur'is
forkuro	for'kur'o
forkuron	for'kur'o'n
forkuros	for'kur'os
forkuru	for'kur'u
forkurus	for'kur'us
forkurado	for'kur'ad'o
forkurinta	for'kur'int'a
forkurintaj	for'kur'int'a'j
forlasas	for'las'as
forlasi	for'las'i
forlasis	for'las'is
forlaso	for'las'o
forlason	for'las'o'n
forlasos	for'las'os
forlasu	for'las'u
forlasus	for'las'us
forlasadis	for'las'ad'is
forlasado	for'las'ad'o
forlasanta	for'las'ant'a
forlasantaj	for'las'ant'a'j
forlasante	for'las'ant'e
forlasata	for'las'at'a
forlasinta	for'las'int'a
forlasintaj	for'las'int'a'j
forlasinte	for'las'int'e
forlasita	for'las'it'a
forlasitaj	for'las'it'a'j
forlasitajn	for'las'it'a'j'n
forlasitan	for'las'it'a'n
forlasite	for'las'it'e
forlasitoj	for'las'it'o'j
forlasiteco	for'las'it'ec'o
forlasonta	for'las'ont'a
forlavas	for'lav'as
forlavi	for'lav'i
forlavis	for'lav'is
forlavitaj	for'lav'it'a'j
forliberigu	for'liber'ig'u
forlogas	for'log'as
forlogi	for'log'i
forlogis	for'log'is
forlokita	for'lok'it'a
