vada	vad'a
viglis	vigl'is
viglo	vigl'o
viglon	vigl'o'n
viglu	vigl'u
viglado	vigl'ad'o
vigleco	vigl'ec'o
viglecon	vigl'ec'o'n
viglega	vigl'eg'a
vigligas	vigl'ig'as
vigligi	vigl'ig'i
vigligis	vigl'ig'is
vigligo	vigl'ig'o
vigligistoj	vigl'ig'ist'o'j
vigligita	vigl'ig'it'a
vigliĝas	vigl'iĝ'as
vigliĝis	vigl'iĝ'is
vikario	vikari'o
vikarioj	vikari'o'j
vikia	viki'a
vikio	viki'o
vikioj	viki'o'j
vikion	viki'o'n
vikicitaro	viki'citar'o
vikifontaro	viki'font'ar'o
vikimedia	viki'medi'a
vikimedio	viki'medi'o
vikivortaro	viki'vort'ar'o
vikinga	viking'a
vikingaj	viking'a'j
vikingo	viking'o
vikingoj	viking'o'j
vikingedzino	viking'edz'in'o
vikipedia	vikipedi'a
vikipediaj	vikipedi'a'j
vikipedian	vikipedi'a'n
vikipedio	vikipedi'o
vikipedioj	vikipedi'o'j
vikipedion	vikipedi'o'n
vikipediisto	vikipedi'ist'o
vikipediistoj	vikipedi'ist'o'j
vikipedioartikolo	vikipedi'o'artikol'o
vikipedioartikoloj	vikipedi'o'artikol'o'j
viktimo	viktim'o
viktimoj	viktim'o'j
viktimojn	viktim'o'j'n
viktimon	viktim'o'n
viktimiĝis	viktim'iĝ'is
viktoro	viktor'o
viktoria	viktori'a
viktoriaj	viktori'a'j
viktorio	viktori'o
vila	vil'a
vilaj	vil'a'j
vilajn	vil'a'j'n
vilan	vil'a'n
viloj	vil'o'j
vilojn	vil'o'j'n
vilaa	vila'a
vilao	vila'o
vilaoj	vila'o'j
vilaojn	vila'o'j'n
vilaon	vila'o'n
vilaano	vila'an'o
vilaanoj	vila'an'o'j
vilaĝa	vilaĝ'a
vilagha	vilaĝ'a
vilaĝaj	vilaĝ'a'j
vilaĝajn	vilaĝ'a'j'n
vilaĝan	vilaĝ'a'n
vilagho	vilaĝ'o
vilaĝo	vilaĝ'o
vilaĝoj	vilaĝ'o'j
vilaĝojn	vilaĝ'o'j'n
vilaĝon	vilaĝ'o'n
vilaĝano	vilaĝ'an'o
vilaĝanoj	vilaĝ'an'o'j
vilaĝanojn	vilaĝ'an'o'j'n
vilaĝanaro	vilaĝ'an'ar'o
vilaĝanino	vilaĝ'an'in'o
vilaĝestro	vilaĝ'estr'o
vilaghestro	vilaĝ'estr'o
vilaĝeto	vilaĝ'et'o
vilaĝetoj	vilaĝ'et'o'j
vilaĝetojn	vilaĝ'et'o'j'n
vilaĝeton	vilaĝ'et'o'n
vilaĝplaco	vilaĝ'plac'o
vilhelmo	vilhelm'o
vilhelmon	vilhelm'o'n
vilna	viln'a
vilno	viln'o
vimenaĵa	vimen'aĵ'a
vina	vin'a
vinan	vin'a'n
vino	vin'o
vinoj	vin'o'j
vinojn	vin'o'j'n
vinon	vin'o'n
vinbera	vin'ber'a
vinberan	vin'ber'a'n
vinbero	vin'ber'o
vinberoj	vin'ber'o'j
vinberojn	vin'ber'o'j'n
vinberon	vin'ber'o'n
vinberejo	vin'ber'ej'o
vinberejoj	vin'ber'ej'o'j
vinberĝardenoj	vin'ber'ĝarden'o'j
vinberujo	vin'ber'uj'o
vinberujoj	vin'ber'uj'o'j
vinbotelon	vin'botel'o'n
vinfarado	vin'far'ad'o
vinfarejo	vin'far'ej'o
vinfarejoj	vin'far'ej'o'j
vingustumado	vin'gust'um'ad'o
vinindustrio	vin'industri'o
vinkelo	vin'kel'o
vinkeloj	vin'kel'o'j
vinkultivado	vin'kultiv'ad'o
vinkulturo	vin'kultur'o
vinproduktado	vin'produkt'ad'o
vinproduktantoj	vin'produkt'ant'o'j
vinregiono	vin'region'o
vinregionoj	vin'region'o'j
vinagra	vinagr'a
vinagro	vinagr'o
vinagron	vinagr'o'n
vinĉo	vinĉ'o
vincento	vincent'o
vindis	vind'is
vindita	vind'it'a
vindoza	vindoz'a
vindozaj	vindoz'a'j
vindozo	vindoz'o
vindozon	vindoz'o'n
vinila	vinil'a
vinilo	vinil'o
vinilkosmo	vinilkosm'o
vinipego	vinipeg'o
vinjeto	vinjet'o
vinjetoj	vinjet'o'j
vinko	vink'o
vinterturo	vintertur'o
vintra	vintr'a
vintraj	vintr'a'j
vintrajn	vintr'a'j'n
vintran	vintr'a'n
vintras	vintr'as
vintre	vintr'e
vintro	vintr'o
vintroj	vintr'o'j
vintrojn	vintr'o'j'n
vintron	vintr'o'n
vintrejoj	vintr'ej'o'j
vintrodormo	vintr'o'dorm'o
vintromonatoj	vintr'o'monat'o'j
vintrosezono	vintr'o'sezon'o
vintrumas	vintr'um'as
viola	viol'a
violaj	viol'a'j
violajn	viol'a'j'n
violan	viol'a'n
violo	viol'o
violoj	viol'o'j
violkolora	viol'kolor'a
violkoloraj	viol'kolor'a'j
violkoloran	viol'kolor'a'n
violenta	violent'a
violentaj	violent'a'j
violente	violent'e
violento	violent'o
violentoj	violent'o'j
violenton	violent'o'n
violona	violon'a
violonan	violon'a'n
violonas	violon'as
violoni	violon'i
violono	violon'o
violonoj	violon'o'j
violonojn	violon'o'j'n
violonon	violon'o'n
violonisto	violon'ist'o
violonistoj	violon'ist'o'j
violonĉelo	violonĉel'o
violonĉeloj	violonĉel'o'j
violonĉelon	violonĉel'o'n
violonĉelisto	violonĉel'ist'o
vipas	vip'as
vipi	vip'i
vipis	vip'is
vipo	vip'o
vipoj	vip'o'j
vipojn	vip'o'j'n
vipon	vip'o'n
vipado	vip'ad'o
vipita	vip'it'a
vipobatoj	vip'o'bat'o'j
vipero	viper'o
vipuro	vipur'o
vipuroj	vipur'o'j
vira	vir'a
viraj	vir'a'j
virajn	vir'a'j'n
viran	vir'a'n
vire	vir'e
viro	vir'o
viroj	vir'o'j
virojn	vir'o'j'n
viron	vir'o'n
virabelo	vir'abel'o
virabeloj	vir'abel'o'j
virabelojn	vir'abel'o'j'n
viranaso	vir'anas'o
viraro	vir'ar'o
virbesto	vir'best'o
virbirdo	vir'bird'o
virbirdoj	vir'bird'o'j
virbovo	vir'bov'o
virbovoj	vir'bov'o'j
virbovojn	vir'bov'o'j'n
virbovon	vir'bov'o'n
vircervo	vir'cerv'o
vircervoj	vir'cerv'o'j
virĉevalo	vir'ĉeval'o
virĉevaloj	vir'ĉeval'o'j
vircigno	vir'cign'o
vireca	vir'ec'a
virece	vir'ec'e
vireco	vir'ec'o
virecon	vir'ec'o'n
vireto	vir'et'o
vireton	vir'et'o'n
virfiguroj	vir'figur'o'j
virgenra	vir'genr'a
virgenraj	vir'genr'a'j
virhomo	vir'hom'o
virhundo	vir'hund'o
virina	vir'in'a
virinaj	vir'in'a'j
virinajn	vir'in'a'j'n
virinan	vir'in'a'n
virine	vir'in'e
virino	vir'in'o
virinoj	vir'in'o'j
virinojn	vir'in'o'j'n
virinon	vir'in'o'n
virinaĉo	vir'in'aĉ'o
virinaro	vir'in'ar'o
virineca	vir'in'ec'a
virinecaj	vir'in'ec'a'j
virinecajn	vir'in'ec'a'j'n
virinecan	vir'in'ec'a'n
virineco	vir'in'ec'o
virineto	vir'in'et'o
virinfiguro	vir'in'figur'o
virinfiguroj	vir'in'figur'o'j
virkapro	vir'kapr'o
virkato	vir'kat'o
virkatoj	vir'kat'o'j
virkaton	vir'kat'o'n
virkoko	vir'kok'o
virkokoj	vir'kok'o'j
virkokon	vir'kok'o'n
virlinio	vir'lini'o
virporko	vir'pork'o
virŝafo	vir'ŝaf'o
virŝafoj	vir'ŝaf'o'j
virŝafon	vir'ŝaf'o'n
virseksa	vir'seks'a
virseksaj	vir'seks'a'j
virseksan	vir'seks'a'n
virsekso	vir'seks'o
virga	virg'a
virgaj	virg'a'j
virgan	virg'a'n
virgo	virg'o
virgeco	virg'ec'o
virgecon	virg'ec'o'n
virgulo	virg'ul'o
virgulina	virg'ul'in'a
virgulino	virg'ul'in'o
virgulinoj	virg'ul'in'o'j
virgulinojn	virg'ul'in'o'j'n
virgulinon	virg'ul'in'o'n
virgulininsuloj	virg'ul'in'insul'o'j
virginia	virgini'a
virginio	virgini'o
virginion	virgini'o'n
virta	virt'a
virtaj	virt'a'j
virtan	virt'a'n
virte	virt'e
virto	virt'o
virtoj	virt'o'j
virtojn	virt'o'j'n
virton	virt'o'n
virteco	virt'ec'o
virtulo	virt'ul'o
virtuloj	virt'ul'o'j
virtulojn	virt'ul'o'j'n
virtuala	virtual'a
virtualaj	virtual'a'j
virtualajn	virtual'a'j'n
virtualan	virtual'a'n
virtuale	virtual'e
virtualigo	virtual'ig'o
virtualrealeca	virtual'real'ec'a
virtuoza	virtuoz'a
virtuozaj	virtuoz'a'j
virtuozo	virtuoz'o
virtuozeco	virtuoz'ec'o
virtuozecon	virtuoz'ec'o'n
virulenta	virulent'a
virulentaj	virulent'a'j
virusa	virus'a
virusaj	virus'a'j
virusan	virus'a'n
viruso	virus'o
virusoj	virus'o'j
virusojn	virus'o'j'n
viruson	virus'o'n
virusinfektoj	virus'infekt'o'j
virusvektoroj	virus'vektor'o'j
viŝas	viŝ'as
viŝi	viŝ'i
viŝis	viŝ'is
viŝu	viŝ'u
viŝado	viŝ'ad'o
viŝante	viŝ'ant'e
viŝiloj	viŝ'il'o'j
viŝtuko	viŝ'tuk'o
viŝtukon	viŝ'tuk'o'n
viscera	viscer'a
visigota	visigot'a
visigotoj	visigot'o'j
visko	visk'o
viskio	viski'o
viskioj	viski'o'j
viskion	viski'o'n
viskonsina	viskonsin'a
viskonsino	viskonsin'o
viskoza	viskoz'a
viskozaj	viskoz'a'j
viskozan	viskoz'a'n
viskozeco	viskoz'ec'o
viskozecon	viskoz'ec'o'n
viŝnuo	viŝnu'o
vista	vist'a
visto	vist'o
visterioj	visteri'o'j
vistulo	vistul'o
vita	vit'a
vito	vit'o
vitoj	vit'o'j
vitojn	vit'o'j'n
viton	vit'o'n
vitejo	vit'ej'o
vitejoj	vit'ej'o'j
vitejojn	vit'ej'o'j'n
vitoplena	vit'o'plen'a
vitala	vital'a
vitalaj	vital'a'j
vitalan	vital'a'n
vitale	vital'e
vitali	vital'i
vitalo	vital'o
vitalismo	vital'ism'o
vitamino	vitamin'o
vitaminoj	vitamin'o'j
vitaminojn	vitamin'o'j'n
vitaminon	vitamin'o'n
vitra	vitr'a
vitraj	vitr'a'j
vitrajn	vitr'a'j'n
vitran	vitr'a'n
vitro	vitr'o
vitroj	vitr'o'j
vitrojn	vitr'o'j'n
vitron	vitr'o'n
vitraĵo	vitr'aĵ'o
vitraĵoj	vitr'aĵ'o'j
vitraĵojn	vitr'aĵ'o'j'n
vitraĵon	vitr'aĵ'o'n
vitreca	vitr'ec'a
vitrecaj	vitr'ec'a'j
vitrecan	vitr'ec'a'n
vitrigo	vitr'ig'o
vitrodomo	vitr'o'dom'o
vitrofarejo	vitr'o'far'ej'o
vitrofibro	vitr'o'fibr'o
vitrotransiro	vitr'o'trans'ir'o
vitrovaro	vitr'o'var'o
vitralo	vitral'o
vitraloj	vitral'o'j
vitrino	vitrin'o
vitrinoj	vitrin'o'j
vitriolo	vitriol'o
vitruvio	vitruvi'o
viva	viv'a
vivaj	viv'a'j
vivajn	viv'a'j'n
vivan	viv'a'n
vivas	viv'as
vive	viv'e
vivi	viv'i
vivis	viv'is
vivo	viv'o
vivoj	viv'o'j
vivojn	viv'o'j'n
vivon	viv'o'n
vivos	viv'os
vivu	viv'u
vivus	viv'us
vivadas	viv'ad'as
vivadi	viv'ad'i
vivadis	viv'ad'is
vivado	viv'ad'o
vivadon	viv'ad'o'n
vivaĵo	viv'aĵ'o
vivaĵoj	viv'aĵ'o'j
vivaĵojn	viv'aĵ'o'j'n
vivanta	viv'ant'a
vivantaj	viv'ant'a'j
vivantajn	viv'ant'a'j'n
vivantan	viv'ant'a'n
vivante	viv'ant'e
vivanto	viv'ant'o
vivantoj	viv'ant'o'j
vivantojn	viv'ant'o'j'n
vivanton	viv'ant'o'n
vivantaĵo	viv'ant'aĵ'o
vivanteco	viv'ant'ec'o
vivantecon	viv'ant'ec'o'n
vivarbo	viv'arb'o
vivasekuro	viv'asekur'o
vivasekuron	viv'asekur'o'n
vivata	viv'at'a
vivcelo	viv'cel'o
vivciklo	viv'cikl'o
vivcirkonstancoj	viv'cirkonstanc'o'j
vivdaŭra	viv'daŭr'a
vivdaŭro	viv'daŭr'o
vivdaŭroj	viv'daŭr'o'j
vivdaŭrojn	viv'daŭr'o'j'n
vivdaŭron	viv'daŭr'o'n
vivebla	viv'ebl'a
viveca	viv'ec'a
vivecaj	viv'ec'a'j
vivecan	viv'ec'a'n
vivece	viv'ec'e
viveco	viv'ec'o
vivecon	viv'ec'o'n
vivejo	viv'ej'o
vivejoj	viv'ej'o'j
vivejojn	viv'ej'o'j'n
vivejon	viv'ej'o'n
vivejodetruado	viv'ej'o'detru'ad'o
vivenergio	viv'energi'o
vivestaĵoj	viv'est'aĵ'o'j
vivformo	viv'form'o
vivforton	viv'fort'o'n
vivgranda	viv'grand'a
vivgrandaj	viv'grand'a'j
vivhistorio	viv'histori'o
vivhistorion	viv'histori'o'n
vivipova	viv'i'pov'a
vivipovon	viv'i'pov'o'n
viviga	viv'ig'a
vivigan	viv'ig'a'n
vivigas	viv'ig'as
vivigi	viv'ig'i
vivigis	viv'ig'is
vivigu	viv'ig'u
viviĝis	viv'iĝ'is
vivinda	viv'ind'a
vivinta	viv'int'a
vivintaj	viv'int'a'j
vivinte	viv'int'e
vivita	viv'it'a
vivitaj	viv'it'a'j
vivjaro	viv'jar'o
vivjaroj	viv'jar'o'j
vivkapabla	viv'kapabl'a
vivkapablaj	viv'kapabl'a'j
vivkapablo	viv'kapabl'o
vivkoncepto	viv'koncept'o
vivkonceptoj	viv'koncept'o'j
vivkondiĉo	viv'kondiĉ'o
vivkondiĉoj	viv'kondiĉ'o'j
vivkondiĉojn	viv'kondiĉ'o'j'n
vivkosto	viv'kost'o
vivkostoj	viv'kost'o'j
vivkunulo	viv'kun'ul'o
vivkutimoj	viv'kutim'o'j
vivkutimojn	viv'kutim'o'j'n
vivkvalito	viv'kvalit'o
vivkvaliton	viv'kvalit'o'n
vivloko	viv'lok'o
vivlongigo	viv'long'ig'o
vivmaniero	viv'manier'o
vivmanieroj	viv'manier'o'j
vivmanierojn	viv'manier'o'j'n
vivmanieron	viv'manier'o'n
vivmediaj	viv'medi'a'j
vivmedio	viv'medi'o
vivmedioj	viv'medi'o'j
vivmedion	viv'medi'o'n
vivminaca	viv'minac'a
vivminacaj	viv'minac'a'j
vivnecesa	viv'neces'a
vivnivelo	viv'nivel'o
vivniveloj	viv'nivel'o'j
vivnivelojn	viv'nivel'o'j'n
vivnivelon	viv'nivel'o'n
vivoĉambro	viv'o'ĉambr'o
vivocelo	viv'o'cel'o
vivociklo	viv'o'cikl'o
vivocikloj	viv'o'cikl'o'j
vivociklon	viv'o'cikl'o'n
vivodaŭro	viv'o'daŭr'o
vivodaŭron	viv'o'daŭr'o'n
vivofino	viv'o'fin'o
vivoformo	viv'o'form'o
vivoformoj	viv'o'form'o'j
vivoforto	viv'o'fort'o
vivoforton	viv'o'fort'o'n
vivoĝojo	viv'o'ĝoj'o
vivoĝojon	viv'o'ĝoj'o'n
vivojaro	viv'o'jar'o
vivokondiĉoj	viv'o'kondiĉ'o'j
vivokondiĉojn	viv'o'kondiĉ'o'j'n
vivokvalito	viv'o'kvalit'o
vivokvaliton	viv'o'kvalit'o'n
vivomaniero	viv'o'manier'o
vivoplena	viv'o'plen'a
vivoplenaj	viv'o'plen'a'j
vivoscienco	viv'o'scienc'o
vivosignojn	viv'o'sign'o'j'n
vivosignon	viv'o'sign'o'n
vivosperto	viv'o'spert'o
vivospertoj	viv'o'spert'o'j
vivostilo	viv'o'stil'o
vivostilon	viv'o'stil'o'n
vivotempo	viv'o'temp'o
vivotempoj	viv'o'temp'o'j
vivotempon	viv'o'temp'o'n
vivoverko	viv'o'verk'o
vivovojo	viv'o'voj'o
vivovojon	viv'o'voj'o'n
vivojaroj	viv'ojar'o'j
vivokupo	viv'okup'o
vivokupon	viv'okup'o'n
vivperiodo	viv'period'o
vivplena	viv'plen'a
vivrimedo	viv'rimed'o
vivrimedoj	viv'rimed'o'j
vivrimedojn	viv'rimed'o'j'n
vivrimedon	viv'rimed'o'n
vivritmo	viv'ritm'o
vivsava	viv'sav'a
vivsciencoj	viv'scienc'o'j
vivsignon	viv'sign'o'n
vivsperto	viv'spert'o
vivspertoj	viv'spert'o'j
vivstato	viv'stat'o
vivstaton	viv'stat'o'n
vivstilo	viv'stil'o
vivstiloj	viv'stil'o'j
vivstilojn	viv'stil'o'j'n
vivstilon	viv'stil'o'n
vivsubteno	viv'sub'ten'o
vivtempo	viv'temp'o
vivtempoj	viv'temp'o'j
vivtempon	viv'temp'o'n
vivtena	viv'ten'a
vivtenaj	viv'ten'a'j
vivtenas	viv'ten'as
vivteni	viv'ten'i
vivtenis	viv'ten'is
vivteno	viv'ten'o
vivtenon	viv'ten'o'n
vivtenos	viv'ten'os
vivtenu	viv'ten'u
vivtenado	viv'ten'ad'o
vivtenadon	viv'ten'ad'o'n
vivtenataj	viv'ten'at'a'j
vivteniga	viv'ten'ig'a
vivulo	viv'ul'o
vivuloj	viv'ul'o'j
vivulojn	viv'ul'o'j'n
viveroj	viver'o'j
vizaj	viz'a'j
vizo	viz'o
vizoj	viz'o'j
vizojn	viz'o'j'n
vizon	viz'o'n
vizaĝa	vizaĝ'a
vizaĝaj	vizaĝ'a'j
vizaĝajn	vizaĝ'a'j'n
vizaĝan	vizaĝ'a'n
vizaĝas	vizaĝ'as
vizaĝe	vizaĝ'e
vizaĝi	vizaĝ'i
vizagho	vizaĝ'o
vizaĝo	vizaĝ'o
vizaĝoj	vizaĝ'o'j
vizaĝojn	vizaĝ'o'j'n
vizaĝon	vizaĝ'o'n
vizaĝos	vizaĝ'os
vizaĝaltere	vizaĝ'al'ter'e
vizaĝalvizaĝa	vizaĝ'al'vizaĝ'a
vizaĝalvizaĝaj	vizaĝ'al'vizaĝ'a'j
vizaĝalvizaĝe	vizaĝ'al'vizaĝ'e
vizaĝante	vizaĝ'ant'e
vizaĝecoj	vizaĝ'ec'o'j
vizaĝesprimo	vizaĝ'esprim'o
vizaĝesprimon	vizaĝ'esprim'o'n
vizaĝeto	vizaĝ'et'o
vizaĝeton	vizaĝ'et'o'n
vizaĝkoloro	vizaĝ'kolor'o
vizaĝkoloron	vizaĝ'kolor'o'n
vizaĝlibro	vizaĝ'libr'o
vizaĝrekono	vizaĝ're'kon'o
vizaĝtrajtoj	vizaĝ'trajt'o'j
vizia	vizi'a
viziaj	vizi'a'j
vizio	vizi'o
vizioj	vizi'o'j
viziojn	vizi'o'j'n
vizion	vizi'o'n
viziulo	vizi'ul'o
viziuloj	vizi'ul'o'j
viziero	vizier'o
vizieron	vizier'o'n
vizita	vizit'a
vizitas	vizit'as
vizite	vizit'e
viziti	vizit'i
vizitis	vizit'is
vizito	vizit'o
vizitoj	vizit'o'j
vizitojn	vizit'o'j'n
viziton	vizit'o'n
vizitos	vizit'os
vizitu	vizit'u
vizitus	vizit'us
vizitadas	vizit'ad'as
vizitadi	vizit'ad'i
vizitadis	vizit'ad'is
vizitado	vizit'ad'o
vizitadon	vizit'ad'o'n
vizitanta	vizit'ant'a
vizitantaj	vizit'ant'a'j
vizitante	vizit'ant'e
vizitanto	vizit'ant'o
vizitantoj	vizit'ant'o'j
vizitantojn	vizit'ant'o'j'n
vizitanton	vizit'ant'o'n
vizitantino	vizit'ant'in'o
vizitata	vizit'at'a
vizitataj	vizit'at'a'j
vizitebla	vizit'ebl'a
viziteblaj	vizit'ebl'a'j
viziteblas	vizit'ebl'as
vizitinda	vizit'ind'a
vizitindaj	vizit'ind'a'j
vizitindas	vizit'ind'as
vizitindaĵoj	vizit'ind'aĵ'o'j
vizitindejo	vizit'ind'ej'o
vizitindejoj	vizit'ind'ej'o'j
vizitinta	vizit'int'a
vizitintaj	vizit'int'a'j
vizitinte	vizit'int'e
vizitinto	vizit'int'o
vizitintoj	vizit'int'o'j
vizitita	vizit'it'a
vizititaj	vizit'it'a'j
vizititajn	vizit'it'a'j'n
vizitkarto	vizit'kart'o
vizitkarton	vizit'kart'o'n
vizitonta	vizit'ont'a
vizono	vizon'o
vjetnama	vjetnam'a
vjetnamaj	vjetnam'a'j
vjetnamajn	vjetnam'a'j'n
vjetnaman	vjetnam'a'n
vjetnamo	vjetnam'o
vjetnamoj	vjetnam'o'j
vjetnamano	vjetnam'an'o
vjetnamanoj	vjetnam'an'o'j
vjetnamujo	vjetnam'uj'o
vjetnamia	vjetnami'a
vietnamio	vjetnami'o
vjetnamio	vjetnami'o
vjetnamion	vjetnami'o'n
vjolo	vjol'o
vladimiro	vladimir'o
voĉa	voĉ'a
voĉaj	voĉ'a'j
voĉajn	voĉ'a'j'n
voĉan	voĉ'a'n
voĉe	voĉ'e
voĉis	voĉ'is
voĉo	voĉ'o
voĉoj	voĉ'o'j
voĉojn	voĉ'o'j'n
voĉon	voĉ'o'n
voĉaktoro	voĉ'aktor'o
voĉaktoroj	voĉ'aktor'o'j
voĉdona	voĉ'don'a
voĉdonaj	voĉ'don'a'j
voĉdonan	voĉ'don'a'n
voĉdonas	voĉ'don'as
voĉdone	voĉ'don'e
voĉdoni	voĉ'don'i
voĉdonis	voĉ'don'is
voĉdono	voĉ'don'o
voĉdonoj	voĉ'don'o'j
voĉdonojn	voĉ'don'o'j'n
voĉdonon	voĉ'don'o'n
voĉdonos	voĉ'don'os
voĉdonu	voĉ'don'u
voĉdonus	voĉ'don'us
voĉdonado	voĉ'don'ad'o
voĉdonadoj	voĉ'don'ad'o'j
voĉdonadon	voĉ'don'ad'o'n
voĉdonanta	voĉ'don'ant'a
voĉdonantaj	voĉ'don'ant'a'j
voĉdonante	voĉ'don'ant'e
voĉdonanto	voĉ'don'ant'o
voĉdonantoj	voĉ'don'ant'o'j
voĉdonilon	voĉ'don'il'o'n
voĉdonintoj	voĉ'don'int'o'j
voĉdonita	voĉ'don'it'a
voĉdonitaj	voĉ'don'it'a'j
voĉdonrajto	voĉ'don'rajt'o
voĉdonrajtoj	voĉ'don'rajt'o'j
voĉdonrajtojn	voĉ'don'rajt'o'j'n
voĉdonrajton	voĉ'don'rajt'o'n
voĉemaj	voĉ'em'a'j
voĉeto	voĉ'et'o
voĉigas	voĉ'ig'as
voĉigis	voĉ'ig'is
voĉigitaj	voĉ'ig'it'a'j
voĉkordoj	voĉ'kord'o'j
voĉlegas	voĉ'leg'as
voĉlegi	voĉ'leg'i
voĉlegis	voĉ'leg'is
voĉlegu	voĉ'leg'u
voĉlegita	voĉ'leg'it'a
voĉlegitaj	voĉ'leg'it'a'j
voĉmuzika	voĉ'muzik'a
voĉnombrado	voĉ'nombr'ad'o
voĉoaktoro	voĉ'o'aktor'o
voĉoaktorado	voĉ'o'aktor'ad'o
voĉtono	voĉ'ton'o
vodevilo	vodevil'o
vodko	vodk'o
vodkon	vodk'o'n
voduo	vodu'o
voduismo	vodu'ism'o
voja	voj'a
vojaj	voj'a'j
vojan	voj'a'n
vojas	voj'as
voje	voj'e
vojo	voj'o
vojoj	voj'o'j
vojojn	voj'o'j'n
vojon	voj'o'n
vojaro	voj'ar'o
vojeraris	voj'erar'is
vojeto	voj'et'o
vojetoj	voj'et'o'j
vojetojn	voj'et'o'j'n
vojeton	voj'et'o'n
vojflanko	voj'flank'o
vojigo	voj'ig'o
vojinfrastrukturo	voj'infrastruktur'o
vojiro	voj'ir'o
vojirado	voj'ir'ad'o
vojkonstruado	voj'konstru'ad'o
vojkruco	voj'kruc'o
vojkruciĝo	voj'kruc'iĝ'o
vojkruciĝoj	voj'kruc'iĝ'o'j
vojkuruloj	voj'kur'ul'o'j
vojmapo	voj'map'o
vojmapon	voj'map'o'n
vojmontrilo	voj'montr'il'o
vojmontriloj	voj'montr'il'o'j
vojnodo	voj'nod'o
vojnodoj	voj'nod'o'j
vojrando	voj'rand'o
vojreto	voj'ret'o
vojsignoj	voj'sign'o'j
vojsurfaco	voj'surfac'o
vojaĝa	vojaĝ'a
vojaĝaj	vojaĝ'a'j
vojaĝajn	vojaĝ'a'j'n
vojaĝas	vojaĝ'as
vojaĝi	vojaĝ'i
vojaĝis	vojaĝ'is
vojagho	vojaĝ'o
vojaĝo	vojaĝ'o
vojaĝoj	vojaĝ'o'j
vojaĝojn	vojaĝ'o'j'n
vojaĝon	vojaĝ'o'n
vojaĝos	vojaĝ'os
vojaĝu	vojaĝ'u
vojaĝus	vojaĝ'us
vojaĝadi	vojaĝ'ad'i
vojaĝadis	vojaĝ'ad'is
vojaĝado	vojaĝ'ad'o
vojaĝadon	vojaĝ'ad'o'n
vojaĝagentejo	vojaĝ'agent'ej'o
vojaĝagentejoj	vojaĝ'agent'ej'o'j
vojaĝanta	vojaĝ'ant'a
vojaĝantaj	vojaĝ'ant'a'j
vojaĝantajn	vojaĝ'ant'a'j'n
vojaĝantan	vojaĝ'ant'a'n
vojaĝante	vojaĝ'ant'e
vojaĝanto	vojaĝ'ant'o
vojaĝantoj	vojaĝ'ant'o'j
vojaĝantojn	vojaĝ'ant'o'j'n
vojaĝanton	vojaĝ'ant'o'n
vojaĝdaŭro	vojaĝ'daŭr'o
vojaĝinta	vojaĝ'int'a
vojaĝinto	vojaĝ'int'o
vojaĝintoj	vojaĝ'int'o'j
vojaĝisto	vojaĝ'ist'o
vojaĝkostoj	vojaĝ'kost'o'j
vojaĝkostojn	vojaĝ'kost'o'j'n
vojaĝraporto	vojaĝ'raport'o
vojevodo	vojevod'o
voka	vok'a
vokas	vok'as
voki	vok'i
vokis	vok'is
voko	vok'o
vokoj	vok'o'j
vokojn	vok'o'j'n
vokon	vok'o'n
vokos	vok'os
voku	vok'u
vokus	vok'us
vokadis	vok'ad'is
vokado	vok'ad'o
vokadon	vok'ad'o'n
vokanta	vok'ant'a
vokante	vok'ant'e
vokanto	vok'ant'o
vokata	vok'at'a
vokataj	vok'at'a'j
vokiĝo	vok'iĝ'o
vokiĝoj	vok'iĝ'o'j
vokiĝon	vok'iĝ'o'n
vokinta	vok'int'a
vokinte	vok'int'e
vokita	vok'it'a
vokitaj	vok'it'a'j
vokite	vok'it'e
vokito	vok'it'o
vokitoj	vok'it'o'j
vokiteco	vok'it'ec'o
voksigno	vok'sign'o
vokala	vokal'a
vokalaj	vokal'a'j
vokalan	vokal'a'n
vokalo	vokal'o
vokaloj	vokal'o'j
vokalojn	vokal'o'j'n
vokalon	vokal'o'n
vokalfonemoj	vokal'fonem'o'j
vokaligo	vokal'ig'o
vokaligoj	vokal'ig'o'j
vokaligojn	vokal'ig'o'j'n
vokalkvalito	vokal'kvalit'o
vokalleteroj	vokal'leter'o'j
vokallongo	vokal'long'o
vokalŝanĝo	vokal'ŝanĝ'o
vokalŝanĝigo	vokal'ŝanĝ'ig'o
vokalsistemo	vokal'sistem'o
vokalsono	vokal'son'o
vokalsonoj	vokal'son'o'j
vokalsonojn	vokal'son'o'j'n
vokativo	vokativ'o
vokto	vokt'o
voktoj	vokt'o'j
voktejo	vokt'ej'o
vola	vol'a
volaj	vol'a'j
volan	vol'a'n
volas	vol'as
vole	vol'e
voli	vol'i
volis	vol'is
volo	vol'o
voloj	vol'o'j
volojn	vol'o'j'n
volon	vol'o'n
volos	vol'os
volu	vol'u
volus	vol'us
volado	vol'ad'o
volanta	vol'ant'a
volantaj	vol'ant'a'j
volante	vol'ant'e
volata	vol'at'a
volenevole	vol'e'ne'vol'e
volegas	vol'eg'as
volegis	vol'eg'is
volemo	vol'em'o
volemon	vol'em'o'n
volforto	vol'fort'o
volfortoj	vol'fort'o'j
volforton	vol'fort'o'n
volinta	vol'int'a
volintus	vol'int'us
volita	vol'it'a
