ebena	eben'a
ekzamenataj	ekzamen'at'a'j
ekzamenatoj	ekzamen'at'o'j
ekzameniĝi	ekzamen'iĝ'i
ekzameniĝis	ekzamen'iĝ'is
ekzameninte	ekzamen'int'e
ekzamenita	ekzamen'it'a
ekzamenitaj	ekzamen'it'a'j
ekzamenite	ekzamen'it'e
ekzamensistemo	ekzamen'sistem'o
ekzegezo	ekzegez'o
ekzegezistoj	ekzegez'ist'o'j
ekzekutas	ekzekut'as
ekzekuti	ekzekut'i
ekzekutis	ekzekut'is
ekzekuto	ekzekut'o
ekzekutoj	ekzekut'o'j
ekzekutojn	ekzekut'o'j'n
ekzekuton	ekzekut'o'n
ekzekutado	ekzekut'ad'o
ekzekutejo	ekzekut'ej'o
ekzekutisto	ekzekut'ist'o
ekzekutistoj	ekzekut'ist'o'j
ekzekutistojn	ekzekut'ist'o'j'n
ekzekutiston	ekzekut'ist'o'n
ekzekutita	ekzekut'it'a
ekzekutitaj	ekzekut'it'a'j
ekzekutiva	ekzekutiv'a
ekzekutivo	ekzekutiv'o
ekzemo	ekzem'o
ekzempla	ekzempl'a
ekzemplaj	ekzempl'a'j
ekzemplajn	ekzempl'a'j'n
ekzemplan	ekzempl'a'n
ekzemplas	ekzempl'as
ekzemple	ekzempl'e
ekzempli	ekzempl'i
ekzemplo	ekzempl'o
ekzemploj	ekzempl'o'j
ekzemplojn	ekzempl'o'j'n
ekzemplon	ekzempl'o'n
ekzempligas	ekzempl'ig'as
ekzempligi	ekzempl'ig'i
ekzempligis	ekzempl'ig'is
ekzempligita	ekzempl'ig'it'a
ekzempligitaj	ekzempl'ig'it'a'j
ekzempligite	ekzempl'ig'it'e
ekzemplocele	ekzempl'o'cel'e
ekzemplodona	ekzempl'o'don'a
ekzemplofrazoj	ekzempl'o'fraz'o'j
ekzemplero	ekzempler'o
ekzempleroj	ekzempler'o'j
ekzemplerojn	ekzempler'o'j'n
ekzempleron	ekzempler'o'n
ekzerca	ekzerc'a
ekzercas	ekzerc'as
ekzerci	ekzerc'i
ekzercis	ekzerc'is
ekzerco	ekzerc'o
ekzercoj	ekzerc'o'j
ekzercojn	ekzerc'o'j'n
ekzercon	ekzerc'o'n
ekzercos	ekzerc'os
ekzercu	ekzerc'u
ekzercadi	ekzerc'ad'i
ekzercadis	ekzerc'ad'is
ekzercado	ekzerc'ad'o
ekzercadon	ekzerc'ad'o'n
ekzercanta	ekzerc'ant'a
ekzercante	ekzerc'ant'e
ekzercaro	ekzerc'ar'o
ekzercaron	ekzerc'ar'o'n
ekzercejo	ekzerc'ej'o
ekzerciĝas	ekzerc'iĝ'as
ekzerciĝi	ekzerc'iĝ'i
ekzerciĝis	ekzerc'iĝ'is
ekzercita	ekzerc'it'a
ekzercitaj	ekzerc'it'a'j
ekzerciteco	ekzerc'it'ec'o
ekzila	ekzil'a
ekzili	ekzil'i
ekzilis	ekzil'is
ekzilo	ekzil'o
ekziloj	ekzil'o'j
ekzilon	ekzil'o'n
ekziligis	ekzil'ig'is
ekziliĝi	ekzil'iĝ'i
ekziliĝis	ekzil'iĝ'is
ekzilita	ekzil'it'a
ekzilitaj	ekzil'it'a'j
ekzilito	ekzil'it'o
ekzilitoj	ekzil'it'o'j
ekzilota	ekzil'ot'a
ekzilregistaro	ekzil'reg'ist'ar'o
ekzista	ekzist'a
ekzistaj	ekzist'a'j
ekzistajn	ekzist'a'j'n
ekzistan	ekzist'a'n
ekzistas	ekzist'as
ekzisti	ekzist'i
ekzistis	ekzist'is
ekzisto	ekzist'o
ekziston	ekzist'o'n
ekzistos	ekzist'os
ekzistu	ekzist'u
ekzistus	ekzist'us
ekzistado	ekzist'ad'o
ekzistadoj	ekzist'ad'o'j
ekzistadon	ekzist'ad'o'n
ekzistadismo	ekzist'ad'ism'o
ekzistaĵo	ekzist'aĵ'o
ekzistanta	ekzist'ant'a
ekzistantaj	ekzist'ant'a'j
ekzistantajn	ekzist'ant'a'j'n
ekzistantan	ekzist'ant'a'n
ekzistante	ekzist'ant'e
ekzisteca	ekzist'ec'a
ekzistecaj	ekzist'ec'a'j
ekzistecan	ekzist'ec'a'n
ekzisteco	ekzist'ec'o
ekzistecon	ekzist'ec'o'n
ekzistinta	ekzist'int'a
ekzistintaj	ekzist'int'a'j
ekzistintus	ekzist'int'us
ekzistorajton	ekzist'o'rajt'o'n
ekzorco	ekzorc'o
ekzorcoj	ekzorc'o'j
ekzorcisto	ekzorc'ist'o
ekzota	ekzot'a
ekzotaj	ekzot'a'j
ekzotajn	ekzot'a'j'n
ekzotan	ekzot'a'n
ekzotismo	ekzot'ism'o
ekzoterma	ekzoterm'a
ekzotika	ekzotik'a
ekzotikaj	ekzotik'a'j
ekzotikajn	ekzotik'a'j'n
ekzotikan	ekzotik'a'n
el	el
elaĉeta	el'aĉet'a
elaĉeti	el'aĉet'i
elaĉetis	el'aĉet'is
elaĉeto	el'aĉet'o
elaĉeton	el'aĉet'o'n
elaĉetanto	el'aĉet'ant'o
elaĉetinto	el'aĉet'int'o
elaĉetita	el'aĉet'it'a
elaĉetitaj	el'aĉet'it'a'j
elaĉetomono	el'aĉet'o'mon'o
elaĉetomonon	el'aĉet'o'mon'o'n
elamasigis	el'amas'ig'is
elamasigita	el'amas'ig'it'a
elaŭskultis	el'aŭskult'is
elbabilis	el'babil'is
elbakis	el'bak'is
elbakitaj	el'bak'it'a'j
elbatis	el'bat'is
elbusiĝis	el'bus'iĝ'is
elbuŝigas	el'buŝ'ig'as
elbuŝigi	el'buŝ'ig'i
elbuŝigis	el'buŝ'ig'is
elcento	el'cent'o
elcentoj	el'cent'o'j
elcentojn	el'cent'o'j'n
elcenton	el'cent'o'n
elcentaĵo	el'cent'aĵ'o
elĉerpa	el'ĉerp'a
elĉerpas	el'ĉerp'as
elĉerpi	el'ĉerp'i
elĉerpis	el'ĉerp'is
elĉerpante	el'ĉerp'ant'e
elĉerpigas	el'ĉerp'ig'as
elĉerpigis	el'ĉerp'ig'is
elĉerpiĝas	el'ĉerp'iĝ'as
elĉerpiĝis	el'ĉerp'iĝ'is
elĉerpiĝo	el'ĉerp'iĝ'o
elĉerpiĝon	el'ĉerp'iĝ'o'n
elĉerpiĝos	el'ĉerp'iĝ'os
elĉerpita	el'ĉerp'it'a
elĉerpitaj	el'ĉerp'it'a'j
elĉerpitajn	el'ĉerp'it'a'j'n
elĉerpitan	el'ĉerp'it'a'n
elĉerpite	el'ĉerp'it'e
elĉizita	el'ĉiz'it'a
eldetruita	el'detru'it'a
eldevigis	el'dev'ig'is
eldiras	el'dir'as
eldiri	el'dir'i
eldiris	el'dir'is
eldiro	el'dir'o
eldiroj	el'dir'o'j
eldirojn	el'dir'o'j'n
eldiron	el'dir'o'n
eldiros	el'dir'os
eldiru	el'dir'u
eldirado	el'dir'ad'o
eldiraĵo	el'dir'aĵ'o
eldiraĵoj	el'dir'aĵ'o'j
eldiraĵojn	el'dir'aĵ'o'j'n
eldiraĵon	el'dir'aĵ'o'n
eldirante	el'dir'ant'e
eldirita	el'dir'it'a
eldiritaj	el'dir'it'a'j
eldiritajn	el'dir'it'a'j'n
eldona	el'don'a
eldonaj	el'don'a'j
eldonan	el'don'a'n
eldonas	el'don'as
eldoni	el'don'i
eldonis	el'don'is
eldono	el'don'o
eldonoj	el'don'o'j
eldonojn	el'don'o'j'n
eldonon	el'don'o'n
eldonos	el'don'os
eldonu	el'don'u
eldonadi	el'don'ad'i
eldonadis	el'don'ad'is
eldonado	el'don'ad'o
eldonadon	el'don'ad'o'n
eldonagado	el'don'ag'ad'o
eldonaĵo	el'don'aĵ'o
eldonaĵoj	el'don'aĵ'o'j
eldonaĵojn	el'don'aĵ'o'j'n
eldonaĵon	el'don'aĵ'o'n
eldonante	el'don'ant'e
eldonanto	el'don'ant'o
eldonantoj	el'don'ant'o'j
eldonata	el'don'at'a
eldonataj	el'don'at'a'j
eldoneja	el'don'ej'a
eldonejo	el'don'ej'o
eldonejoj	el'don'ej'o'j
eldonejojn	el'don'ej'o'j'n
eldonejon	el'don'ej'o'n
eldonigis	el'don'ig'is
eldoniĝas	el'don'iĝ'as
eldoniĝis	el'don'iĝ'is
eldoniĝos	el'don'iĝ'os
eldonindustrio	el'don'industri'o
eldoninto	el'don'int'o
eldonintoj	el'don'int'o'j
eldonisto	el'don'ist'o
eldonistoj	el'don'ist'o'j
eldonistojn	el'don'ist'o'j'n
eldoniston	el'don'ist'o'n
eldonita	el'don'it'a
eldonitaj	el'don'it'a'j
eldonitajn	el'don'it'a'j'n
eldonitan	el'don'it'a'n
eldonite	el'don'it'e
eldonjaro	el'don'jar'o
eldonkooperativo	el'don'kooperativ'o
eldonkvanto	el'don'kvant'o
eldonkvantoj	el'don'kvant'o'j
eldonkvanton	el'don'kvant'o'n
eldonota	el'don'ot'a
eldormiĝis	el'dorm'iĝ'is
elekstere	el'ekster'e
elelektita	el'elekt'it'a
elelektitaj	el'elekt'it'a'j
elfalas	el'fal'as
elfali	el'fal'i
elfalis	el'fal'is
elfandado	el'fand'ad'o
elfaras	el'far'as
elfari	el'far'i
elfaris	el'far'is
elfaro	el'far'o
elfaron	el'far'o'n
elfaros	el'far'os
elfaru	el'far'u
elfarus	el'far'us
elfarado	el'far'ad'o
elfaranta	el'far'ant'a
elfarantaj	el'far'ant'a'j
elfarante	el'far'ant'e
elfarita	el'far'it'a
elfazigita	el'faz'ig'it'a
elfazigitaj	el'faz'ig'it'a'j
elfluas	el'flu'as
elflui	el'flu'i
elfluis	el'flu'is
elfluo	el'flu'o
elfluoj	el'flu'o'j
elfluon	el'flu'o'n
elfluado	el'flu'ad'o
elfluadon	el'flu'ad'o'n
elfluanta	el'flu'ant'a
elfluejo	el'flu'ej'o
elflugas	el'flug'as
elflugis	el'flug'is
elformi	el'form'i
elformis	el'form'is
elformiĝas	el'form'iĝ'as
elformiĝis	el'form'iĝ'is
elfosas	el'fos'as
elfosi	el'fos'i
elfosis	el'fos'is
elfosado	el'fos'ad'o
elfosadoj	el'fos'ad'o'j
elfosadojn	el'fos'ad'o'j'n
elfosadon	el'fos'ad'o'n
elfosaĵo	el'fos'aĵ'o
elfosaĵoj	el'fos'aĵ'o'j
elfosejoj	el'fos'ej'o'j
elfosita	el'fos'it'a
elfositaj	el'fos'it'a'j
elglitas	el'glit'as
elglitis	el'glit'is
elgrimpis	el'grimp'is
elhakis	el'hak'is
eliga	el'ig'a
eligas	el'ig'as
eligi	el'ig'i
eligis	el'ig'is
eligo	el'ig'o
eligoj	el'ig'o'j
eligon	el'ig'o'n
eligos	el'ig'os
eligu	el'ig'u
eligadis	el'ig'ad'is
eligado	el'ig'ad'o
eliganta	el'ig'ant'a
eligantaj	el'ig'ant'a'j
eligante	el'ig'ant'e
eligata	el'ig'at'a
eligita	el'ig'it'a
eligitaj	el'ig'it'a'j
eliĝas	el'iĝ'as
eliĝi	el'iĝ'i
eliĝis	el'iĝ'is
eliĝo	el'iĝ'o
eliĝu	el'iĝ'u
eliĝanta	el'iĝ'ant'a
elingigis	el'ing'ig'is
elinterne	el'intern'e
elira	el'ir'a
eliraj	el'ir'a'j
eliras	el'ir'as
eliri	el'ir'i
eliris	el'ir'is
eliro	el'ir'o
eliroj	el'ir'o'j
elirojn	el'ir'o'j'n
eliron	el'ir'o'n
eliros	el'ir'os
eliru	el'ir'u
elirus	el'ir'us
eliradis	el'ir'ad'is
elirado	el'ir'ad'o
eliradon	el'ir'ad'o'n
eliranta	el'ir'ant'a
elirantaj	el'ir'ant'a'j
elirantajn	el'ir'ant'a'j'n
elirantan	el'ir'ant'a'n
elirante	el'ir'ant'e
elirejo	el'ir'ej'o
elirejoj	el'ir'ej'o'j
elirejojn	el'ir'ej'o'j'n
elirejon	el'ir'ej'o'n
elirigas	el'ir'ig'as
elirigi	el'ir'ig'i
elirigis	el'ir'ig'is
elirinta	el'ir'int'a
elirintaj	el'ir'int'a'j
elirinte	el'ir'int'e
elirmalpermeso	el'ir'mal'permes'o
elirmalpermeson	el'ir'mal'permes'o'n
elironta	el'ir'ont'a
elirpunkto	el'ir'punkt'o
elirpunktoj	el'ir'punkt'o'j
elirpunkton	el'ir'punkt'o'n
elirvojo	el'ir'voj'o
elirvojon	el'ir'voj'o'n
elĵetas	el'ĵet'as
elĵeti	el'ĵet'i
elĵetis	el'ĵet'is
elĵeto	el'ĵet'o
elĵeton	el'ĵet'o'n
elĵetu	el'ĵet'u
elĵetante	el'ĵet'ant'e
elĵetita	el'ĵet'it'a
elĵetitaj	el'ĵet'it'a'j
elkalkuli	el'kalkul'i
elkalkulis	el'kalkul'is
elkonduki	el'konduk'i
elkondukis	el'konduk'is
elkonduko	el'konduk'o
elkondukoj	el'konduk'o'j
elkonduku	el'konduk'u
elkora	el'kor'a
elkorajn	el'kor'a'j'n
elkoran	el'kor'a'n
elkore	el'kor'e
elkovas	el'kov'as
elkovi	el'kov'i
elkovis	el'kov'is
elkoviĝas	el'kov'iĝ'as
elkoviĝis	el'kov'iĝ'is
elkreskas	el'kresk'as
elkreski	el'kresk'i
elkreskis	el'kresk'is
elkreskos	el'kresk'os
elkreskaĵo	el'kresk'aĵ'o
elkreskaĵoj	el'kresk'aĵ'o'j
elkreskinta	el'kresk'int'a
elkreskintaj	el'kresk'int'a'j
elkrias	el'kri'as
elkriis	el'kri'is
elkrucigo	el'kruc'ig'o
elkulturis	el'kultur'is
elkuras	el'kur'as
elkuris	el'kur'is
ellaboras	el'labor'as
ellabori	el'labor'i
ellaboris	el'labor'is
ellaboro	el'labor'o
ellaboron	el'labor'o'n
ellaboros	el'labor'os
ellaboru	el'labor'u
ellaborado	el'labor'ad'o
ellaboradon	el'labor'ad'o'n
ellaborante	el'labor'ant'e
ellaboranto	el'labor'ant'o
ellaborata	el'labor'at'a
ellaborataj	el'labor'at'a'j
ellaboriĝis	el'labor'iĝ'is
ellaborita	el'labor'it'a
ellaboritaj	el'labor'it'a'j
ellaboritajn	el'labor'it'a'j'n
ellaboritan	el'labor'it'a'n
ellaciĝo	el'lac'iĝ'o
ellandigo	el'land'ig'o
ellasa	el'las'a
ellasan	el'las'a'n
ellasas	el'las'as
ellasi	el'las'i
ellasis	el'las'is
ellaso	el'las'o
ellason	el'las'o'n
ellasos	el'las'os
ellasu	el'las'u
ellasante	el'las'ant'e
ellasejo	el'las'ej'o
ellasejoj	el'las'ej'o'j
ellasejojn	el'las'ej'o'j'n
ellasejon	el'las'ej'o'n
ellasgaso	el'las'gas'o
ellasgasoj	el'las'gas'o'j
ellasilo	el'las'il'o
ellasiloj	el'las'il'o'j
ellasilon	el'las'il'o'n
ellasita	el'las'it'a
ellasitaj	el'las'it'a'j
ellasoredukto	el'las'o'redukt'o
ellastruo	el'las'tru'o
ellastruoj	el'las'tru'o'j
ellavita	el'lav'it'a
ellavitaj	el'lav'it'a'j
ellegis	el'leg'is
ellernas	el'lern'as
ellerni	el'lern'i
ellernis	el'lern'is
ellerno	el'lern'o
ellernos	el'lern'os
ellernu	el'lern'u
ellernado	el'lern'ad'o
ellernebla	el'lern'ebl'a
ellitiĝas	el'lit'iĝ'as
ellitiĝi	el'lit'iĝ'i
ellitiĝis	el'lit'iĝ'is
ellitiĝo	el'lit'iĝ'o
ellitiĝos	el'lit'iĝ'os
ellitiĝu	el'lit'iĝ'u
ellogas	el'log'as
ellogi	el'log'i
ellogis	el'log'is
ellogita	el'log'it'a
ellogitaj	el'log'it'a'j
elluktis	el'lukt'is
elluktita	el'lukt'it'a
elluktitaj	el'lukt'it'a'j
elmetas	el'met'as
elmeti	el'met'i
elmetis	el'met'is
elmetos	el'met'os
elmetu	el'met'u
elmetataj	el'met'at'a'j
elmetita	el'met'it'a
elmetitaj	el'met'it'a'j
elmigras	el'migr'as
elmigri	el'migr'i
elmigris	el'migr'is
elmigro	el'migr'o
elmigrado	el'migr'ad'o
elmigradon	el'migr'ad'o'n
elmigranto	el'migr'ant'o
elmigrantoj	el'migr'ant'o'j
elmigrinta	el'migr'int'a
elmigrintaj	el'migr'int'a'j
elmigrinto	el'migr'int'o
elmigrintoj	el'migr'int'o'j
elminigado	el'min'ig'ad'o
elminita	el'min'it'a
elmontras	el'montr'as
elmontri	el'montr'i
elmontris	el'montr'is
elmontro	el'montr'o
elmontroj	el'montr'o'j
elmontron	el'montr'o'n
elmontros	el'montr'os
elmontru	el'montr'u
elmontrus	el'montr'us
elmontrado	el'montr'ad'o
elmontranta	el'montr'ant'a
elmontrantaj	el'montr'ant'a'j
elmontrante	el'montr'ant'e
elmontriĝis	el'montr'iĝ'is
elmontrita	el'montr'it'a
elmontritaj	el'montr'it'a'j
elmontrite	el'montr'it'e
elnaĝis	el'naĝ'is
elnestiĝas	el'nest'iĝ'as
elnestiĝo	el'nest'iĝ'o
elnodiĝo	el'nod'iĝ'o
elnombrado	el'nombr'ad'o
elorienteŭropaj	el'orient'eŭrop'a'j
eloviĝas	el'ov'iĝ'as
eloviĝo	el'ov'iĝ'o
eloviĝintaj	el'ov'iĝ'int'a'j
elpagi	el'pag'i
elpakis	el'pak'is
elparolaj	el'parol'a'j
elparolas	el'parol'as
elparoli	el'parol'i
elparolis	el'parol'is
elparolo	el'parol'o
elparoloj	el'parol'o'j
elparolojn	el'parol'o'j'n
elparolon	el'parol'o'n
elparolu	el'parol'u
elparolado	el'parol'ad'o
elparolata	el'parol'at'a
elparolataj	el'parol'at'a'j
elparolebla	el'parol'ebl'a
elparolita	el'parol'it'a
elpaŝas	el'paŝ'as
elpaŝi	el'paŝ'i
elpaŝis	el'paŝ'is
elpasho	el'paŝ'o
elpaŝo	el'paŝ'o
elpaŝoj	el'paŝ'o'j
elpaŝojn	el'paŝ'o'j'n
elpaŝon	el'paŝ'o'n
elpelas	el'pel'as
elpeli	el'pel'i
elpelis	el'pel'is
elpelo	el'pel'o
elpeloj	el'pel'o'j
elpelojn	el'pel'o'j'n
elpelon	el'pel'o'n
elpelos	el'pel'os
elpelu	el'pel'u
elpelita	el'pel'it'a
elpelitaj	el'pel'it'a'j
elpensas	el'pens'as
elpensi	el'pens'i
elpensis	el'pens'is
elpenso	el'pens'o
elpensos	el'pens'os
elpensu	el'pens'u
elpensus	el'pens'us
elpensado	el'pens'ad'o
elpensaĵo	el'pens'aĵ'o
elpensaĵoj	el'pens'aĵ'o'j
elpensante	el'pens'ant'e
elpensinta	el'pens'int'a
elpensinto	el'pens'int'o
elpensita	el'pens'it'a
elpensitaj	el'pens'it'a'j
elpensitajn	el'pens'it'a'j'n
elpensitan	el'pens'it'a'n
elpensite	el'pens'it'e
elpetas	el'pet'as
elpeti	el'pet'i
elpetis	el'pet'is
elpetu	el'pet'u
elpikis	el'pik'is
elportas	el'port'as
elporti	el'port'i
elportis	el'port'is
elportu	el'port'u
elpoŝigas	el'poŝ'ig'as
elpoŝigis	el'poŝ'ig'is
elpostenigis	el'posten'ig'is
elpostenigita	el'posten'ig'it'a
elpremas	el'prem'as
elpremi	el'prem'i
elpremis	el'prem'is
elpremita	el'prem'it'a
elprenas	el'pren'as
elpreni	el'pren'i
elprenis	el'pren'is
elpreno	el'pren'o
elprenu	el'pren'u
elprenado	el'pren'ad'o
elprenante	el'pren'ant'e
elpreninte	el'pren'int'e
elprenita	el'pren'it'a
elprenitaj	el'pren'it'a'j
elprovas	el'prov'as
elprovi	el'prov'i
elprovis	el'prov'is
elprovo	el'prov'o
elprovoj	el'prov'o'j
elprovon	el'prov'o'n
elprovu	el'prov'u
elprovado	el'prov'ad'o
elprovilo	el'prov'il'o
elproviloj	el'prov'il'o'j
elprovita	el'prov'it'a
elprovitaj	el'prov'it'a'j
elpurigas	el'pur'ig'as
elpurigis	el'pur'ig'is
elpurigo	el'pur'ig'o
elpurigitaj	el'pur'ig'it'a'j
elpuŝas	el'puŝ'as
elpuŝis	el'puŝ'is
elpuŝos	el'puŝ'os
elrabis	el'rab'is
elradias	el'radi'as
elradiis	el'radi'is
elradikigas	el'radik'ig'as
elradikigi	el'radik'ig'i
elradikigitaj	el'radik'ig'it'a'j
elrajdis	el'rajd'is
elrampis	el'ramp'is
elreliĝis	el'rel'iĝ'is
elreviga	el'rev'ig'a
elrevigas	el'rev'ig'as
elrevigi	el'rev'ig'i
elrevigis	el'rev'ig'is
elrevigita	el'rev'ig'it'a
elrevigitaj	el'rev'ig'it'a'j
elreviĝis	el'rev'iĝ'is
elreviĝo	el'rev'iĝ'o
elreviĝon	el'rev'iĝ'o'n
elreviĝinta	el'rev'iĝ'int'a
elrigardas	el'rigard'as
elrigardi	el'rigard'i
elrigardis	el'rigard'is
elrigardon	el'rigard'o'n
elsaltas	el'salt'as
elsalti	el'salt'i
elsaltis	el'salt'is
elŝalti	el'ŝalt'i
elŝaltis	el'ŝalt'is
elŝaltu	el'ŝalt'u
elsarki	el'sark'i
elsavi	el'sav'i
elsaviĝo	el'sav'iĝ'o
elsekiĝo	el'sek'iĝ'o
elsenda	el'send'a
elsendas	el'send'as
elsendi	el'send'i
elsendis	el'send'is
elsendo	el'send'o
elsendoj	el'send'o'j
elsendojn	el'send'o'j'n
elsendon	el'send'o'n
elsendos	el'send'os
elsendu	el'send'u
elsendus	el'send'us
elsendado	el'send'ad'o
elsendadon	el'send'ad'o'n
elsendaĵo	el'send'aĵ'o
elsendaĵoj	el'send'aĵ'o'j
elsendanta	el'send'ant'a
elsendante	el'send'ant'e
elsendata	el'send'at'a
elsendataj	el'send'at'a'j
elsendfluo	el'send'flu'o
elsendiĝas	el'send'iĝ'as
elsendiĝis	el'send'iĝ'is
elsendita	el'send'it'a
elsenditaj	el'send'it'a'j
elsenditajn	el'send'it'a'j'n
elsenditan	el'send'it'a'n
elsendite	el'send'it'e
elserĉas	el'serĉ'as
elserĉi	el'serĉ'i
elserĉis	el'serĉ'is
elŝipiĝas	el'ŝip'iĝ'as
elŝipiĝi	el'ŝip'iĝ'i
elŝipiĝis	el'ŝip'iĝ'is
elŝipiĝo	el'ŝip'iĝ'o
elŝiras	el'ŝir'as
elŝiri	el'ŝir'i
elŝiris	el'ŝir'is
elŝiriĝis	el'ŝir'iĝ'is
elŝirita	el'ŝir'it'a
elŝiritaj	el'ŝir'it'a'j
elŝovas	el'ŝov'as
elŝovi	el'ŝov'i
elŝovis	el'ŝov'is
elŝoviĝis	el'ŝov'iĝ'is
elspeza	el'spez'a
elspezas	el'spez'as
elspeze	el'spez'e
elspezi	el'spez'i
elspezis	el'spez'is
elspezo	el'spez'o
elspezoj	el'spez'o'j
elspezojn	el'spez'o'j'n
elspezon	el'spez'o'n
elspezos	el'spez'os
elspezu	el'spez'u
elspezus	el'spez'us
elspezado	el'spez'ad'o
elspezadon	el'spez'ad'o'n
elspezante	el'spez'ant'e
elspezita	el'spez'it'a
elspezitaj	el'spez'it'a'j
elspiras	el'spir'as
elspiri	el'spir'i
elspiris	el'spir'is
elspiro	el'spir'o
elspiron	el'spir'o'n
elspiru	el'spir'u
elspirado	el'spir'ad'o
elspirita	el'spir'it'a
elŝprucis	el'ŝpruc'is
elspuri	el'spur'i
elŝrankigo	el'ŝrank'ig'o
elstara	el'star'a
elstaraj	el'star'a'j
elstarajn	el'star'a'j'n
elstaran	el'star'a'n
elstaras	el'star'as
elstare	el'star'e
elstari	el'star'i
elstaris	el'star'is
elstaraĵo	el'star'aĵ'o
elstaraĵoj	el'star'aĵ'o'j
elstaraĵojn	el'star'aĵ'o'j'n
elstaraĵon	el'star'aĵ'o'n
elstaranta	el'star'ant'a
elstarantaj	el'star'ant'a'j
elstarantajn	el'star'ant'a'j'n
elstarantan	el'star'ant'a'n
elstarante	el'star'ant'e
elstareco	el'star'ec'o
elstarecon	el'star'ec'o'n
elstarega	el'star'eg'a
elstarfiguroj	el'star'figur'o'j
elstarigas	el'star'ig'as
elstarigi	el'star'ig'i
elstarigis	el'star'ig'is
elstarigado	el'star'ig'ad'o
elstarigante	el'star'ig'ant'e
elstarigita	el'star'ig'it'a
elstarigitaj	el'star'ig'it'a'j
elstariĝas	el'star'iĝ'as
elstariĝis	el'star'iĝ'is
elstarita	el'star'it'a
elstarulo	el'star'ul'o
elstaruloj	el'star'ul'o'j
elsuĉas	el'suĉ'as
elŝutas	el'ŝut'as
elŝuti	el'ŝut'i
elŝutis	el'ŝut'is
elŝuto	el'ŝut'o
elŝutu	el'ŝut'u
elŝutado	el'ŝut'ad'o
elŝutante	el'ŝut'ant'e
elŝutebla	el'ŝut'ebl'a
elŝuteblaj	el'ŝut'ebl'a'j
elŝuteblas	el'ŝut'ebl'as
elŝutita	el'ŝut'it'a
elŝutitaj	el'ŝut'it'a'j
eltenas	el'ten'as
elteni	el'ten'i
eltenis	el'ten'is
elteno	el'ten'o
eltenos	el'ten'os
eltenu	el'ten'u
eltenus	el'ten'us
eltenado	el'ten'ad'o
eltenanta	el'ten'ant'a
eltenante	el'ten'ant'e
eltenebla	el'ten'ebl'a
elteneblas	el'ten'ebl'as
eltenema	el'ten'em'a
eltenemaj	el'ten'em'a'j
elteneman	el'ten'em'a'n
eltenemo	el'ten'em'o
eltenemon	el'ten'em'o'n
eltenita	el'ten'it'a
elterigis	el'ter'ig'is
elterigitaj	el'ter'ig'it'a'j
eltiras	el'tir'as
eltiri	el'tir'i
eltiris	el'tir'is
eltiro	el'tir'o
eltiros	el'tir'os
eltiru	el'tir'u
eltirus	el'tir'us
eltirado	el'tir'ad'o
eltiraĵo	el'tir'aĵ'o
eltiraĵoj	el'tir'aĵ'o'j
eltiraĵojn	el'tir'aĵ'o'j'n
eltiraĵon	el'tir'aĵ'o'n
eltirante	el'tir'ant'e
eltiriĝis	el'tir'iĝ'is
eltirita	el'tir'it'a
eltiritaj	el'tir'it'a'j
eltondis	el'tond'is
eltondaĵoj	el'tond'aĵ'o'j
eltrajniĝis	el'trajn'iĝ'is
eltranĉi	el'tranĉ'i
eltranĉis	el'tranĉ'is
eltranĉaĵo	el'tranĉ'aĵ'o
eltranĉaĵoj	el'tranĉ'aĵ'o'j
eltranĉita	el'tranĉ'it'a
eltranĉitaj	el'tranĉ'it'a'j
eltrenis	el'tren'is
eltrinkas	el'trink'as
eltrinki	el'trink'i
eltrinkis	el'trink'is
eltrinkinte	el'trink'int'e
eltrovas	el'trov'as
eltrovi	el'trov'i
eltrovis	el'trov'is
eltrovo	el'trov'o
eltrovoj	el'trov'o'j
eltrovojn	el'trov'o'j'n
eltrovon	el'trov'o'n
eltrovos	el'trov'os
eltrovu	el'trov'u
eltrovus	el'trov'us
eltrovaĵo	el'trov'aĵ'o
eltrovaĵoj	el'trov'aĵ'o'j
eltrovaĵojn	el'trov'aĵ'o'j'n
eltrovaĵon	el'trov'aĵ'o'n
eltrovema	el'trov'em'a
eltrovemo	el'trov'em'o
eltrovemon	el'trov'em'o'n
eltrovinto	el'trov'int'o
eltrovintoj	el'trov'int'o'j
eltrovita	el'trov'it'a
eltrovitaj	el'trov'it'a'j
eltrudado	el'trud'ad'o
elturmentita	el'turment'it'a
elturniĝas	el'turn'iĝ'as
elturniĝi	el'turn'iĝ'i
elturniĝis	el'turn'iĝ'is
elturniĝo	el'turn'iĝ'o
elturniĝoj	el'turn'iĝ'o'j
elturniĝon	el'turn'iĝ'o'n
elturniĝos	el'turn'iĝ'os
elturniĝu	el'turn'iĝ'u
elturniĝus	el'turn'iĝ'us
elturniĝema	el'turn'iĝ'em'a
eluza	el'uz'a
eluzas	el'uz'as
eluzi	el'uz'i
eluzis	el'uz'is
eluzo	el'uz'o
eluzos	el'uz'os
eluzu	el'uz'u
eluzus	el'uz'us
eluzado	el'uz'ad'o
eluzanta	el'uz'ant'a
eluzantaj	el'uz'ant'a'j
eluzante	el'uz'ant'e
eluzata	el'uz'at'a
eluziĝas	el'uz'iĝ'as
eluziĝis	el'uz'iĝ'is
eluziĝo	el'uz'iĝ'o
