avorta	a'vort'a
asojn	as'o'j'n
ason	as'o'n
asiago	as'i'ag'o
asama	asam'a
asamo	asam'o
asbesto	asbest'o
asbeston	asbest'o'n
ascenda	ascend'a
ascendas	ascend'as
ascendi	ascend'i
ascendis	ascend'is
ascendo	ascend'o
ascendon	ascend'o'n
ascendanta	ascend'ant'a
ascension	ascensi'o'n
asekura	asekur'a
asekuraj	asekur'a'j
asekurajn	asekur'a'j'n
asekuran	asekur'a'n
asekuras	asekur'as
asekuri	asekur'i
asekuris	asekur'is
asekuro	asekur'o
asekuroj	asekur'o'j
asekurojn	asekur'o'j'n
asekuron	asekur'o'n
asekurado	asekur'ad'o
asekurentrepreno	asekur'entrepren'o
asekurentreprenoj	asekur'entrepren'o'j
asekuristo	asekur'ist'o
asekuristoj	asekur'ist'o'j
asekurita	asekur'it'a
asekuritaj	asekur'it'a'j
asekurkompanio	asekur'kompani'o
asekurkontrakto	asekur'kontrakt'o
asekurkontrakton	asekur'kontrakt'o'n
asembla	asembl'a
asemblero	asembl'er'o
asembleroj	asembl'er'o'j
asemblea	asemble'a
asembleo	asemble'o
asembleoj	asemble'o'j
asembleojn	asemble'o'j'n
asembleon	asemble'o'n
aserta	asert'a
asertas	asert'as
aserti	asert'i
asertis	asert'is
aserto	asert'o
asertoj	asert'o'j
asertojn	asert'o'j'n
aserton	asert'o'n
asertos	asert'os
asertu	asert'u
asertus	asert'us
asertadis	asert'ad'is
asertado	asert'ad'o
asertanta	asert'ant'a
asertantaj	asert'ant'a'j
asertante	asert'ant'e
asertata	asert'at'a
asertate	asert'at'e
asertita	asert'it'a
asertitaj	asert'it'a'j
asertite	asert'it'e
asesoro	asesor'o
asfalta	asfalt'a
asfaltaj	asfalt'a'j
asfalto	asfalt'o
asfalton	asfalt'o'n
asfaltita	asfalt'it'a
asfaltitaj	asfalt'it'a'j
asignas	asign'as
asigni	asign'i
asignis	asign'is
asigno	asign'o
asignoj	asign'o'j
asignojn	asign'o'j'n
asignon	asign'o'n
asignus	asign'us
asignado	asign'ad'o
asignante	asign'ant'e
asignita	asign'it'a
asignitaj	asign'it'a'j
asignitajn	asign'it'a'j'n
asignitan	asign'it'a'n
asignite	asign'it'e
asimilas	asimil'as
asimili	asimil'i
asimilis	asimil'is
asimilo	asimil'o
asimilado	asimil'ad'o
asimiladon	asimil'ad'o'n
asimilanta	asimil'ant'a
asimilantaj	asimil'ant'a'j
asimilante	asimil'ant'e
asimiliĝi	asimil'iĝ'i
asimiliĝis	asimil'iĝ'is
asimiliĝo	asimil'iĝ'o
asimilita	asimil'it'a
asimilitaj	asimil'it'a'j
asimptota	asimptot'a
asimptotaj	asimptot'a'j
asimptote	asimptot'e
asira	asir'a
asiraj	asir'a'j
asiran	asir'a'n
asiro	asir'o
asiria	asir'i'a
asiriaj	asir'i'a'j
asirio	asir'i'o
asirion	asir'i'o'n
asirianoj	asir'i'an'o'j
asista	asist'a
asistas	asist'as
asisti	asist'i
asistis	asist'is
asisto	asist'o
asiston	asist'o'n
asistu	asist'u
asistado	asist'ad'o
asistadon	asist'ad'o'n
asistanto	asist'ant'o
asistantoj	asist'ant'o'j
asistantojn	asist'ant'o'j'n
asistanton	asist'ant'o'n
asistantino	asist'ant'in'o
asistata	asist'at'a
asiza	asiz'a
asizo	asiz'o
asketa	asket'a
asketaj	asket'a'j
asketajn	asket'a'j'n
asketan	asket'a'n
asketo	asket'o
asketoj	asket'o'j
asketismo	asket'ism'o
asketismon	asket'ism'o'n
askia	aski'a
askio	aski'o
asklepio	asklepi'o
askorbata	askorb'at'a
asocia	asoci'a
asociaj	asoci'a'j
asociajn	asoci'a'j'n
asocian	asoci'a'n
asocias	asoci'as
asocie	asoci'e
asocii	asoci'i
asociis	asoci'is
asocio	asoci'o
asocioj	asoci'o'j
asociojn	asoci'o'j'n
asocion	asoci'o'n
asociado	asoci'ad'o
asocianoj	asoci'an'o'j
asociante	asoci'ant'e
asociata	asoci'at'a
asociataj	asoci'at'a'j
asocieca	asoci'ec'a
asociiĝas	asoci'iĝ'as
asociiĝi	asoci'iĝ'i
asociiĝis	asoci'iĝ'is
asociiĝo	asoci'iĝ'o
asociita	asoci'it'a
asociitaj	asoci'it'a'j
asociitajn	asoci'it'a'j'n
asociitan	asoci'it'a'n
asociite	asoci'it'e
asonanco	asonanc'o
asparago	asparag'o
asparagoj	asparag'o'j
aspartamo	aspartam'o
aspekta	aspekt'a
aspektaj	aspekt'a'j
aspektan	aspekt'a'n
aspektas	aspekt'as
aspekte	aspekt'e
aspekti	aspekt'i
aspektis	aspekt'is
aspekto	aspekt'o
aspektoj	aspekt'o'j
aspektojn	aspekt'o'j'n
aspekton	aspekt'o'n
aspektos	aspekt'os
aspektu	aspekt'u
aspektus	aspekt'us
aspektanta	aspekt'ant'a
aspektantaj	aspekt'ant'a'j
aspektantan	aspekt'ant'a'n
aspektante	aspekt'ant'e
aspektigas	aspekt'ig'as
aspektigis	aspekt'ig'is
aspergas	asperg'as
aspergis	asperg'is
aspiras	aspir'as
aspiri	aspir'i
aspiris	aspir'is
aspiro	aspir'o
aspiroj	aspir'o'j
aspirojn	aspir'o'j'n
aspiron	aspir'o'n
aspirado	aspir'ad'o
aspiranta	aspir'ant'a
aspirantaj	aspir'ant'a'j
aspiranto	aspir'ant'o
aspirantoj	aspir'ant'o'j
aspirata	aspir'at'a
aspirino	aspirin'o
aspirinon	aspirin'o'n
aspra	aspr'a
asteracoj	aster'ac'o'j
asterio	asteri'o
asterisko	asterisk'o
asteroida	asteroid'a
asteroidaj	asteroid'a'j
asteroido	asteroid'o
asteroidoj	asteroid'o'j
asteroidojn	asteroid'o'j'n
asteroidon	asteroid'o'n
astmo	astm'o
astmon	astm'o'n
astra	astr'a
astro	astr'o
astroj	astr'o'j
astrojn	astr'o'j'n
astrobiologio	astr'o'biolog'i'o
astrofizika	astr'o'fizik'a
astrofizikaj	astr'o'fizik'a'j
astrofiziko	astr'o'fizik'o
astrofizikisto	astr'o'fizik'ist'o
astrofizikistoj	astr'o'fizik'ist'o'j
astrofizikiston	astr'o'fizik'ist'o'n
astrometrio	astr'o'metr'i'o
astronavigaciisto	astr'o'navigaci'ist'o
astroscienco	astr'o'scienc'o
astrologo	astr'olog'o
astrologoj	astr'olog'o'j
astrologia	astr'olog'i'a
astrologiaj	astr'olog'i'a'j
astrologio	astr'olog'i'o
astrologion	astr'olog'i'o'n
astraĥana	astraĥan'a
astraĥano	astraĥan'o
astrolabo	astrolab'o
astronaŭto	astronaŭt'o
astronaŭtoj	astronaŭt'o'j
astronaŭtojn	astronaŭt'o'j'n
astronaŭtiko	astronaŭt'ik'o
astronoma	astronom'a
astronomo	astronom'o
astronomoj	astronom'o'j
astronomojn	astronom'o'j'n
astronomon	astronom'o'n
astronomia	astronom'i'a
astronomiaj	astronom'i'a'j
astronomiajn	astronom'i'a'j'n
astronomian	astronom'i'a'n
astronomio	astronom'i'o
astronomion	astronom'i'o'n
astronomino	astronom'in'o
asturio	asturi'o
aŝkenaza	aŝkenaz'a
aŝkenazaj	aŝkenaz'a'j
aŝkenazo	aŝkenaz'o
aŝkenazoj	aŝkenaz'o'j
ashoka	aŝok'a
aŝoko	aŝok'o
ataka	atak'a
atakaj	atak'a'j
atakajn	atak'a'j'n
atakan	atak'a'n
atakas	atak'as
ataki	atak'i
atakis	atak'is
atako	atak'o
atakoj	atak'o'j
atakojn	atak'o'j'n
atakon	atak'o'n
atakos	atak'os
ataku	atak'u
atakus	atak'us
atakado	atak'ad'o
atakadon	atak'ad'o'n
atakanta	atak'ant'a
atakantaj	atak'ant'a'j
atakantajn	atak'ant'a'j'n
atakante	atak'ant'e
atakanto	atak'ant'o
atakantoj	atak'ant'o'j
atakantojn	atak'ant'o'j'n
atakanton	atak'ant'o'n
atakata	atak'at'a
atakataj	atak'at'a'j
atakebla	atak'ebl'a
atakema	atak'em'a
atakintaj	atak'int'a'j
atakinto	atak'int'o
atakintoj	atak'int'o'j
atakita	atak'it'a
atakitaj	atak'it'a'j
atakite	atak'it'e
ataksio	ataksi'o
atalanta	atalant'a
atanazio	atanazi'o
ataŝeo	ataŝe'o
ataŝeoj	ataŝe'o'j
atavismo	atavism'o
ateisma	ateism'a
ateismaj	ateism'a'j
ateisman	ateism'a'n
ateismo	ateism'o
ateismon	ateism'o'n
ateista	ateist'a
ateistaj	ateist'a'j
ateisto	ateist'o
ateistoj	ateist'o'j
ateistojn	ateist'o'j'n
ateliero	atelier'o
atelieroj	atelier'o'j
atelierojn	atelier'o'j'n
atelieron	atelier'o'n
atena	aten'a
atenaj	aten'a'j
atenajn	aten'a'j'n
atenan	aten'a'n
ateno	aten'o
atenon	aten'o'n
atenano	aten'an'o
atenanoj	aten'an'o'j
atenanojn	aten'an'o'j'n
atena	atena
atencas	atenc'as
atenci	atenc'i
atencis	atenc'is
atenco	atenc'o
atencoj	atenc'o'j
atencojn	atenc'o'j'n
atencon	atenc'o'n
atencintoj	atenc'int'o'j
atenda	atend'a
atendas	atend'as
atende	atend'e
atendi	atend'i
atendis	atend'is
atendo	atend'o
atendoj	atend'o'j
atendojn	atend'o'j'n
atendon	atend'o'n
atendos	atend'os
atendu	atend'u
atendus	atend'us
atendadas	atend'ad'as
atendadi	atend'ad'i
atendadis	atend'ad'is
atendado	atend'ad'o
atendadon	atend'ad'o'n
atendanta	atend'ant'a
atendantaj	atend'ant'a'j
atendantajn	atend'ant'a'j'n
atendantan	atend'ant'a'n
atendante	atend'ant'e
atendantoj	atend'ant'o'j
atendata	atend'at'a
atendataj	atend'at'a'j
atendatajn	atend'at'a'j'n
atendatan	atend'at'a'n
atendate	atend'at'e
atendebla	atend'ebl'a
atendeblas	atend'ebl'as
atendeble	atend'ebl'e
atendejo	atend'ej'o
atendiga	atend'ig'a
atendigas	atend'ig'as
atendigi	atend'ig'i
atendigis	atend'ig'is
atendigu	atend'ig'u
atendinta	atend'int'a
atendinte	atend'int'e
atendita	atend'it'a
atenditaj	atend'it'a'j
atenditan	atend'it'a'n
atendite	atend'it'e
atendolisto	atend'o'list'o
atendovico	atend'o'vic'o
atendovicoj	atend'o'vic'o'j
atendovicon	atend'o'vic'o'n
atendota	atend'ot'a
ateneo	atene'o
atenta	atent'a
atentaj	atent'a'j
atentan	atent'a'n
atentas	atent'as
atente	atent'e
atenti	atent'i
atentis	atent'is
atento	atent'o
atentoj	atent'o'j
atentojn	atent'o'j'n
atenton	atent'o'n
atentos	atent'os
atentu	atent'u
atentus	atent'us
atentado	atent'ad'o
atentante	atent'ant'e
atentata	atent'at'a
atentataj	atent'at'a'j
atenteco	atent'ec'o
atentecrilata	atent'ec'rilat'a
atentecrilataj	atent'ec'rilat'a'j
atentega	atent'eg'a
atentege	atent'eg'e
atentema	atent'em'a
atentemaj	atent'em'a'j
atenteman	atent'em'a'n
atenteme	atent'em'e
atentemo	atent'em'o
atentemon	atent'em'o'n
atentigas	atent'ig'as
atentigi	atent'ig'i
atentigis	atent'ig'is
atentigo	atent'ig'o
atentigoj	atent'ig'o'j
atentigojn	atent'ig'o'j'n
atentigon	atent'ig'o'n
atentigos	atent'ig'os
atentigu	atent'ig'u
atentigante	atent'ig'ant'e
atentinda	atent'ind'a
atentindaj	atent'ind'a'j
atentindan	atent'ind'a'n
atentindas	atent'ind'as
atentinde	atent'ind'e
atentita	atent'it'a
atentokapta	atent'o'kapt'a
atentokaptaj	atent'o'kapt'a'j
atentokaptan	atent'o'kapt'a'n
atenuiĝo	atenu'iĝ'o
aterosklerozo	ateroskleroz'o
atestas	atest'as
atesti	atest'i
atestis	atest'is
atesto	atest'o
atestoj	atest'o'j
atestojn	atest'o'j'n
ateston	atest'o'n
atestos	atest'os
atestu	atest'u
atestado	atest'ad'o
atestadoj	atest'ad'o'j
atestadon	atest'ad'o'n
atestaĵo	atest'aĵ'o
atestaĵoj	atest'aĵ'o'j
atestaĵojn	atest'aĵ'o'j'n
atestaĵon	atest'aĵ'o'n
atestanta	atest'ant'a
atestante	atest'ant'e
atestanto	atest'ant'o
atestantoj	atest'ant'o'j
atestantojn	atest'ant'o'j'n
atestanton	atest'ant'o'n
atestata	atest'at'a
atestilo	atest'il'o
atestiloj	atest'il'o'j
atestilojn	atest'il'o'j'n
atestilon	atest'il'o'n
atestintoj	atest'int'o'j
atestita	atest'it'a
atestitaj	atest'it'a'j
atestite	atest'it'e
atika	atik'a
atikaj	atik'a'j
atiko	atik'o
atikon	atik'o'n
atilo	atil'o
atinga	ating'a
atingas	ating'as
atingi	ating'i
atingis	ating'is
atingo	ating'o
atingoj	ating'o'j
atingojn	ating'o'j'n
atingon	ating'o'n
atingos	ating'os
atingu	ating'u
atingus	ating'us
atingadis	ating'ad'is
atingado	ating'ad'o
atingaĵo	ating'aĵ'o
atingaĵoj	ating'aĵ'o'j
atingaĵojn	ating'aĵ'o'j'n
atinganta	ating'ant'a
atingantaj	ating'ant'a'j
atingante	ating'ant'e
atingata	ating'at'a
atingebla	ating'ebl'a
atingeblaj	ating'ebl'a'j
atingeblajn	ating'ebl'a'j'n
atingeblan	ating'ebl'a'n
atingeblas	ating'ebl'as
atingeblo	ating'ebl'o
atinginta	ating'int'a
atingintaj	ating'int'a'j
atinginte	ating'int'e
atingita	ating'it'a
atingitaj	ating'it'a'j
atingitajn	ating'it'a'j'n
atingitan	ating'it'a'n
atingopovo	ating'o'pov'o
atingota	ating'ot'a
atlanta	atlant'a
atlantis	atlant'is
atlanto	atlant'o
atlantido	atlantid'o
atlantika	atlantik'a
atlantikaj	atlantik'a'j
atlantikan	atlantik'a'n
atlantiko	atlantik'o
atlantikon	atlantik'o'n
atlasa	atlas'a
atlaso	atlas'o
atlasoj	atlas'o'j
atleta	atlet'a
atletaj	atlet'a'j
atletan	atlet'a'n
atleto	atlet'o
atletoj	atlet'o'j
atletojn	atlet'o'j'n
atleton	atlet'o'n
atletika	atlet'ik'a
atletikaj	atlet'ik'a'j
atletiko	atlet'ik'o
atletikon	atlet'ik'o'n
atmano	atman'o
atmosfera	atmosfer'a
atmosferaj	atmosfer'a'j
atmosferajn	atmosfer'a'j'n
atmosferan	atmosfer'a'n
atmosfero	atmosfer'o
atmosferoj	atmosfer'o'j
atmosferojn	atmosfer'o'j'n
atmosferon	atmosfer'o'n
atolo	atol'o
atoloj	atol'o'j
atoma	atom'a
atomaj	atom'a'j
atomajn	atom'a'j'n
atoman	atom'a'n
atomo	atom'o
atomoj	atom'o'j
atomojn	atom'o'j'n
atomon	atom'o'n
atomarmiloj	atom'arm'il'o'j
atomarmilojn	atom'arm'il'o'j'n
atombomba	atom'bomb'a
atombombo	atom'bomb'o
atombomboj	atom'bomb'o'j
atombombojn	atom'bomb'o'j'n
atombombon	atom'bomb'o'n
atomcentralo	atom'central'o
atomcentraloj	atom'central'o'j
atomcentralojn	atom'central'o'j'n
atomeksplodo	atom'eksplod'o
atomeksplodoj	atom'eksplod'o'j
atomenergia	atom'energi'a
atomenergiaj	atom'energi'a'j
atomenergio	atom'energi'o
atomenergion	atom'energi'o'n
atomepoko	atom'epok'o
atomindustrio	atom'industri'o
atomismo	atom'ism'o
atomkerno	atom'kern'o
atomkernoj	atom'kern'o'j
atommedicino	atom'medicin'o
atommilito	atom'milit'o
atommiliton	atom'milit'o'n
atomnumero	atom'numer'o
atomnumeroj	atom'numer'o'j
atompezo	atom'pez'o
atomprogramo	atom'program'o
atomrubo	atom'rub'o
atomrubaĵo	atom'rub'aĵ'o
atomstrukturo	atom'struktur'o
atomŝeloj	atom'ŝel'o'j
atomteknologio	atom'teknologi'o
atrakcio	atrakci'o
atrakcioj	atrakci'o'j
atreo	atre'o
atria	atri'a
atrio	atri'o
atrion	atri'o'n
atribua	atribu'a
atribuaj	atribu'a'j
atribuas	atribu'as
atribui	atribu'i
atribuis	atribu'is
atribuo	atribu'o
atribuoj	atribu'o'j
atribuojn	atribu'o'j'n
atribuon	atribu'o'n
atribuos	atribu'os
atribuu	atribu'u
atribuado	atribu'ad'o
atribuante	atribu'ant'e
atribuata	atribu'at'a
atribuataj	atribu'at'a'j
atribuebla	atribu'ebl'a
atribueblaj	atribu'ebl'a'j
atribuiĝas	atribu'iĝ'as
atribuita	atribu'it'a
atribuitaj	atribu'it'a'j
atribuitajn	atribu'it'a'j'n
atribuitan	atribu'it'a'n
atribuite	atribu'it'e
atributas	atribut'as
atributi	atribut'i
atributo	atribut'o
atributoj	atribut'o'j
atributojn	atribut'o'j'n
atributon	atribut'o'n
atributita	atribut'it'a
atributitaj	atribut'it'a'j
atriplo	atripl'o
atrofio	atrofi'o
atuto	atut'o
atutoj	atut'o'j
atutojn	atut'o'j'n
atuton	atut'o'n
aŭ	aŭ
aŭda	aŭd'a
aŭdaj	aŭd'a'j
aŭdajn	aŭd'a'j'n
aŭdan	aŭd'a'n
aŭdas	aŭd'as
aŭde	aŭd'e
aŭdi	aŭd'i
aŭdis	aŭd'is
aŭdo	aŭd'o
aŭdon	aŭd'o'n
aŭdos	aŭd'os
aŭdu	aŭd'u
aŭdus	aŭd'us
aŭdadis	aŭd'ad'is
aŭdado	aŭd'ad'o
aŭdadon	aŭd'ad'o'n
aŭdanta	aŭd'ant'a
aŭdantaj	aŭd'ant'a'j
aŭdante	aŭd'ant'e
aŭdanto	aŭd'ant'o
aŭdantoj	aŭd'ant'o'j
aŭdantaro	aŭd'ant'ar'o
aŭdantaron	aŭd'ant'ar'o'n
aŭdata	aŭd'at'a
aŭdataj	aŭd'at'a'j
aŭdcerbo	aŭd'cerb'o
aŭdebla	aŭd'ebl'a
aŭdeblaj	aŭd'ebl'a'j
aŭdeblajn	aŭd'ebl'a'j'n
aŭdeblan	aŭd'ebl'a'n
aŭdeblas	aŭd'ebl'as
aŭdeble	aŭd'ebl'e
aŭdeblis	aŭd'ebl'is
aŭdebleco	aŭd'ebl'ec'o
aŭdigas	aŭd'ig'as
aŭdigi	aŭd'ig'i
aŭdigis	aŭd'ig'is
aŭdigu	aŭd'ig'u
aŭdiĝas	aŭd'iĝ'as
aŭdiĝi	aŭd'iĝ'i
aŭdiĝis	aŭd'iĝ'is
aŭdilo	aŭd'il'o
aŭdiloj	aŭd'il'o'j
aŭdilojn	aŭd'il'o'j'n
aŭdilon	aŭd'il'o'n
aŭdinta	aŭd'int'a
aŭdintaj	aŭd'int'a'j
aŭdinte	aŭd'int'e
aŭdita	aŭd'it'a
aŭditaj	aŭd'it'a'j
aŭditajn	aŭd'it'a'j'n
aŭditan	aŭd'it'a'n
aŭdite	aŭd'it'e
aŭdkapablo	aŭd'kapabl'o
aŭdkapablon	aŭd'kapabl'o'n
aŭdoprotektiloj	aŭd'o'protekt'il'o'j
aŭdovida	aŭd'o'vid'a
aŭdperdo	aŭd'perd'o
aŭdvida	aŭd'vid'a
aŭdvidaj	aŭd'vid'a'j
aŭdvidan	aŭd'vid'a'n
aŭdaca	aŭdac'a
aŭdacaj	aŭdac'a'j
aŭdacajn	aŭdac'a'j'n
aŭdacan	aŭdac'a'n
aŭdacas	aŭdac'as
aŭdace	aŭdac'e
aŭdaci	aŭdac'i
aŭdacis	aŭdac'is
aŭdaco	aŭdac'o
aŭdacon	aŭdac'o'n
aŭdacos	aŭdac'os
aŭdacu	aŭdac'u
aŭdacus	aŭdac'us
aŭdienco	aŭdienc'o
aŭdiencoj	aŭdienc'o'j
aŭdiencon	aŭdienc'o'n
aŭditorio	aŭditori'o
aŭditorioj	aŭditori'o'j
aŭditorion	aŭditori'o'n
aŭgura	aŭgur'a
aŭguras	aŭgur'as
aŭguri	aŭgur'i
aŭguris	aŭgur'is
aŭguro	aŭgur'o
aŭguroj	aŭgur'o'j
aŭguron	aŭgur'o'n
aŭgurado	aŭgur'ad'o
aŭguradon	aŭgur'ad'o'n
aŭguristo	aŭgur'ist'o
aŭguristoj	aŭgur'ist'o'j
aŭgusta	aŭgust'a
aŭguste	aŭgust'e
aŭgusto	aŭgust'o
aŭguston	aŭgust'o'n
aŭgustena	aŭgusten'a
aŭgusteno	aŭgusten'o
aŭgustenon	aŭgusten'o'n
aŭgustenana	aŭgusten'an'a
aŭgustenanoj	aŭgusten'an'o'j
aŭkaj	aŭk'a'j
aŭko	aŭk'o
aŭkoj	aŭk'o'j
aŭkcio	aŭkci'o
aŭkcioj	aŭkci'o'j
aŭkcion	aŭkci'o'n
aŭksino	aŭksin'o
aŭlo	aŭl'o
aŭrelio	aŭreli'o
aŭreliano	aŭrelian'o
aŭreolo	aŭreol'o
aŭreoloj	aŭreol'o'j
aŭriklo	aŭrikl'o
aŭrora	aŭror'a
aŭroro	aŭror'o
aŭroroj	aŭror'o'j
aŭrorojn	aŭror'o'j'n
aŭroron	aŭror'o'n
auskultas	aŭskult'as
aŭskultas	aŭskult'as
auskulti	aŭskult'i
aŭskulti	aŭskult'i
auskultis	aŭskult'is
aŭskultis	aŭskult'is
aŭskulto	aŭskult'o
aŭskultos	aŭskult'os
auskultu	aŭskult'u
aŭskultu	aŭskult'u
aŭskultus	aŭskult'us
aŭskultadis	aŭskult'ad'is
auskultado	aŭskult'ad'o
aŭskultado	aŭskult'ad'o
aŭskultadon	aŭskult'ad'o'n
aŭskultanta	aŭskult'ant'a
aŭskultantaj	aŭskult'ant'a'j
aŭskultantajn	aŭskult'ant'a'j'n
auskultante	aŭskult'ant'e
aŭskultante	aŭskult'ant'e
aŭskultanto	aŭskult'ant'o
auskultantoj	aŭskult'ant'o'j
aŭskultantoj	aŭskult'ant'o'j
aŭskultantojn	aŭskult'ant'o'j'n
aŭskultanton	aŭskult'ant'o'n
aŭskultantaro	aŭskult'ant'ar'o
aŭskultantaron	aŭskult'ant'ar'o'n
aŭskultata	aŭskult'at'a
aŭskultataj	aŭskult'at'a'j
aŭskultebla	aŭskult'ebl'a
aŭskulteblas	aŭskult'ebl'as
aŭskultilo	aŭskult'il'o
aŭskultiloj	aŭskult'il'o'j
aŭskultilon	aŭskult'il'o'n
aŭskultinta	aŭskult'int'a
aŭskultinte	aŭskult'int'e
aŭskultita	aŭskult'it'a
aŭskultitaj	aŭskult'it'a'j
aŭspicia	aŭspici'a
aŭspicias	aŭspici'as
aŭspiciis	aŭspici'is
aŭspicio	aŭspici'o
aŭspicioj	aŭspici'o'j
aŭspiciojn	aŭspici'o'j'n
aŭstra	aŭstr'a
aŭstraj	aŭstr'a'j
aŭstrajn	aŭstr'a'j'n
aŭstran	aŭstr'a'n
aŭstro	aŭstr'o
aŭstroj	aŭstr'o'j
aŭstrojn	aŭstr'o'j'n
aŭstrahungara	aŭstr'a'hungar'a
aŭstria	aŭstr'i'a
aŭstriaj	aŭstr'i'a'j
aŭstrian	aŭstr'i'a'n
aŭstrio	aŭstr'i'o
aŭstrion	aŭstr'i'o'n
aŭstriahungara	aŭstr'i'a'hungar'a
aŭstriohungario	aŭstr'i'o'hungari'o
aŭstrohungara	aŭstr'o'hungar'a
aŭstrohungaraj	aŭstr'o'hungar'a'j
aŭstrohungario	aŭstr'o'hungari'o
aŭstrujo	aŭstr'uj'o
aŭstrujon	aŭstr'uj'o'n
aŭstrala	aŭstral'a
aŭstralazia	aŭstralazi'a
aŭstralaziaj	aŭstralazi'a'j
aŭstralazio	aŭstralazi'o
aŭstralia	aŭstrali'a
aŭstraliaj	aŭstrali'a'j
aŭstraliajn	aŭstrali'a'j'n
aŭstralian	aŭstrali'a'n
aŭstralio	aŭstrali'o
aŭstralion	aŭstrali'o'n
aŭstraliano	aŭstrali'an'o
aŭstralianoj	aŭstrali'an'o'j
aŭstrazio	aŭstrazi'o
aŭta	aŭt'a
aŭtaj	aŭt'a'j
aŭtajn	aŭt'a'j'n
aŭtan	aŭt'a'n
aŭtas	aŭt'as
aŭte	aŭt'e
aŭti	aŭt'i
aŭtis	aŭt'is
aŭto	aŭt'o
aŭtoj	aŭt'o'j
aŭtojn	aŭt'o'j'n
aŭton	aŭt'o'n
aŭtaĉo	aŭt'aĉ'o
aŭtejo	aŭt'ej'o
aŭtejon	aŭt'ej'o'n
aŭteto	aŭt'et'o
aŭteton	aŭt'et'o'n
aŭtindustrio	aŭt'industri'o
aŭtisto	aŭt'ist'o
aŭtistoj	aŭt'ist'o'j
aŭtistojn	aŭt'ist'o'j'n
aŭtoakcidento	aŭt'o'akcident'o
aŭtobombo	aŭt'o'bomb'o
aŭtobomboj	aŭt'o'bomb'o'j
aŭtoindustrio	aŭt'o'industri'o
aŭtokodo	aŭt'o'kod'o
aŭtokodoj	aŭt'o'kod'o'j
aŭtopiloto	aŭt'o'pilot'o
aŭtoproduktanto	aŭt'o'produkt'ant'o
aŭtoproduktantoj	aŭt'o'produkt'ant'o'j
aŭtostirado	aŭt'o'stir'ad'o
aŭtoŝlosilojn	aŭt'o'ŝlos'il'o'j'n
aŭtoŝoseo	aŭt'o'ŝose'o
aŭtoŝoseoj	aŭt'o'ŝose'o'j
aŭtotransporto	aŭt'o'trans'port'o
aŭtoveturejo	aŭt'o'vetur'ej'o
aŭtoveturejoj	aŭt'o'vetur'ej'o'j
aŭtovoja	aŭt'o'voj'a
aŭtovojaj	aŭt'o'voj'a'j
aŭtovojo	aŭt'o'voj'o
aŭtovojoj	aŭt'o'voj'o'j
aŭtovojojn	aŭt'o'voj'o'j'n
aŭtovojon	aŭt'o'voj'o'n
aŭtovojreto	aŭt'o'voj'ret'o
aŭtproduktantoj	aŭt'produkt'ant'o'j
aŭtarkio	aŭtarki'o
aŭtarkion	aŭtarki'o'n
aŭtenta	aŭtent'a
aŭtentaj	aŭtent'a'j
aŭtentajn	aŭtent'a'j'n
aŭtentan	aŭtent'a'n
aŭtente	aŭtent'e
aŭtenteco	aŭtent'ec'o
aŭtentecon	aŭtent'ec'o'n
aŭtentika	aŭtentik'a
aŭtentikaj	aŭtentik'a'j
aŭtentikan	aŭtentik'a'n
aŭtentike	aŭtentik'e
aŭtentikeco	aŭtentik'ec'o
aŭtentikecon	aŭtentik'ec'o'n
aŭtentikigi	aŭtentik'ig'i
aŭtentikigita	aŭtentik'ig'it'a
aŭtisma	aŭtism'a
aŭtismaj	aŭtism'a'j
aŭtismo	aŭtism'o
aŭtismon	aŭtism'o'n
aŭtismulo	aŭtism'ul'o
aŭtismuloj	aŭtism'ul'o'j
aŭtobiografia	aŭtobiografi'a
aŭtobiografiaj	aŭtobiografi'a'j
aŭtobiografiajn	aŭtobiografi'a'j'n
aŭtobiografian	aŭtobiografi'a'n
aŭtobiografio	aŭtobiografi'o
aŭtobiografioj	aŭtobiografi'o'j
aŭtobiografion	aŭtobiografi'o'n
aŭtobusa	aŭtobus'a
aŭtobusaj	aŭtobus'a'j
aŭtobusan	aŭtobus'a'n
aŭtobuse	aŭtobus'e
aŭtobuso	aŭtobus'o
aŭtobusoj	aŭtobus'o'j
aŭtobusojn	aŭtobus'o'j'n
aŭtobuson	aŭtobus'o'n
aŭtodafeo	aŭtodafe'o
aŭtodidakte	aŭtodidakt'e
aŭtodidakto	aŭtodidakt'o
aŭtogiro	aŭtogir'o
aŭtografo	aŭtograf'o
aŭtografoj	aŭtograf'o'j
aŭtografojn	aŭtograf'o'j'n
aŭtografon	aŭtograf'o'n
aŭtokrata	aŭtokrat'a
aŭtokrato	aŭtokrat'o
aŭtokrateca	aŭtokrat'ec'a
aŭtokratio	aŭtokrat'i'o
aŭtokration	aŭtokrat'i'o'n
aŭtoktona	aŭtokton'a
aŭtoktonaj	aŭtokton'a'j
aŭtoktonoj	aŭtokton'o'j
automata	aŭtomat'a
aŭtomata	aŭtomat'a
aŭtomataj	aŭtomat'a'j
aŭtomatajn	aŭtomat'a'j'n
aŭtomatan	aŭtomat'a'n
automate	aŭtomat'e
aŭtomate	aŭtomat'e
aŭtomato	aŭtomat'o
aŭtomatoj	aŭtomat'o'j
aŭtomaton	aŭtomat'o'n
