macojn	mac'o'j'n
malkunpremo	mal'kun'prem'o
malkuraĝa	mal'kuraĝ'a
malkuraĝaj	mal'kuraĝ'a'j
malkuraĝan	mal'kuraĝ'a'n
malkuraĝe	mal'kuraĝ'e
malkuraĝo	mal'kuraĝ'o
malkuraĝiga	mal'kuraĝ'ig'a
malkuraĝigas	mal'kuraĝ'ig'as
malkuraĝigi	mal'kuraĝ'ig'i
malkuraĝigis	mal'kuraĝ'ig'is
malkuraĝigo	mal'kuraĝ'ig'o
malkuraĝigita	mal'kuraĝ'ig'it'a
malkuraĝiĝis	mal'kuraĝ'iĝ'is
malkuraĝulo	mal'kuraĝ'ul'o
malkuraĝuloj	mal'kuraĝ'ul'o'j
malkutima	mal'kutim'a
malkutimaj	mal'kutim'a'j
malkutime	mal'kutim'e
malkutimeco	mal'kutim'ec'o
malkvieta	mal'kviet'a
malkvietaj	mal'kviet'a'j
malkvietan	mal'kviet'a'n
malkvietas	mal'kviet'as
malkviete	mal'kviet'e
malkvietis	mal'kviet'is
malkvieto	mal'kviet'o
malkvietiga	mal'kviet'ig'a
malkvietigas	mal'kviet'ig'as
malkvietigis	mal'kviet'ig'is
malkvietiĝis	mal'kviet'iĝ'is
malkvietiĝu	mal'kviet'iĝ'u
mallaborema	mal'labor'em'a
mallaboremaj	mal'labor'em'a'j
mallaboremas	mal'labor'em'as
mallaboremo	mal'labor'em'o
mallaboremon	mal'labor'em'o'n
mallaboremulo	mal'labor'em'ul'o
mallaboremuloj	mal'labor'em'ul'o'j
mallaboruloj	mal'labor'ul'o'j
mallarĝa	mal'larĝ'a
mallarĝaj	mal'larĝ'a'j
mallarĝajn	mal'larĝ'a'j'n
mallarĝan	mal'larĝ'a'n
mallarĝe	mal'larĝ'e
mallarĝeco	mal'larĝ'ec'o
mallarĝejo	mal'larĝ'ej'o
mallarĝejon	mal'larĝ'ej'o'n
mallarĝigas	mal'larĝ'ig'as
mallarĝigi	mal'larĝ'ig'i
mallarĝigis	mal'larĝ'ig'is
mallarĝigoj	mal'larĝ'ig'o'j
mallarĝigante	mal'larĝ'ig'ant'e
mallarĝigitaj	mal'larĝ'ig'it'a'j
mallarĝiĝas	mal'larĝ'iĝ'as
mallarĝiĝis	mal'larĝ'iĝ'is
mallaŭdas	mal'laŭd'as
mallaŭdi	mal'laŭd'i
mallaŭdis	mal'laŭd'is
mallaŭdo	mal'laŭd'o
mallaŭdon	mal'laŭd'o'n
mallaŭdu	mal'laŭd'u
mallaŭdinda	mal'laŭd'ind'a
mallaŭdita	mal'laŭd'it'a
mallaŭta	mal'laŭt'a
mallaŭtaj	mal'laŭt'a'j
mallaŭtajn	mal'laŭt'a'j'n
mallaŭtan	mal'laŭt'a'n
mallaŭte	mal'laŭt'e
mallaŭtigi	mal'laŭt'ig'i
mallaŭtigis	mal'laŭt'ig'is
mallaŭtigu	mal'laŭt'ig'u
mallaŭtiĝis	mal'laŭt'iĝ'is
mallerni	mal'lern'i
mallerta	mal'lert'a
mallertaj	mal'lert'a'j
mallertajn	mal'lert'a'j'n
mallertan	mal'lert'a'n
mallertas	mal'lert'as
mallerte	mal'lert'e
mallerto	mal'lert'o
mallerteco	mal'lert'ec'o
mallertecon	mal'lert'ec'o'n
mallertulo	mal'lert'ul'o
mallevas	mal'lev'as
mallevi	mal'lev'i
mallevis	mal'lev'is
mallevos	mal'lev'os
mallevu	mal'lev'u
mallevante	mal'lev'ant'e
malleviĝas	mal'lev'iĝ'as
malleviĝi	mal'lev'iĝ'i
malleviĝis	mal'lev'iĝ'is
malleviĝo	mal'lev'iĝ'o
malleviĝanta	mal'lev'iĝ'ant'a
malleviĝantaj	mal'lev'iĝ'ant'a'j
malleviĝinte	mal'lev'iĝ'int'e
mallevinte	mal'lev'int'e
mallevita	mal'lev'it'a
mallevitaj	mal'lev'it'a'j
mallibera	mal'liber'a
malliberaj	mal'liber'a'j
malliberajn	mal'liber'a'j'n
malliberan	mal'liber'a'n
mallibero	mal'liber'o
mallibereco	mal'liber'ec'o
malliberecon	mal'liber'ec'o'n
mallibereja	mal'liber'ej'a
malliberejaj	mal'liber'ej'a'j
malliberejo	mal'liber'ej'o
malliberejoj	mal'liber'ej'o'j
malliberejojn	mal'liber'ej'o'j'n
malliberejon	mal'liber'ej'o'n
malliberejsistemo	mal'liber'ej'sistem'o
malliberigas	mal'liber'ig'as
malliberigi	mal'liber'ig'i
malliberigis	mal'liber'ig'is
malliberigo	mal'liber'ig'o
malliberigon	mal'liber'ig'o'n
malliberigata	mal'liber'ig'at'a
malliberigita	mal'liber'ig'it'a
malliberigitaj	mal'liber'ig'it'a'j
malliberigite	mal'liber'ig'it'e
malliberigito	mal'liber'ig'it'o
malliberigitoj	mal'liber'ig'it'o'j
malliberigitojn	mal'liber'ig'it'o'j'n
malliberiĝo	mal'liber'iĝ'o
malliberulo	mal'liber'ul'o
malliberuloj	mal'liber'ul'o'j
malliberulojn	mal'liber'ul'o'j'n
malliberulon	mal'liber'ul'o'n
malligas	mal'lig'as
malligi	mal'lig'i
malligis	mal'lig'is
malligo	mal'lig'o
malligoj	mal'lig'o'j
malligon	mal'lig'o'n
malligita	mal'lig'it'a
malligitaj	mal'lig'it'a'j
mallogi	mal'log'i
mallogika	mal'logik'a
mallogike	mal'logik'e
mallojala	mal'lojal'a
mallojaleco	mal'lojal'ec'o
malloka	mal'lok'a
mallonga	mal'long'a
mallongaj	mal'long'a'j
mallongajn	mal'long'a'j'n
mallongan	mal'long'a'n
mallongas	mal'long'as
mallonge	mal'long'e
mallongbeka	mal'long'bek'a
mallongdaŭra	mal'long'daŭr'a
mallongdaŭraj	mal'long'daŭr'a'j
mallongdaŭran	mal'long'daŭr'a'n
mallongdistanca	mal'long'distanc'a
mallongdistancaj	mal'long'distanc'a'j
mallongdistancan	mal'long'distanc'a'n
mallongeco	mal'long'ec'o
mallongega	mal'long'eg'a
mallongegaj	mal'long'eg'a'j
mallongegajn	mal'long'eg'a'j'n
mallongigas	mal'long'ig'as
mallongige	mal'long'ig'e
mallongigi	mal'long'ig'i
mallongigis	mal'long'ig'is
mallongigo	mal'long'ig'o
mallongigoj	mal'long'ig'o'j
mallongigojn	mal'long'ig'o'j'n
mallongigon	mal'long'ig'o'n
mallongigu	mal'long'ig'u
mallongigado	mal'long'ig'ad'o
mallongigante	mal'long'ig'ant'e
mallongigata	mal'long'ig'at'a
mallongigita	mal'long'ig'it'a
mallongigitaj	mal'long'ig'it'a'j
mallongigitan	mal'long'ig'it'a'n
mallongigite	mal'long'ig'it'e
mallongiĝas	mal'long'iĝ'as
mallongiĝis	mal'long'iĝ'is
mallongperspektiva	mal'long'perspektiv'a
mallongperspektivaj	mal'long'perspektiv'a'j
mallongperspektivajn	mal'long'perspektiv'a'j'n
mallongperspektivan	mal'long'perspektiv'a'n
mallongtempa	mal'long'temp'a
mallongtempaj	mal'long'temp'a'j
mallongtempe	mal'long'temp'e
malluksa	mal'luks'a
malluksaj	mal'luks'a'j
malluma	mal'lum'a
mallumaj	mal'lum'a'j
mallumajn	mal'lum'a'j'n
malluman	mal'lum'a'n
mallumas	mal'lum'as
mallume	mal'lum'e
mallumis	mal'lum'is
mallumo	mal'lum'o
mallumon	mal'lum'o'n
mallumigita	mal'lum'ig'it'a
mallumiĝas	mal'lum'iĝ'as
mallumiĝis	mal'lum'iĝ'is
mallumiĝo	mal'lum'iĝ'o
mallumuloj	mal'lum'ul'o'j
malmilda	mal'mild'a
malmildaj	mal'mild'a'j
malmilde	mal'mild'e
malmodera	mal'moder'a
malmodere	mal'moder'e
malmoderna	mal'modern'a
malmodernaj	mal'modern'a'j
malmodernajn	mal'modern'a'j'n
malmodernan	mal'modern'a'n
malmodesta	mal'modest'a
malmodeste	mal'modest'e
malmodesteco	mal'modest'ec'o
malmola	mal'mol'a
malmolaj	mal'mol'a'j
malmolajn	mal'mol'a'j'n
malmolan	mal'mol'a'n
malmole	mal'mol'e
malmoleco	mal'mol'ec'o
malmolecon	mal'mol'ec'o'n
malmolega	mal'mol'eg'a
malmoliĝas	mal'mol'iĝ'as
malmoliĝi	mal'mol'iĝ'i
malmoliĝis	mal'mol'iĝ'is
malmorala	mal'moral'a
malmoralaj	mal'moral'a'j
malmoralajn	mal'moral'a'j'n
malmoralan	mal'moral'a'n
malmorale	mal'moral'e
malmoralo	mal'moral'o
malmoraleco	mal'moral'ec'o
malmoralecon	mal'moral'ec'o'n
malmulta	mal'mult'a
malmultaj	mal'mult'a'j
malmultajn	mal'mult'a'j'n
malmultan	mal'mult'a'n
malmultas	mal'mult'as
malmulte	mal'mult'e
malmultis	mal'mult'is
malmulto	mal'mult'o
malmultoj	mal'mult'o'j
malmulton	mal'mult'o'n
malmultekosta	mal'mult'e'kost'a
malmultekostaj	mal'mult'e'kost'a'j
malmultekostajn	mal'mult'e'kost'a'j'n
malmultekostan	mal'mult'e'kost'a'n
malmultekoste	mal'mult'e'kost'e
malmultenombra	mal'mult'e'nombr'a
malmulteco	mal'mult'ec'o
malmultegaj	mal'mult'eg'a'j
malmultege	mal'mult'eg'e
malmultigi	mal'mult'ig'i
malmultiĝas	mal'mult'iĝ'as
malmultiĝis	mal'mult'iĝ'is
malmultiĝo	mal'mult'iĝ'o
malmultkosta	mal'mult'kost'a
malmultkostaj	mal'mult'kost'a'j
malmultnombraj	mal'mult'nombr'a'j
malmuntas	mal'munt'as
malmunti	mal'munt'i
malmuntis	mal'munt'is
malmuntado	mal'munt'ad'o
malmuntadon	mal'munt'ad'o'n
malmuntita	mal'munt'it'a
malmuntitaj	mal'munt'it'a'j
malnaiva	mal'naiv'a
malnatura	mal'natur'a
malnecesa	mal'neces'a
malneta	mal'net'a
malnetaj	mal'net'a'j
malnetan	mal'net'a'n
malneto	mal'net'o
malneton	mal'net'o'n
malnobelo	mal'nobel'o
malnobeloj	mal'nobel'o'j
malnobla	mal'nobl'a
malnoblaj	mal'nobl'a'j
malnoblajn	mal'nobl'a'j'n
malnoblan	mal'nobl'a'n
malnoble	mal'nobl'e
malnobleco	mal'nobl'ec'o
malnoblulo	mal'nobl'ul'o
malnormala	mal'normal'a
malnova	mal'nov'a
malnovaj	mal'nov'a'j
malnovajn	mal'nov'a'j'n
malnovan	mal'nov'a'n
malnovas	mal'nov'as
malnove	mal'nov'e
malnovo	mal'nov'o
malnovoj	mal'nov'o'j
malnovon	mal'nov'o'n
malnovaĵoj	mal'nov'aĵ'o'j
malnovaltgermana	mal'nov'alt'german'a
malnovega	mal'nov'eg'a
malnovegaj	mal'nov'eg'a'j
malnovegan	mal'nov'eg'a'n
malnovfranca	mal'nov'franc'a
malnovgermana	mal'nov'german'a
malnovgreka	mal'nov'grek'a
malnovgrekaj	mal'nov'grek'a'j
malnoviĝas	mal'nov'iĝ'as
malnoviĝo	mal'nov'iĝ'o
malnoviĝinta	mal'nov'iĝ'int'a
malnoviĝintaj	mal'nov'iĝ'int'a'j
malnoviĝintan	mal'nov'iĝ'int'a'n
malnovirlanda	mal'nov'irland'a
malnovmoda	mal'nov'mod'a
malnovmondaj	mal'nov'mond'a'j
malnovpola	mal'nov'pol'a
malnovritanoj	mal'nov'rit'an'o'j
malnovrusa	mal'nov'rus'a
malnovslava	mal'nov'slav'a
malnovtestamenta	mal'nov'testament'a
malnovtestamentaj	mal'nov'testament'a'j
malobeas	mal'obe'as
malobee	mal'obe'e
malobei	mal'obe'i
malobeis	mal'obe'is
malobeo	mal'obe'o
malobeon	mal'obe'o'n
malobeos	mal'obe'os
malobeus	mal'obe'us
malobeado	mal'obe'ad'o
malobeante	mal'obe'ant'e
malobeema	mal'obe'em'a
malobeemaj	mal'obe'em'a'j
malobeemo	mal'obe'em'o
malobeita	mal'obe'it'a
malobservas	mal'observ'as
malobservi	mal'observ'i
malobservis	mal'observ'is
malobservo	mal'observ'o
malobservoj	mal'observ'o'j
malobservojn	mal'observ'o'j'n
malobservon	mal'observ'o'n
malobservos	mal'observ'os
malobservus	mal'observ'us
malobservado	mal'observ'ad'o
malobservante	mal'observ'ant'e
malobservita	mal'observ'it'a
malobservitaj	mal'observ'it'a'j
malofta	mal'oft'a
maloftaj	mal'oft'a'j
maloftajn	mal'oft'a'j'n
maloftan	mal'oft'a'n
maloftas	mal'oft'as
malofte	mal'oft'e
maloftis	mal'oft'is
maloftaĵo	mal'oft'aĵ'o
malofteco	mal'oft'ec'o
maloftega	mal'oft'eg'a
maloftegaj	mal'oft'eg'a'j
maloftege	mal'oft'eg'e
maloportuna	mal'oportun'a
maloportunaj	mal'oportun'a'j
maloportunan	mal'oportun'a'n
maloportune	mal'oportun'e
maloportunaĵoj	mal'oportun'aĵ'o'j
malorda	mal'ord'a
malordaj	mal'ord'a'j
malordan	mal'ord'a'n
malorde	mal'ord'e
malordo	mal'ord'o
malordoj	mal'ord'o'j
malordojn	mal'ord'o'j'n
malordon	mal'ord'o'n
malordigis	mal'ord'ig'is
malordigita	mal'ord'ig'it'a
malordigitaj	mal'ord'ig'it'a'j
malpaca	mal'pac'a
malpacas	mal'pac'as
malpaci	mal'pac'i
malpacis	mal'pac'is
malpaco	mal'pac'o
malpacoj	mal'pac'o'j
malpacon	mal'pac'o'n
malpacienca	mal'pacienc'a
malpaciencaj	mal'pacienc'a'j
malpacience	mal'pacienc'e
malpacienco	mal'pacienc'o
malpaciencon	mal'pacienc'o'n
malpacienciĝas	mal'pacienc'iĝ'as
malpakis	mal'pak'is
malpara	mal'par'a
malparolema	mal'parol'em'a
malparolemaj	mal'parol'em'a'j
malperforto	mal'per'fort'o
malperfekta	mal'perfekt'a
malperfektaj	mal'perfekt'a'j
malperfektaĵoj	mal'perfekt'aĵ'o'j
malperfektaĵojn	mal'perfekt'aĵ'o'j'n
malperfekteco	mal'perfekt'ec'o
malpermesas	mal'permes'as
malpermesi	mal'permes'i
malpermesis	mal'permes'is
malpermeso	mal'permes'o
malpermesoj	mal'permes'o'j
malpermesojn	mal'permes'o'j'n
malpermeson	mal'permes'o'n
malpermesos	mal'permes'os
malpermesu	mal'permes'u
malpermesus	mal'permes'us
malpermesado	mal'permes'ad'o
malpermesanta	mal'permes'ant'a
malpermesantaj	mal'permes'ant'a'j
malpermesantajn	mal'permes'ant'a'j'n
malpermesantan	mal'permes'ant'a'n
malpermesante	mal'permes'ant'e
malpermesata	mal'permes'at'a
malpermesataj	mal'permes'at'a'j
malpermesatas	mal'permes'at'as
malpermesate	mal'permes'at'e
malpermesita	mal'permes'it'a
malpermesitaj	mal'permes'it'a'j
malpermesitajn	mal'permes'it'a'j'n
malpermesitan	mal'permes'it'a'n
malpermesitas	mal'permes'it'as
malpermesite	mal'permes'it'e
malpeza	mal'pez'a
malpezaj	mal'pez'a'j
malpezajn	mal'pez'a'j'n
malpezan	mal'pez'a'n
malpeze	mal'pez'e
malpezeco	mal'pez'ec'o
malpezigas	mal'pez'ig'as
malpezigi	mal'pez'ig'i
malpezigis	mal'pez'ig'is
malpeziĝis	mal'pez'iĝ'is
malpeziĝo	mal'pez'iĝ'o
malpia	mal'pi'a
malpiaj	mal'pi'a'j
malpieco	mal'pi'ec'o
malpiuloj	mal'pi'ul'o'j
malplaĉa	mal'plaĉ'a
malplaĉaj	mal'plaĉ'a'j
malplaĉas	mal'plaĉ'as
malplaĉe	mal'plaĉ'e
malplaĉi	mal'plaĉ'i
malplaĉis	mal'plaĉ'is
malplaĉon	mal'plaĉ'o'n
malpleja	mal'plej'a
malplejan	mal'plej'a'n
malpleje	mal'plej'e
malplena	mal'plen'a
malplenaj	mal'plen'a'j
malplenajn	mal'plen'a'j'n
malplenan	mal'plen'a'n
malplenas	mal'plen'as
malplene	mal'plen'e
malplenis	mal'plen'is
malpleno	mal'plen'o
malplenoj	mal'plen'o'j
malplenojn	mal'plen'o'j'n
malplenon	mal'plen'o'n
malpleneco	mal'plen'ec'o
malplenecon	mal'plen'ec'o'n
malplenigas	mal'plen'ig'as
malplenigi	mal'plen'ig'i
malplenigis	mal'plen'ig'is
malplenigo	mal'plen'ig'o
malplenigon	mal'plen'ig'o'n
malplenigu	mal'plen'ig'u
malplenigado	mal'plen'ig'ad'o
malplenigante	mal'plen'ig'ant'e
malplenigita	mal'plen'ig'it'a
malplenigitaj	mal'plen'ig'it'a'j
malplenigitan	mal'plen'ig'it'a'n
malpleniĝis	mal'plen'iĝ'is
malplezuro	mal'plezur'o
malplezuron	mal'plezur'o'n
malplia	mal'pli'a
malplian	mal'pli'a'n
malplie	mal'pli'e
malpliaĝa	mal'pli'aĝ'a
malplialtagrade	mal'pli'alt'a'grad'e
malplibonigo	mal'pli'bon'ig'o
malplibonigon	mal'pli'bon'ig'o'n
malpliboniĝas	mal'pli'bon'iĝ'as
malpliboniĝis	mal'pli'bon'iĝ'is
malpligrandigas	mal'pli'grand'ig'as
malpligrandigi	mal'pli'grand'ig'i
malpligrandiĝas	mal'pli'grand'iĝ'as
malpligrandiĝis	mal'pli'grand'iĝ'is
malpligrandiĝo	mal'pli'grand'iĝ'o
malpliiga	mal'pli'ig'a
malpliigas	mal'pli'ig'as
malpliigi	mal'pli'ig'i
malpliigis	mal'pli'ig'is
malpliigo	mal'pli'ig'o
malpliigon	mal'pli'ig'o'n
malpliigos	mal'pli'ig'os
malpliigu	mal'pli'ig'u
malpliigus	mal'pli'ig'us
malpliigado	mal'pli'ig'ad'o
malpliiganta	mal'pli'ig'ant'a
malpliigante	mal'pli'ig'ant'e
malpliigita	mal'pli'ig'it'a
malpliigitaj	mal'pli'ig'it'a'j
malpliigitan	mal'pli'ig'it'a'n
malpliiĝas	mal'pli'iĝ'as
malpliiĝi	mal'pli'iĝ'i
malpliiĝis	mal'pli'iĝ'is
malpliiĝo	mal'pli'iĝ'o
malpliiĝon	mal'pli'iĝ'o'n
malpliiĝos	mal'pli'iĝ'os
malpliiĝu	mal'pli'iĝ'u
malpliiĝus	mal'pli'iĝ'us
malpliiĝanta	mal'pli'iĝ'ant'a
malpliiĝantaj	mal'pli'iĝ'ant'a'j
malpliiĝante	mal'pli'iĝ'ant'e
malplilaŭtigi	mal'pli'laŭt'ig'i
malplimulta	mal'pli'mult'a
malplimultaj	mal'pli'mult'a'j
malplimulto	mal'pli'mult'o
malplimultoj	mal'pli'mult'o'j
malplimultojn	mal'pli'mult'o'j'n
malplimulton	mal'pli'mult'o'n
malplipeziĝo	mal'pli'pez'iĝ'o
malplivaloreco	mal'pli'valor'ec'o
malplivalorigi	mal'pli'valor'ig'i
malplivalorigo	mal'pli'valor'ig'o
malpolariĝo	mal'polar'iĝ'o
malpopulara	mal'popular'a
malpopulareco	mal'popular'ec'o
malprava	mal'prav'a
malpravaj	mal'prav'a'j
malpravas	mal'prav'as
malprave	mal'prav'e
malpravi	mal'prav'i
malpravis	mal'prav'is
malpravo	mal'prav'o
malpravigas	mal'prav'ig'as
malpreciza	mal'preciz'a
malprecizaj	mal'preciz'a'j
malprecizajn	mal'preciz'a'j'n
malprecizan	mal'preciz'a'n
malprecize	mal'preciz'e
malprecizaĵo	mal'preciz'aĵ'o
malprecizeco	mal'preciz'ec'o
malprobabla	mal'probabl'a
malprobable	mal'probabl'e
malprofita	mal'profit'a
malprofitan	mal'profit'a'n
malprofitas	mal'profit'as
malprofite	mal'profit'e
malprofito	mal'profit'o
malprofiton	mal'profit'o'n
malprofunda	mal'profund'a
malprofundaj	mal'profund'a'j
malprofundajn	mal'profund'a'j'n
malprofundan	mal'profund'a'n
malprofunde	mal'profund'e
malprofundaĵo	mal'profund'aĵ'o
malprofundejo	mal'profund'ej'o
malprogresas	mal'progres'as
malprogreso	mal'progres'o
malprogreson	mal'progres'o'n
malprogresinta	mal'progres'int'a
malproksima	mal'proksim'a
malproksimaj	mal'proksim'a'j
malproksimajn	mal'proksim'a'j'n
malproksiman	mal'proksim'a'n
malproksimas	mal'proksim'as
malproksime	mal'proksim'e
malproksimen	mal'proksim'e'n
malproksimo	mal'proksim'o
malproksimon	mal'proksim'o'n
malproksimeco	mal'proksim'ec'o
malproksimega	mal'proksim'eg'a
malproksimigas	mal'proksim'ig'as
malproksimigi	mal'proksim'ig'i
malproksimigis	mal'proksim'ig'is
malproksimiĝas	mal'proksim'iĝ'as
malproksimiĝi	mal'proksim'iĝ'i
malproksimiĝis	mal'proksim'iĝ'is
malproksimiĝo	mal'proksim'iĝ'o
malproksimiĝu	mal'proksim'iĝ'u
malprospera	mal'prosper'a
malprosperis	mal'prosper'is
malprospero	mal'prosper'o
malprosperon	mal'prosper'o'n
malprotesto	mal'protest'o
malprudenta	mal'prudent'a
malprudentaj	mal'prudent'a'j
malprudente	mal'prudent'e
malpruvas	mal'pruv'as
malpruvi	mal'pruv'i
malpruvebla	mal'pruv'ebl'a
malpublike	mal'publik'e
malpubliko	mal'publik'o
malpura	mal'pur'a
malpuraj	mal'pur'a'j
malpurajn	mal'pur'a'j'n
malpuran	mal'pur'a'n
malpuras	mal'pur'as
malpure	mal'pur'e
malpuro	mal'pur'o
malpuraĵo	mal'pur'aĵ'o
malpuraĵoj	mal'pur'aĵ'o'j
malpuraĵojn	mal'pur'aĵ'o'j'n
malpuraĵon	mal'pur'aĵ'o'n
malpuraĵogrupoj	mal'pur'aĵ'o'grup'o'j
malpureco	mal'pur'ec'o
malpurigas	mal'pur'ig'as
malpurigi	mal'pur'ig'i
malpurigis	mal'pur'ig'is
malpurigo	mal'pur'ig'o
malpurigon	mal'pur'ig'o'n
malpurigos	mal'pur'ig'os
malpurigu	mal'pur'ig'u
malpurigaĵo	mal'pur'ig'aĵ'o
malpurigaĵoj	mal'pur'ig'aĵ'o'j
malpurigaĵojn	mal'pur'ig'aĵ'o'j'n
malpurigita	mal'pur'ig'it'a
malpurigitaj	mal'pur'ig'it'a'j
malpuriĝas	mal'pur'iĝ'as
malpuriĝis	mal'pur'iĝ'is
malpuriĝo	mal'pur'iĝ'o
malracia	mal'raci'a
malraciaj	mal'raci'a'j
malracian	mal'raci'a'n
malracie	mal'raci'e
malrapida	mal'rapid'a
malrapidaj	mal'rapid'a'j
malrapidajn	mal'rapid'a'j'n
malrapidan	mal'rapid'a'n
malrapidas	mal'rapid'as
malrapide	mal'rapid'e
malrapidis	mal'rapid'is
malrapido	mal'rapid'o
malrapidu	mal'rapid'u
malrapideco	mal'rapid'ec'o
malrapidege	mal'rapid'eg'e
malrapidema	mal'rapid'em'a
malrapidigas	mal'rapid'ig'as
malrapidigi	mal'rapid'ig'i
malrapidigis	mal'rapid'ig'is
malrapidiĝas	mal'rapid'iĝ'as
malrapidiĝi	mal'rapid'iĝ'i
malrapidiĝis	mal'rapid'iĝ'is
malrapidiĝo	mal'rapid'iĝ'o
malrapidiĝon	mal'rapid'iĝ'o'n
malrapidiĝu	mal'rapid'iĝ'u
malrapidmovaj	mal'rapid'mov'a'j
malreala	mal'real'a
malregula	mal'regul'a
malregulaj	mal'regul'a'j
malregulajn	mal'regul'a'j'n
malregulan	mal'regul'a'n
malregule	mal'regul'e
malregulaĵo	mal'regul'aĵ'o
malregulaĵoj	mal'regul'aĵ'o'j
malrekomendas	mal'rekomend'as
malrekomendi	mal'rekomend'i
malrekomendis	mal'rekomend'is
malrekomendita	mal'rekomend'it'a
malrekta	mal'rekt'a
malrektaj	mal'rekt'a'j
malrektan	mal'rekt'a'n
malrekte	mal'rekt'e
malrespekta	mal'respekt'a
malrespektas	mal'respekt'as
malrespekte	mal'respekt'e
malrespekti	mal'respekt'i
malrespektis	mal'respekt'is
malrespekto	mal'respekt'o
malrespekton	mal'respekt'o'n
malriĉa	mal'riĉ'a
malriĉaj	mal'riĉ'a'j
malriĉajn	mal'riĉ'a'j'n
malriĉan	mal'riĉ'a'n
malriĉas	mal'riĉ'as
malriĉe	mal'riĉ'e
malriĉis	mal'riĉ'is
malriĉo	mal'riĉ'o
malriĉon	mal'riĉ'o'n
malriĉeco	mal'riĉ'ec'o
malriĉecon	mal'riĉ'ec'o'n
malriĉecredukto	mal'riĉ'ec'redukt'o
malriĉega	mal'riĉ'eg'a
malriĉigas	mal'riĉ'ig'as
malriĉigita	mal'riĉ'ig'it'a
malriĉiĝas	mal'riĉ'iĝ'as
malriĉiĝis	mal'riĉ'iĝ'is
malriĉiĝo	mal'riĉ'iĝ'o
malriĉulo	mal'riĉ'ul'o
malriĉuloj	mal'riĉ'ul'o'j
malriĉulojn	mal'riĉ'ul'o'j'n
malriĉulon	mal'riĉ'ul'o'n
malriĉularo	mal'riĉ'ul'ar'o
malriĉulejo	mal'riĉ'ul'ej'o
malrigida	mal'rigid'a
malsagha	mal'saĝ'a
malsaĝa	mal'saĝ'a
malsaĝaj	mal'saĝ'a'j
malsaĝan	mal'saĝ'a'n
malsaĝe	mal'saĝ'e
malsaĝo	mal'saĝ'o
malsaĝeco	mal'saĝ'ec'o
malsaĝecon	mal'saĝ'ec'o'n
malsaghulo	mal'saĝ'ul'o
malsaĝulo	mal'saĝ'ul'o
malsaĝuloj	mal'saĝ'ul'o'j
malsaĝulon	mal'saĝ'ul'o'n
malsama	mal'sam'a
malsamaj	mal'sam'a'j
malsamajn	mal'sam'a'j'n
malsaman	mal'sam'a'n
malsamas	mal'sam'as
malsame	mal'sam'e
malsami	mal'sam'i
malsamis	mal'sam'is
malsamo	mal'sam'o
malsamoj	mal'sam'o'j
malsamos	mal'sam'os
malsamaĵoj	mal'sam'aĵ'o'j
malsamaĵojn	mal'sam'aĵ'o'j'n
malsamantaj	mal'sam'ant'a'j
malsamante	mal'sam'ant'e
malsameco	mal'sam'ec'o
malsamecoj	mal'sam'ec'o'j
malsamecojn	mal'sam'ec'o'j'n
malsamecon	mal'sam'ec'o'n
malsamgrandaj	mal'sam'grand'a'j
malsamlingvanoj	mal'sam'lingv'an'o'j
malsammaniere	mal'sam'manier'e
malsamopinias	mal'sam'opini'as
malsamopinioj	mal'samo'pini'o'j
malsana	mal'san'a
malsanaj	mal'san'a'j
malsanajn	mal'san'a'j'n
malsanan	mal'san'a'n
malsanas	mal'san'as
malsane	mal'san'e
malsani	mal'san'i
malsanis	mal'san'is
malsano	mal'san'o
malsanoj	mal'san'o'j
malsanojn	mal'san'o'j'n
malsanon	mal'san'o'n
malsaneca	mal'san'ec'a
malsaneco	mal'san'ec'o
malsanecon	mal'san'ec'o'n
malsanema	mal'san'em'a
malsaneta	mal'san'et'a
malsaneto	mal'san'et'o
malsaniga	mal'san'ig'a
malsanigaj	mal'san'ig'a'j
malsanigas	mal'san'ig'as
malsanigi	mal'san'ig'i
malsanigis	mal'san'ig'is
malsaniĝas	mal'san'iĝ'as
malsaniĝi	mal'san'iĝ'i
malsaniĝis	mal'san'iĝ'is
malsaniĝo	mal'san'iĝ'o
malsaniĝoj	mal'san'iĝ'o'j
malsaniĝon	mal'san'iĝ'o'n
malsaniĝos	mal'san'iĝ'os
malsaniĝemeco	mal'san'iĝ'em'ec'o
malsaniĝemecon	mal'san'iĝ'em'ec'o'n
malsaniĝinta	mal'san'iĝ'int'a
malsankontrolo	mal'san'kontrol'o
malsanula	mal'san'ul'a
malsanulo	mal'san'ul'o
malsanuloj	mal'san'ul'o'j
malsanulojn	mal'san'ul'o'j'n
malsanulon	mal'san'ul'o'n
malsanuleja	mal'san'ul'ej'a
malsanulejo	mal'san'ul'ej'o
malsanulejoj	mal'san'ul'ej'o'j
malsanulejojn	mal'san'ul'ej'o'j'n
malsanulejon	mal'san'ul'ej'o'n
malsanulino	mal'san'ul'in'o
malsankta	mal'sankt'a
malsata	mal'sat'a
malsataj	mal'sat'a'j
malsatajn	mal'sat'a'j'n
malsatan	mal'sat'a'n
malsatas	mal'sat'as
malsate	mal'sat'e
malsati	mal'sat'i
malsatis	mal'sat'is
malsato	mal'sat'o
malsaton	mal'sat'o'n
malsatos	mal'sat'os
malsatu	mal'sat'u
malsatanta	mal'sat'ant'a
